                       	strtok
Length    4/2, alignment  0/ 0, found:	11.9609
Length    4/2, alignment  0/ 0, fail:	10.3135
Length    4/2, alignment  0/ 3, found:	10.8706
Length    4/2, alignment  0/ 3, fail:	10.8413
Length    4/2, alignment  0/ 9, found:	10.8364
Length    4/2, alignment  0/ 9, fail:	10.8369
Length    4/2, alignment  0/15, found:	11.1396
Length    4/2, alignment  0/15, fail:	11.3892
Length    4/2, alignment  3/ 0, found:	10.3184
Length    4/2, alignment  3/ 0, fail:	10.2988
Length    4/2, alignment  3/ 3, found:	11.145
Length    4/2, alignment  3/ 3, fail:	11.125
Length    4/2, alignment  3/ 9, found:	14.46
Length    4/2, alignment  3/ 9, fail:	11.3794
Length    4/2, alignment  3/15, found:	11.1299
Length    4/2, alignment  3/15, fail:	11.3843
Length    4/2, alignment  9/ 0, found:	10.3037
Length    4/2, alignment  9/ 0, fail:	10.3032
Length    4/2, alignment  9/ 3, found:	11.1299
Length    4/2, alignment  9/ 3, fail:	11.1152
Length    4/2, alignment  9/ 9, found:	11.1055
Length    4/2, alignment  9/ 9, fail:	11.1055
Length    4/2, alignment  9/15, found:	11.1152
Length    4/2, alignment  9/15, fail:	11.1201
Length    4/2, alignment 15/ 0, found:	11.1348
Length    4/2, alignment 15/ 0, fail:	12.5874
Length    4/2, alignment 15/ 3, found:	12.4702
Length    4/2, alignment 15/ 3, fail:	13.0225
Length    4/2, alignment 15/ 9, found:	12.4746
Length    4/2, alignment 15/ 9, fail:	13.0127
Length    4/2, alignment 15/15, found:	12.7583
Length    4/2, alignment 15/15, fail:	13.5654
Length    6/2, alignment  0/ 0, found:	11.4531
Length    6/2, alignment  0/ 0, fail:	10.3184
Length    6/2, alignment  0/ 3, found:	11.4331
Length    6/2, alignment  0/ 3, fail:	11.1104
Length    6/2, alignment  0/ 9, found:	11.9468
Length    6/2, alignment  0/ 9, fail:	11.1157
Length    6/2, alignment  0/15, found:	12.2549
Length    6/2, alignment  0/15, fail:	11.4087
Length    6/2, alignment  3/ 0, found:	10.3525
Length    6/2, alignment  3/ 0, fail:	10.3135
Length    6/2, alignment  3/ 3, found:	11.1738
Length    6/2, alignment  3/ 3, fail:	11.1152
Length    6/2, alignment  3/ 9, found:	11.3892
Length    6/2, alignment  3/ 9, fail:	11.3843
Length    6/2, alignment  3/15, found:	11.1543
Length    6/2, alignment  3/15, fail:	11.1201
Length    6/2, alignment  9/ 0, found:	10.3135
Length    6/2, alignment  9/ 0, fail:	12.793
Length    6/2, alignment  9/ 3, found:	11.1152
Length    6/2, alignment  9/ 3, fail:	11.1104
Length    6/2, alignment  9/ 9, found:	11.1152
Length    6/2, alignment  9/ 9, fail:	11.1055
Length    6/2, alignment  9/15, found:	11.6631
Length    6/2, alignment  9/15, fail:	11.9321
Length    6/2, alignment 15/ 0, found:	11.7119
Length    6/2, alignment 15/ 0, fail:	12.4941
Length    6/2, alignment 15/ 3, found:	12.7778
Length    6/2, alignment 15/ 3, fail:	13.0273
Length    6/2, alignment 15/ 9, found:	12.7437
Length    6/2, alignment 15/ 9, fail:	12.729
Length    6/2, alignment 15/15, found:	12.7876
Length    6/2, alignment 15/15, fail:	13.3013
Length    8/2, alignment  0/ 0, found:	11.1445
Length    8/2, alignment  0/ 0, fail:	10.8706
Length    8/2, alignment  0/ 3, found:	11.6826
Length    8/2, alignment  0/ 3, fail:	11.3989
Length    8/2, alignment  0/ 9, found:	11.6484
Length    8/2, alignment  0/ 9, fail:	11.3843
Length    8/2, alignment  0/15, found:	12.2349
Length    8/2, alignment  0/15, fail:	11.6772
Length    8/2, alignment  3/ 0, found:	10.6162
Length    8/2, alignment  3/ 0, fail:	10.582
Length    8/2, alignment  3/ 3, found:	11.6875
Length    8/2, alignment  3/ 3, fail:	11.6582
Length    8/2, alignment  3/ 9, found:	11.3794
Length    8/2, alignment  3/ 9, fail:	11.6577
Length    8/2, alignment  3/15, found:	11.4331
