                       	__stpcpy_chk	normal_stpcpy
Length    4, alignment  0/ 0:	5.14298	2.73589
Length    4, alignment  0/ 0:	5.14505	2.74368
Length    4, alignment  0/ 4:	5.14291	2.75124
Length    4, alignment  4/ 0:	5.14291	2.74039
Length    5, alignment  0/ 0:	5.14291	2.7368
Length    5, alignment  0/ 0:	5.14283	2.73811
Length    5, alignment  0/ 5:	5.14283	2.73848
Length    5, alignment  5/ 0:	5.14283	2.73573
Length    6, alignment  0/ 0:	5.18103	2.70685
Length    6, alignment  0/ 0:	5.17233	2.70677
Length    6, alignment  0/ 6:	5.17431	2.70701
Length    6, alignment  6/ 0:	5.17775	2.70685
Length    7, alignment  0/ 0:	5.17667	2.70837
Length    7, alignment  0/ 0:	5.17928	2.70677
Length    7, alignment  0/ 7:	5.18241	2.70685
Length    7, alignment  7/ 0:	5.17187	2.70677
Length    8, alignment  0/ 0:	5.18096	2.97779
Length    8, alignment  0/ 0:	5.19708	2.97765
Length    8, alignment  0/ 0:	5.17278	2.97742
Length    8, alignment  0/ 0:	5.17363	2.97741
Length    9, alignment  0/ 0:	5.17141	3.00829
Length    9, alignment  0/ 0:	5.14299	2.74261
Length    9, alignment  0/ 1:	5.14298	2.76775
Length    9, alignment  1/ 0:	5.14299	2.74215
Length   10, alignment  0/ 0:	5.14298	2.74268
Length   10, alignment  0/ 0:	5.14291	2.73826
Length   10, alignment  0/ 2:	5.14298	2.77654
Length   10, alignment  2/ 0:	5.14291	2.76553
Length   11, alignment  0/ 0:	5.17362	2.70692
Length   11, alignment  0/ 0:	5.17928	2.70685
Length   11, alignment  0/ 3:	5.18493	2.707
Length   11, alignment  3/ 0:	5.17545	2.70677
Length   12, alignment  0/ 0:	5.18509	2.70692
Length   12, alignment  0/ 0:	5.18906	2.70686
Length   12, alignment  0/ 4:	5.17508	2.70685
Length   12, alignment  4/ 0:	5.18287	2.70831
Length   13, alignment  0/ 0:	5.18057	2.70677
Length   13, alignment  0/ 0:	5.17187	2.70685
Length   13, alignment  0/ 5:	5.22642	2.70685
Length   13, alignment  5/ 0:	5.17301	2.70685
Length   14, alignment  0/ 0:	5.17202	2.70685
Length   14, alignment  0/ 0:	5.17186	2.70678
Length   14, alignment  0/ 6:	5.17187	2.70678
Length   14, alignment  6/ 0:	5.17462	2.73787
Length   15, alignment  0/ 0:	5.41362	2.73764
Length   15, alignment  0/ 0:	5.41355	2.73711
Length   15, alignment  0/ 7:	5.41355	2.73703
Length   15, alignment  7/ 0:	5.41347	2.73902
Length   16, alignment  0/ 0:	5.44724	2.70723
Length   16, alignment  7/ 2:	5.44212	2.70837
Length   32, alignment  0/ 0:	5.71246	2.707
Length   32, alignment  6/ 4:	5.71628	2.7067
Length   64, alignment  0/ 0:	5.45733	2.97787
Length   64, alignment  5/ 6:	5.45121	2.97765
Length  128, alignment  0/ 0:	6.95219	3.27861
Length  128, alignment  4/ 0:	7.30328	3.24836
Length  256, alignment  0/ 0:	10.5473	4.77026
Length  256, alignment  3/ 2:	11.4878	4.97604
Length  512, alignment  0/ 0:	12.1169	8.22026
Length  512, alignment  2/ 4:	13.9462	8.51672
Length 1024, alignment  0/ 0:	19.0648	12.5456
Length 1024, alignment  1/ 6:	22.1088	12.7271
Length   16, alignment  1/ 2:	5.41377	2.73703
Length   16, alignment  2/ 1:	5.41362	2.73856
Length   16, alignment  1/ 1:	5.44296	2.7067
Length   16, alignment  1/ 1:	5.44495	2.70677
Length   32, alignment  2/ 4:	5.72277	2.70685
Length   32, alignment  4/ 2:	5.72292	2.70685
Length   32, alignment  2/ 2:	5.7175	2.707
Length   32, alignment  2/ 2:	5.71651	2.70685
Length   64, alignment  3/ 6:	5.48682	3.00798
Length   64, alignment  6/ 3:	5.41363	3.01218
Length   64, alignment  3/ 3:	5.41363	3.01026
Length   64, alignment  3/ 3:	5.4137	3.01126
Length  128, alignment  4/ 0:	7.30099	3.24828
Length  128, alignment  0/ 4:	6.94263	3.32201
Length  128, alignment  4/ 4:	7.51188	3.24836
Length  128, alignment  4/ 4:	7.18095	3.24835
Length  256, alignment  5/ 2:	11.2261	5.1209
Length  256, alignment  2/ 5:	11.2846	5.08438
Length  256, alignment  5/ 5:	11.1823	4.89672
Length  256, alignment  5/ 5:	11.3861	4.93179
Length  512, alignment  6/ 4:	13.3325	8.39066
Length  512, alignment  4/ 6:	13.7198	8.45094
Length  512, alignment  6/ 6:	12.9922	8.24632
Length  512, alignment  6/ 6:	13.4028	8.2525
Length 1024, alignment  7/ 6:	20.824	12.8435
Length 1024, alignment  6/ 7:	22.4002	12.7997
Length 1024, alignment  7/ 7:	20.0248	12.3859
Length 1024, alignment  7/ 7:	19.9238	11.9953
Length    0, alignment  0/ 0:	5.45167	3.24844
Length    0, alignment  0/ 0:	5.45099	3.24813
Length    0, alignment  0/ 0:	5.44319	3.24821
Didn't expect signal from child: got `Aborted'
