                       	__strcpy_chk	normal_strcpy
Length   13, alignment  0/ 5:	7.67127	7.1105
Length   13, alignment  5/ 0:	7.51318	6.8083
Length   14, alignment  0/ 0:	7.65453	7.11669
Length   14, alignment  0/ 0:	7.68854	7.13741
Length   14, alignment  0/ 6:	7.70313	7.13877
Length   14, alignment  6/ 0:	7.59478	6.82268
Length   15, alignment  0/ 0:	8.56555	6.80876
Length   15, alignment  0/ 0:	8.3416	6.81763
Length   15, alignment  0/ 7:	8.13552	7.12051
Length   15, alignment  7/ 0:	8.04758	6.85805
Length   16, alignment  0/ 0:	8.05583	7.90034
Length   16, alignment  7/ 2:	8.28971	7.87681
Length   32, alignment  0/ 0:	5.82645	5.44671
Length   32, alignment  6/ 4:	8.37981	8.79218
Length   64, alignment  0/ 0:	9.65132	6.397
Length   64, alignment  5/ 6:	12.5937	9.56467
Length  128, alignment  0/ 0:	12.1137	7.1769
Length  128, alignment  4/ 0:	13.5298	7.55894
Length  256, alignment  0/ 0:	16.5218	7.93083
Length  256, alignment  3/ 2:	20.7672	9.61097
Length  512, alignment  0/ 0:	15.2015	9.38236
Length  512, alignment  2/ 4:	17.517	12.9247
Length 1024, alignment  0/ 0:	21.8614	13.3238
Length 1024, alignment  1/ 6:	25.1309	21.5086
Length   16, alignment  1/ 2:	8.2619	8.10863
Length   16, alignment  2/ 1:	8.22905	7.89973
Length   16, alignment  1/ 1:	8.51138	7.90171
Length   16, alignment  1/ 1:	8.21369	8.15822
Length   32, alignment  2/ 4:	8.32822	8.80387
Length   32, alignment  4/ 2:	8.32853	8.81181
Length   32, alignment  2/ 2:	8.31455	8.83321
Length   32, alignment  2/ 2:	8.35551	8.79417
Length   64, alignment  3/ 6:	12.6976	8.80952
Length   64, alignment  6/ 3:	12.9218	7.12105
Length   64, alignment  3/ 3:	12.6045	6.72655
Length   64, alignment  3/ 3:	12.6638	6.6658
Length  128, alignment  4/ 0:	12.6971	7.34431
Length  128, alignment  0/ 4:	14.1952	10.1617
Length  128, alignment  4/ 4:	14.3158	7.23903
Length  128, alignment  4/ 4:	15.0688	7.65292
Length  256, alignment  5/ 2:	19.7152	9.62221
Length  256, alignment  2/ 5:	18.0383	11.1567
Length  256, alignment  5/ 5:	18.8612	8.65296
Length  256, alignment  5/ 5:	18.2288	8.80869
Length  512, alignment  6/ 4:	17.7488	12.1431
Length  512, alignment  4/ 6:	17.7971	13.2699
Length  512, alignment  6/ 6:	17.6946	9.91928
Length  512, alignment  6/ 6:	17.1791	9.69647
Length 1024, alignment  7/ 6:	23.0733	14.7459
Length 1024, alignment  6/ 7:	25.6449	19.0322
Length 1024, alignment  7/ 7:	23.646	13.2839
Length 1024, alignment  7/ 7:	23.9142	13.3321
Length    0, alignment  0/ 0:	4.3313	3.00813
Length    0, alignment  0/ 0:	4.33114	3.00797
Length    0, alignment  0/ 0:	4.33092	3.01294
Length    0, alignment  0/ 0:	4.33092	3.00668
Length    1, alignment  0/ 0:	7.42072	5.58592
Length    1, alignment  0/ 0:	7.402	5.61946
Length    1, alignment  0/ 1:	7.28051	5.6197
Length    1, alignment  1/ 0:	4.74161	5.61993
Length    2, alignment  0/ 0:	7.32911	5.6391
Length    2, alignment  0/ 0:	7.29877	5.58516
Length    2, alignment  0/ 2:	7.00858	5.68938
Length    2, alignment  2/ 0:	4.37714	3.24813
Length    3, alignment  0/ 0:	7.9513	7.71413
Length    3, alignment  0/ 0:	7.9455	7.17789
Length    3, alignment  0/ 3:	7.95184	7.08299
Length    3, alignment  3/ 0:	7.95605	7.07895
Length    4, alignment  0/ 0:	8.01961	7.12234
Length    4, alignment  0/ 0:	7.96315	7.10416
Length    4, alignment  0/ 4:	7.3489	6.64043
Length    4, alignment  4/ 0:	4.38012	2.75651
Length    5, alignment  0/ 0:	8.00455	7.12678
Length    5, alignment  0/ 0:	7.96017	7.12632
Length    5, alignment  0/ 5:	7.33217	6.75031
Length    5, alignment  5/ 0:	4.34077	2.74154
Length    6, alignment  0/ 0:	7.95695	7.05747
Length    6, alignment  0/ 0:	8.04972	7.05419
Length    6, alignment  0/ 6:	7.33178	6.53011
Length    6, alignment  6/ 0:	4.39005	2.70685
Length    7, alignment  0/ 0:	7.6472	6.92819
Length    7, alignment  0/ 0:	7.64835	6.7659
Length    7, alignment  0/ 7:	7.65919	6.56181
Length    7, alignment  7/ 0:	7.69794	2.70685
Length    8, alignment  0/ 0:	7.75493	7.24377
Length    8, alignment  0/ 0:	7.72536	7.09973
Length    8, alignment  0/ 0:	7.64857	7.10386
Length    8, alignment  0/ 0:	7.64995	7.11264
Length    9, alignment  0/ 0:	7.65201	7.10561
Length    9, alignment  0/ 0:	7.70199	7.10646
Length    9, alignment  0/ 1:	7.65301	7.10622
Length    9, alignment  1/ 0:	7.64597	7.10722
Length   10, alignment  0/ 0:	7.72826	7.1095
Length   10, alignment  0/ 0:	7.66317	7.116
Length   10, alignment  0/ 2:	7.69259	7.10783
Length   10, alignment  2/ 0:	7.6384	7.10837
Length   11, alignment  0/ 0:	7.67173	7.10607
Length   11, alignment  0/ 0:	7.6462	7.10814
Length   11, alignment  0/ 3:	7.65583	7.10982
Length   11, alignment  3/ 0:	7.65072	7.11707
Length   12, alignment  0/ 0:	7.66737	7.11814
Length   12, alignment  0/ 0:	7.64483	7.11219
Length   12, alignment  0/ 4:	7.65644	7.07925
Length   12, alignment  4/ 0:	7.50874	6.80457
Length   13, alignment  0/ 0:	7.64751	7.1073
Length   13, alignment  0/ 0:	7.71558	7.11716
Length   13, alignment  0/ 5:	7.63779	7.11501
Length   13, alignment  5/ 0:	7.50851	6.80785
Length   14, alignment  0/ 0:	7.68678	7.11471
Length   14, alignment  0/ 0:	7.64506	7.10645
Length   14, alignment  0/ 6:	7.63	7.11165
Length   14, alignment  6/ 0:	7.51104	6.81229
Length   15, alignment  0/ 0:	8.12757	6.8184
Length   15, alignment  0/ 0:	8.20268	6.82496
Length   15, alignment  0/ 7:	8.32272	7.11035
Length   15, alignment  7/ 0:	8.02137	6.80311
Length   16, alignment  0/ 0:	8.43336	7.88536
Length   16, alignment  7/ 2:	8.09984	7.89186
Length   32, alignment  0/ 0:	5.73622	5.1818
Length   32, alignment  6/ 4:	8.39172	8.83718
Length   64, alignment  0/ 0:	9.74064	6.6775
Length   64, alignment  5/ 6:	12.6818	8.80907
Length  128, alignment  0/ 0:	12.2727	7.15795
Length  128, alignment  4/ 0:	13.1421	7.3939
Length  256, alignment  0/ 0:	18.0128	8.02687
Length  256, alignment  3/ 2:	18.659	9.51814
Length  512, alignment  0/ 0:	15.8389	9.18844
Length  512, alignment  2/ 4:	18.45	12.8875
Length 1024, alignment  0/ 0:	22.3215	13.5546
Length 1024, alignment  1/ 6:	25.7621	21.9015
Length   16, alignment  1/ 2:	8.40319	7.89613
Length   16, alignment  2/ 1:	8.4744	7.89362
Length   16, alignment  1/ 1:	8.04995	7.97216
Length   16, alignment  1/ 1:	8.3474	7.87268
Length   32, alignment  2/ 4:	8.33189	8.8802
Length   32, alignment  4/ 2:	8.34618	8.85522
Length   32, alignment  2/ 2:	8.32944	8.98282
Length   32, alignment  2/ 2:	8.45889	8.79868
Length   64, alignment  3/ 6:	12.8291	8.82335
Length   64, alignment  6/ 3:	12.9661	7.27356
Length   64, alignment  3/ 3:	12.6481	6.9178
Length   64, alignment  3/ 3:	12.6282	6.88113
Length  128, alignment  4/ 0:	13.6242	7.3136
Length  128, alignment  0/ 4:	15.577	9.9607
Length  128, alignment  4/ 4:	14.5279	7.3058
Length  128, alignment  4/ 4:	15.0399	7.23757
Length  256, alignment  5/ 2:	19.4167	10.0174
Length  256, alignment  2/ 5:	18.9679	11.8057
Length  256, alignment  5/ 5:	18.6702	8.18649
Length  256, alignment  5/ 5:	19.9675	8.39066
Length  512, alignment  6/ 4:	18.4563	12.0771
Length  512, alignment  4/ 6:	17.6416	12.9137
Length  512, alignment  6/ 6:	16.9762	9.54733
Length  512, alignment  6/ 6:	16.8632	9.58958
Length 1024, alignment  7/ 6:	23.578	14.7289
Length 1024, alignment  6/ 7:	25.1316	19.0394
Length 1024, alignment  7/ 7:	23.3461	13.2187
Length 1024, alignment  7/ 7:	23.2858	13.2747
Length    0, alignment  0/ 0:	4.37156	2.97795
Length    0, alignment  0/ 0:	4.36094	2.97749
Length    0, alignment  0/ 0:	4.36239	2.97749
Didn't expect signal from child: got `Aborted'
