                       	__strcpy_chk	normal_strcpy
Length    0, alignment  0/ 0:	4.13699	2.55526
Length    0, alignment  0/ 0:	4.06028	2.5943
Length    0, alignment  0/ 0:	4.06036	2.59782
Length    0, alignment  0/ 0:	4.0602	2.69798
Length    1, alignment  0/ 0:	7.39803	5.60128
Length    1, alignment  0/ 0:	7.3923	5.77824
Length    1, alignment  0/ 1:	7.30947	5.62749
Length    1, alignment  1/ 0:	4.72878	5.64606
Length    2, alignment  0/ 0:	7.32789	5.88468
Length    2, alignment  0/ 0:	7.31284	5.63078
Length    2, alignment  0/ 2:	6.98145	6.01985
Length    2, alignment  2/ 0:	4.31425	2.44744
Length    3, alignment  0/ 0:	7.94985	7.05137
Length    3, alignment  0/ 0:	7.95474	7.05977
Length    3, alignment  0/ 3:	8.02802	7.08414
Length    3, alignment  3/ 0:	7.95825	7.07681
Length    4, alignment  0/ 0:	8.00838	7.07024
Length    4, alignment  0/ 0:	7.95986	7.13183
Length    4, alignment  0/ 4:	7.34989	6.5881
Length    4, alignment  4/ 0:	4.35162	2.62051
Length    5, alignment  0/ 0:	7.97018	7.11005
Length    5, alignment  0/ 0:	8.04154	7.10203
Length    5, alignment  0/ 5:	7.41637	6.5612
Length    5, alignment  5/ 0:	4.37111	2.44064
Length    6, alignment  0/ 0:	7.99363	7.02531
Length    6, alignment  0/ 0:	8.10358	7.02409
Length    6, alignment  0/ 6:	7.36625	6.55235
Length    6, alignment  6/ 0:	4.46838	2.64595
Length    7, alignment  0/ 0:	7.65415	6.76728
Length    7, alignment  0/ 0:	7.6433	6.76437
Length    7, alignment  0/ 7:	7.70313	6.55853
Length    7, alignment  7/ 0:	7.7113	2.64389
Length    8, alignment  0/ 0:	7.64842	7.10287
Length    8, alignment  0/ 0:	7.65301	7.12143
Length    8, alignment  0/ 0:	7.69832	7.10462
Length    8, alignment  0/ 0:	7.643	7.1351
Length    9, alignment  0/ 0:	7.68868	7.13144
Length    9, alignment  0/ 0:	7.64926	7.10722
Length    9, alignment  0/ 1:	7.74332	7.13816
Length    9, alignment  1/ 0:	7.69961	7.15238
Length   10, alignment  0/ 0:	7.69273	7.22458
Length   10, alignment  0/ 0:	7.6731	7.24384
Length   10, alignment  0/ 2:	7.65942	7.23719
Length   10, alignment  2/ 0:	7.6925	7.18233
Length   11, alignment  0/ 0:	7.67585	7.25171
Length   11, alignment  0/ 0:	7.64445	7.25523
Length   11, alignment  0/ 3:	7.65575	7.26531
Length   11, alignment  3/ 0:	7.64857	7.10646
Length   12, alignment  0/ 0:	7.64001	7.07513
Length   12, alignment  0/ 0:	7.65002	7.27081
Length   12, alignment  0/ 4:	7.6796	7.10798
Length   12, alignment  4/ 0:	7.51302	6.87639
Length   13, alignment  0/ 0:	7.71819	7.15314
Length   13, alignment  0/ 0:	7.64315	7.16063
