                       	__strcpy_chk	normal_strcpy
Length    3, alignment  0/ 3:	4.10374	2.43255
Length    3, alignment  3/ 0:	4.15677	2.43255
Length    4, alignment  0/ 0:	4.16096	2.4327
Length    4, alignment  0/ 0:	4.10854	2.47734
Length    4, alignment  0/ 4:	4.11373	2.47825
Length    4, alignment  4/ 0:	4.05422	2.48038
Length    5, alignment  0/ 0:	4.09893	2.50114
Length    5, alignment  0/ 0:	4.09664	2.50297
Length    5, alignment  0/ 5:	4.10091	2.43255
Length    5, alignment  5/ 0:	4.15463	2.43247
Length    6, alignment  0/ 0:	4.12983	2.47199
Length    6, alignment  0/ 0:	4.11129	2.47878
Length    6, alignment  0/ 6:	4.12289	2.47047
Length    6, alignment  6/ 0:	4.05422	2.49511
Length    7, alignment  0/ 0:	4.09985	2.49358
Length    7, alignment  0/ 0:	4.09954	2.43255
Length    7, alignment  0/ 7:	4.15966	2.16231
Length    7, alignment  7/ 0:	4.11129	2.20663
Length    8, alignment  0/ 0:	4.11442	2.47382
Length    8, alignment  0/ 0:	4.10816	2.48077
Length    8, alignment  0/ 0:	4.05422	2.50916
Length    8, alignment  0/ 0:	4.10526	2.49191
Length    9, alignment  0/ 0:	4.09039	2.43247
Length    9, alignment  0/ 0:	4.13837	2.43246
Length    9, alignment  0/ 1:	4.15203	2.43255
Length    9, alignment  1/ 0:	4.1135	2.48321
Length   10, alignment  0/ 0:	4.10908	2.47733
Length   10, alignment  0/ 0:	4.05422	2.48275
Length   10, alignment  0/ 2:	4.09405	2.49046
Length   10, alignment  2/ 0:	4.0971	2.49176
Length   11, alignment  0/ 0:	4.09702	2.43255
Length   11, alignment  0/ 0:	4.13296	2.43255
Length   11, alignment  0/ 3:	4.10732	2.47421
Length   11, alignment  3/ 0:	4.10297	2.47459
Length   12, alignment  0/ 0:	4.08772	2.47176
Length   12, alignment  0/ 0:	4.05422	2.48046
Length   12, alignment  0/ 4:	4.09817	2.4765
Length   12, alignment  4/ 0:	4.09664	2.43247
Length   13, alignment  0/ 0:	4.17995	2.43255
Length   13, alignment  0/ 0:	4.1734	2.43247
Length   13, alignment  0/ 5:	4.09771	2.48985
Length   13, alignment  5/ 0:	4.12342	2.47215
Length   14, alignment  0/ 0:	3.78391	2.49046
Length   14, alignment  0/ 0:	3.83357	2.50915
Length   14, alignment  0/ 6:	3.82167	2.43255
Length   14, alignment  6/ 0:	3.89668	2.43247
Length   15, alignment  0/ 0:	4.119	2.47649
Length   15, alignment  0/ 0:	4.11983	2.47231
Length   15, alignment  0/ 7:	4.11152	2.47733
Length   15, alignment  7/ 0:	4.0543	2.48359
Length   16, alignment  0/ 0:	4.09565	2.48947
Length   16, alignment  7/ 2:	4.09885	2.43247
Length   32, alignment  0/ 0:	4.44325	2.43262
Length   32, alignment  6/ 4:	4.44219	2.43278
Length   64, alignment  0/ 0:	4.16027	2.74635
Length   64, alignment  5/ 6:	4.24557	2.74361
Length  128, alignment  0/ 0:	5.67986	3.00744
Length  128, alignment  4/ 0:	6.30695	2.97372
Length  256, alignment  0/ 0:	9.29881	4.79742
Length  256, alignment  3/ 2:	9.94183	4.97206
Length  512, alignment  0/ 0:	10.9097	8.45467
Length  512, alignment  2/ 4:	11.9861	8.59437
Length 1024, alignment  0/ 0:	17.3051	11.6641
Length 1024, alignment  1/ 6:	20.8901	13.0492
Length   16, alignment  1/ 2:	4.3659	2.47886
Length   16, alignment  2/ 1:	4.371	2.49564
Length   16, alignment  1/ 1:	4.36284	2.50694
Length   16, alignment  1/ 1:	4.37772	2.43255
Length   32, alignment  2/ 4:	4.69579	2.43293
Length   32, alignment  4/ 2:	4.72311	2.43514
Length   32, alignment  2/ 2:	4.68725	2.43255
Length   32, alignment  2/ 2:	4.65749	2.4771
Length   64, alignment  3/ 6:	4.38794	2.76718
Length   64, alignment  6/ 3:	4.47598	2.74818
Length   64, alignment  3/ 3:	4.38771	2.74666
Length   64, alignment  3/ 3:	4.35666	2.47985
Length  128, alignment  4/ 0:	6.14236	3.64429
Length  128, alignment  0/ 4:	6.15259	2.97334
Length  128, alignment  4/ 4:	6.36012	3.03582
Length  128, alignment  4/ 4:	6.05272	3.02904
Length  256, alignment  5/ 2:	9.84021	4.98938
Length  256, alignment  2/ 5:	10.0415	5.02936
Length  256, alignment  5/ 5:	9.75865	4.82062
Length  256, alignment  5/ 5:	9.86401	4.7827
Length  512, alignment  6/ 4:	11.9781	8.43789
Length  512, alignment  4/ 6:	11.866	8.69905
Length  512, alignment  6/ 6:	11.1176	8.54608
Length  512, alignment  6/ 6:	11.1241	8.36205
Length 1024, alignment  7/ 6:	18.1218	13.0709
Length 1024, alignment  6/ 7:	20.1638	13.1672
Length 1024, alignment  7/ 7:	18.0346	12.2387
Length 1024, alignment  7/ 7:	17.9484	11.6751
Length    0, alignment  0/ 0:	4.37047	2.43316
Length    0, alignment  0/ 0:	4.42426	2.43262
Length    0, alignment  0/ 0:	4.43669	2.43247
Didn't expect signal from child: got `Aborted'
