                       	__strcpy_chk	normal_strcpy
Length    0, alignment  0/ 0:	4.13976	2.23807
Length    0, alignment  0/ 0:	4.09985	2.16246
Length    0, alignment  0/ 0:	4.17043	2.1675
Length    0, alignment  0/ 0:	4.1206	2.26088
Length    1, alignment  0/ 0:	4.12793	2.5283
Length    1, alignment  0/ 0:	4.0546	2.50716
Length    1, alignment  0/ 1:	4.11671	2.45383
Length    1, alignment  1/ 0:	4.11404	2.49435
Length    2, alignment  0/ 0:	4.11221	2.43255
Length    2, alignment  0/ 0:	4.18111	2.4327
Length    2, alignment  0/ 2:	4.09527	2.49191
Length    2, alignment  2/ 0:	4.12029	2.47284
Length    3, alignment  0/ 0:	4.11823	2.4829
Length    3, alignment  0/ 0:	4.05437	2.50632
Length    3, alignment  0/ 3:	4.10854	2.47948
Length    3, alignment  3/ 0:	4.09557	2.43255
Length    4, alignment  0/ 0:	4.16065	2.43255
Length    4, alignment  0/ 0:	4.16592	2.43247
Length    4, alignment  0/ 4:	4.10778	2.47184
Length    4, alignment  4/ 0:	4.11037	2.47321
Length    5, alignment  0/ 0:	4.05422	2.49702
Length    5, alignment  0/ 0:	4.09397	2.50663
Length    5, alignment  0/ 5:	4.09344	2.48382
Length    5, alignment  5/ 0:	4.09268	2.46581
Length    6, alignment  0/ 0:	4.15134	2.43346
Length    6, alignment  0/ 0:	4.13235	2.47474
Length    6, alignment  0/ 6:	4.12792	2.47527
Length    6, alignment  6/ 0:	4.10549	2.47314
Length    7, alignment  0/ 0:	3.78429	2.47848
Length    7, alignment  0/ 0:	3.82518	2.48038
Length    7, alignment  0/ 7:	3.82381	2.43255
Length    7, alignment  7/ 0:	3.88118	2.43247
Length    8, alignment  0/ 0:	3.84037	2.47962
Length    8, alignment  0/ 0:	3.85425	2.47169
Length    8, alignment  0/ 0:	3.78398	2.51014
Length    8, alignment  0/ 0:	3.82549	2.49641
Length    9, alignment  0/ 0:	3.83495	2.43285
Length    9, alignment  0/ 0:	3.88332	2.43269
Length    9, alignment  0/ 1:	3.85417	2.47459
Length    9, alignment  1/ 0:	3.85806	2.43262
Length   10, alignment  0/ 0:	3.82388	2.49466
Length   10, alignment  0/ 0:	3.8309	2.50022
Length   10, alignment  0/ 2:	3.82449	2.43255
Length   10, alignment  2/ 0:	3.84998	2.47382
Length   11, alignment  0/ 0:	3.84784	2.47237
Length   11, alignment  0/ 0:	3.84532	2.43278
Length   11, alignment  0/ 3:	3.82343	2.49886
Length   11, alignment  3/ 0:	3.82373	2.50167
Length   12, alignment  0/ 0:	3.85608	2.43255
Length   12, alignment  0/ 0:	3.86242	2.46902
Length   12, alignment  0/ 4:	3.85654	2.48313
Length   12, alignment  4/ 0:	3.8451	2.4327
Length   13, alignment  0/ 0:	3.82449	2.56347
Length   13, alignment  0/ 0:	3.82854	2.49252
Length   13, alignment  0/ 5:	3.90163	2.43247
Length   13, alignment  5/ 0:	3.83601	2.47894
Length   14, alignment  0/ 0:	3.85867	2.47832
Length   14, alignment  0/ 0:	3.85501	2.43354
Length   14, alignment  0/ 6:	3.83075	2.46735
Length   14, alignment  6/ 0:	3.82594	2.51434
Length   15, alignment  0/ 0:	4.09893	2.43247
Length   15, alignment  0/ 0:	4.14471	2.43247
Length   15, alignment  0/ 7:	4.1045	2.47649
Length   15, alignment  7/ 0:	4.11991	2.47314
Length   16, alignment  0/ 0:	4.10137	2.433
Length   16, alignment  7/ 2:	4.09489	2.50968
Length   32, alignment  0/ 0:	4.09695	2.49694
Length   32, alignment  6/ 4:	4.09725	2.43277
Length   64, alignment  0/ 0:	4.18072	2.70302
Length   64, alignment  5/ 6:	4.27785	2.43354
Length  128, alignment  0/ 0:	5.84824	2.97387
Length  128, alignment  4/ 0:	6.08751	3.04681
Length  256, alignment  0/ 0:	9.18971	4.87715
Length  256, alignment  3/ 2:	9.81938	4.89485
Length  512, alignment  0/ 0:	10.854	8.44353
Length  512, alignment  2/ 4:	11.8706	8.55569
Length 1024, alignment  0/ 0:	17.0702	11.6633
Length 1024, alignment  1/ 6:	20.3499	12.8457
Length   16, alignment  1/ 2:	4.39931	2.50159
Length   16, alignment  2/ 1:	4.37581	2.50595
Length   16, alignment  1/ 1:	4.36726	2.43255
Length   16, alignment  1/ 1:	4.45042	2.43247
Length   32, alignment  2/ 4:	4.69839	2.43285
Length   32, alignment  4/ 2:	4.69556	2.4327
Length   32, alignment  2/ 2:	4.65879	2.47649
Length   32, alignment  2/ 2:	4.63964	2.47825
Length   64, alignment  3/ 6:	4.36963	2.74597
Length   64, alignment  6/ 3:	4.4441	2.47306
Length   64, alignment  3/ 3:	4.38931	2.4778
Length   64, alignment  3/ 3:	4.32484	2.47314
Length  128, alignment  4/ 0:	6.31167	3.04284
Length  128, alignment  0/ 4:	5.96986	3.01584
Length  128, alignment  4/ 4:	6.40124	2.97379
Length  128, alignment  4/ 4:	6.31114	3.04826
Length  256, alignment  5/ 2:	9.78246	5.01814
Length  256, alignment  2/ 5:	9.92604	5.18241
Length  256, alignment  5/ 5:	9.85616	4.88409
Length  256, alignment  5/ 5:	9.67167	4.82474
Length  512, alignment  6/ 4:	12.4528	8.50191
Length  512, alignment  4/ 6:	11.6882	8.57949
Length  512, alignment  6/ 6:	11.0457	8.32818
Length  512, alignment  6/ 6:	11.2514	8.41759
Length 1024, alignment  7/ 6:	17.9711	13.0357
Length 1024, alignment  6/ 7:	20.0444	12.7795
Length 1024, alignment  7/ 7:	17.94	12.3143
Length 1024, alignment  7/ 7:	17.8937	11.8218
Length    0, alignment  0/ 0:	4.38809	2.47306
Length    0, alignment  0/ 0:	4.40297	2.48061
Length    0, alignment  0/ 0:	4.37901	2.47688
Length    0, alignment  0/ 0:	4.41526	2.48351
Length    1, alignment  0/ 0:	4.32446	2.46864
Length    1, alignment  0/ 0:	4.37184	2.48458
Length    1, alignment  0/ 1:	4.09856	2.48603
Length    1, alignment  1/ 0:	4.09916	2.43262
Length    2, alignment  0/ 0:	4.15615	2.43255
Length    2, alignment  0/ 0:	4.12473	2.46947
Length    2, alignment  0/ 2:	4.11297	2.4755
Length    2, alignment  2/ 0:	4.12045	2.47833
Length    3, alignment  0/ 0:	4.05453	2.49274
Length    3, alignment  0/ 0:	4.0971	2.49297
