                       	strsep
Length    8/2, alignment  0/ 0, found:	22.8973
Length    8/2, alignment  0/ 0, fail:	4.87439
Length    8/2, alignment  0/ 3, found:	22.9707
Length    8/2, alignment  0/ 3, fail:	4.60217
Length    8/2, alignment  0/ 9, found:	22.1613
Length    8/2, alignment  0/ 9, fail:	4.60217
Length    8/2, alignment  0/15, found:	21.4911
Length    8/2, alignment  0/15, fail:	5.4104
Length    8/2, alignment  3/ 0, found:	21.6229
Length    8/2, alignment  3/ 0, fail:	4.33362
Length    8/2, alignment  3/ 3, found:	25.3389
Length    8/2, alignment  3/ 3, fail:	4.60339
Length    8/2, alignment  3/ 9, found:	22.9742
Length    8/2, alignment  3/ 9, fail:	4.60095
Length    8/2, alignment  3/15, found:	22.9731
Length    8/2, alignment  3/15, fail:	4.87683
Length    8/2, alignment  9/ 0, found:	22.9718
Length    8/2, alignment  9/ 0, fail:	5.14294
Length    8/2, alignment  9/ 3, found:	24.92
Length    8/2, alignment  9/ 3, fail:	5.41406
Length    8/2, alignment  9/ 9, found:	22.9742
Length    8/2, alignment  9/ 9, fail:	5.41272
Length    8/2, alignment  9/15, found:	22.9695
Length    8/2, alignment  9/15, fail:	5.68494
Length    8/2, alignment 15/ 0, found:	22.9742
Length    8/2, alignment 15/ 0, fail:	5.14551
Length    8/2, alignment 15/ 3, found:	17.2991
Length    8/2, alignment 15/ 3, fail:	6.28064
Length    8/2, alignment 15/ 9, found:	22.9719
Length    8/2, alignment 15/ 9, fail:	5.40784
Length    8/2, alignment 15/15, found:	23.7811
Length    8/2, alignment 15/15, fail:	5.6825
Length   10/2, alignment  0/ 0, found:	23.7799
Length   10/2, alignment  0/ 0, fail:	4.87207
Length   10/2, alignment  0/ 3, found:	24.0082
Length   10/2, alignment  0/ 3, fail:	4.87439
Length   10/2, alignment  0/ 9, found:	22.7533
Length   10/2, alignment  0/ 9, fail:	4.87073
Length   10/2, alignment  0/15, found:	21.5009
Length   10/2, alignment  0/15, fail:	5.41272
Length   10/2, alignment  3/ 0, found:	21.6217
Length   10/2, alignment  3/ 0, fail:	4.33362
Length   10/2, alignment  3/ 3, found:	22.9719
Length   10/2, alignment  3/ 3, fail:	4.87317
Length   10/2, alignment  3/ 9, found:	25.1313
Length   10/2, alignment  3/ 9, fail:	4.87073
Length   10/2, alignment  3/15, found:	22.973
Length   10/2, alignment  3/15, fail:	4.87207
Length   10/2, alignment  9/ 0, found:	17.26
Length   10/2, alignment  9/ 0, fail:	5.14294
Length   10/2, alignment  9/ 3, found:	22.9718
Length   10/2, alignment  9/ 3, fail:	5.41162
Length   10/2, alignment  9/ 9, found:	24.0717
Length   10/2, alignment  9/ 9, fail:	5.47754
Length   10/2, alignment  9/15, found:	23.2672
Length   10/2, alignment  9/15, fail:	5.68384
Length   10/2, alignment 15/ 0, found:	22.9706
Length   10/2, alignment 15/ 0, fail:	5.14294
Length   10/2, alignment 15/ 3, found:	22.9731
Length   10/2, alignment 15/ 3, fail:	5.40784
Length   10/2, alignment 15/ 9, found:	21.8842
Length   10/2, alignment 15/ 9, fail:	5.40784
Length   10/2, alignment 15/15, found:	16.0856
Length   10/2, alignment 15/15, fail:	5.68262
Length   12/2, alignment  0/ 0, found:	21.8927
Length   12/2, alignment  0/ 0, fail:	4.87195
Length   12/2, alignment  0/ 3, found:	21.8903
Length   12/2, alignment  0/ 3, fail:	4.87073
Length   12/2, alignment  0/ 9, found:	21.8915
Length   12/2, alignment  0/ 9, fail:	4.86719
Length   12/2, alignment  0/15, found:	24.66
Length   12/2, alignment  0/15, fail:	5.40918
Length   12/2, alignment  3/ 0, found:	21.6229
Length   12/2, alignment  3/ 0, fail:	4.33362
Length   12/2, alignment  3/ 3, found:	22.9938
Length   12/2, alignment  3/ 3, fail:	4.87195
Length   12/2, alignment  3/ 9, found:	22.9841
Length   12/2, alignment  3/ 9, fail:	4.86951
Length   12/2, alignment  3/15, found:	25.0007
Length   12/2, alignment  3/15, fail:	4.87439
Length   12/2, alignment  9/ 0, found:	22.2968
Length   12/2, alignment  9/ 0, fail:	5.14417
Length   12/2, alignment  9/ 3, found:	23.2417
Length   12/2, alignment  9/ 3, fail:	5.41028
Length   12/2, alignment  9/ 9, found:	22.9742
Length   12/2, alignment  9/ 9, fail:	5.40784
Length   12/2, alignment  9/15, found:	23.924
Length   12/2, alignment  9/15, fail:	6.74084
