                       	__stpcpy_chk	normal_stpcpy
Length    0, alignment  0/ 0:	4.92728	2.76894
Length    0, alignment  0/ 0:	4.94322	2.77069
Length    0, alignment  0/ 0:	4.94177	2.75849
Length    0, alignment  0/ 0:	5.80071	2.13194
Length    1, alignment  0/ 0:	5.74174	2.09303
Length    1, alignment  0/ 0:	5.75669	1.99767
Length    1, alignment  0/ 1:	5.74632	2.14316
Length    1, alignment  1/ 0:	5.67582	2.06831
Length    2, alignment  0/ 0:	5.6759	2.12919
Length    2, alignment  0/ 0:	5.72496	1.97149
Length    2, alignment  0/ 2:	5.72732	1.99461
Length    2, alignment  2/ 0:	5.72869	2.01917
Length    3, alignment  0/ 0:	5.71793	1.95135
Length    3, alignment  0/ 0:	5.72823	2.03001
Length    3, alignment  0/ 3:	5.72205	1.95143
Length    3, alignment  3/ 0:	5.72564	2.07395
Length    4, alignment  0/ 0:	5.7142	1.96951
Length    4, alignment  0/ 0:	5.72526	1.97271
Length    4, alignment  0/ 4:	5.71313	2.07494
Length    4, alignment  4/ 0:	5.7216	1.94197
Length    5, alignment  0/ 0:	5.77775	1.89222
Length    5, alignment  0/ 0:	5.78973	1.89138
Length    5, alignment  0/ 5:	5.77943	1.91923
Length    5, alignment  5/ 0:	5.77325	1.90351
Length    6, alignment  0/ 0:	5.79553	2.02154
Length    6, alignment  0/ 0:	5.7808	1.89153
Length    6, alignment  0/ 6:	5.77882	1.88917
Length    6, alignment  6/ 0:	5.7879	2.0204
Length    7, alignment  0/ 0:	5.51903	1.89199
Length    7, alignment  0/ 0:	5.52979	1.89245
Length    7, alignment  0/ 7:	5.52315	1.88909
Length    7, alignment  7/ 0:	5.52376	2.02383
Length    8, alignment  0/ 0:	5.49759	1.89207
Length    8, alignment  0/ 0:	5.48135	1.96142
Length    8, alignment  0/ 0:	5.45189	1.96226
Length    8, alignment  0/ 0:	5.44746	1.95807
Length    9, alignment  0/ 0:	5.45532	1.96317
Length    9, alignment  0/ 0:	5.44655	1.9673
Length    9, alignment  0/ 1:	5.4467	1.95409
Length    9, alignment  1/ 0:	5.44945	1.97218
Length   10, alignment  0/ 0:	5.48417	1.95936
Length   10, alignment  0/ 0:	5.45067	1.95631
Length   10, alignment  0/ 2:	5.40565	2.23548
Length   10, alignment  2/ 0:	5.44853	1.97866
