                       	__stpcpy_chk	normal_stpcpy
Length   11, alignment  0/ 0:	5.40558	2.0217
Length   11, alignment  0/ 0:	5.40558	2.04588
Length   11, alignment  0/ 3:	5.40649	1.93822
Length   11, alignment  3/ 0:	5.46791	2.14758
Length   12, alignment  0/ 0:	5.44739	2.15292
Length   12, alignment  0/ 0:	5.47066	1.93418
Length   12, alignment  0/ 4:	5.46318	1.93456
Length   12, alignment  4/ 0:	5.4786	1.9351
Length   13, alignment  0/ 0:	5.46768	1.93266
Length   13, alignment  0/ 0:	5.46677	1.9361
Length   13, alignment  0/ 5:	5.46791	1.93372
Length   13, alignment  5/ 0:	5.48096	1.93388
Length   14, alignment  0/ 0:	5.47112	1.89916
Length   14, alignment  0/ 0:	5.48683	1.9306
Length   14, alignment  0/ 6:	5.50514	1.89198
Length   14, alignment  6/ 0:	5.52811	1.89199
Length   15, alignment  0/ 0:	5.77767	1.89199
Length   15, alignment  0/ 0:	5.77005	1.89298
Length   15, alignment  0/ 7:	5.79247	1.89199
Length   15, alignment  7/ 0:	5.79125	1.89199
Length   16, alignment  0/ 0:	5.7914	2.19405
Length   16, alignment  7/ 2:	5.74258	2.13263
Length   32, alignment  0/ 0:	5.73502	2.13324
Length   32, alignment  6/ 4:	5.73075	2.1182
Length   64, alignment  0/ 0:	5.73747	2.50678
Length   64, alignment  5/ 6:	5.6762	2.54836
Length  128, alignment  0/ 0:	7.19335	2.88536
Length  128, alignment  4/ 0:	7.62465	3.36122
Length  256, alignment  0/ 0:	10.9294	5.05698
Length  256, alignment  3/ 2:	11.6426	5.08262
Length  512, alignment  0/ 0:	10.8507	6.60686
Length  512, alignment  2/ 4:	12.6814	7.36486
Length 1024, alignment  0/ 0:	18.9658	10.3374
Length 1024, alignment  1/ 6:	21.7792	12.165
Length   16, alignment  1/ 2:	6.34074	1.89237
Length   16, alignment  2/ 1:	6.29855	1.89222
Length   16, alignment  1/ 1:	6.31373	1.89222
Length   16, alignment  1/ 1:	6.328	1.89207
Length   32, alignment  2/ 4:	6.56994	2.21503
Length   32, alignment  4/ 2:	6.54659	2.24745
Length   32, alignment  2/ 2:	6.55452	2.13689
Length   32, alignment  2/ 2:	6.34288	2.106
Length   64, alignment  3/ 6:	6.05249	2.62222
Length   64, alignment  6/ 3:	6.02441	2.62016
Length   64, alignment  3/ 3:	6.04211	2.47108
Length   64, alignment  3/ 3:	6.06165	2.50259
Length  128, alignment  4/ 0:	7.52524	3.0774
Length  128, alignment  0/ 4:	7.34884	2.94876
Length  128, alignment  4/ 4:	7.66242	2.91115
Length  128, alignment  4/ 4:	7.44871	2.98463
Length  256, alignment  5/ 2:	11.5885	5.00952
Length  256, alignment  2/ 5:	11.5596	5.2671
Length  256, alignment  5/ 5:	11.5814	4.83351
Length  256, alignment  5/ 5:	11.5116	5.06828
Length  512, alignment  6/ 4:	12.4883	7.16299
Length  512, alignment  4/ 6:	12.895	7.3419
Length  512, alignment  6/ 6:	11.9012	6.61205
Length  512, alignment  6/ 6:	12.0075	6.5594
Length 1024, alignment  7/ 6:	20.6015	12.0186
Length 1024, alignment  6/ 7:	21.7151	12.0134
Length 1024, alignment  7/ 7:	19.8748	10.4073
Length 1024, alignment  7/ 7:	19.9206	10.3853
Length    0, alignment  0/ 0:	6.28596	2.20694
Length    0, alignment  0/ 0:	6.30885	2.21022
Length    0, alignment  0/ 0:	6.25667	2.2206
Length    0, alignment  0/ 0:	6.04005	2.16231
Length    1, alignment  0/ 0:	6.03914	1.92572
Length    1, alignment  0/ 0:	6.03624	2.05358
Length    1, alignment  0/ 1:	6.05478	1.9264
Length    1, alignment  1/ 0:	6.05127	1.91602
Length    2, alignment  0/ 0:	6.02747	1.91526
Length    2, alignment  0/ 0:	6.04601	1.9177
Length    2, alignment  0/ 2:	6.04723	1.91656
Length    2, alignment  2/ 0:	6.04898	1.91267
Length    3, alignment  0/ 0:	6.037	1.90473
Length    3, alignment  0/ 0:	6.04059	1.94852
Length    3, alignment  0/ 3:	5.73228	2.03604
Length    3, alignment  3/ 0:	5.73647	1.97797
Length    4, alignment  0/ 0:	5.73289	1.95463
Length    4, alignment  0/ 0:	5.73479	2.06709
Length    4, alignment  0/ 4:	5.72976	1.95562
Length    4, alignment  4/ 0:	5.73159	1.94121
Length    5, alignment  0/ 0:	5.74265	1.92876
Length    5, alignment  0/ 0:	5.48065	1.94624
Length    5, alignment  0/ 5:	5.4757	1.99796
Length    5, alignment  5/ 0:	5.46982	1.98325
Length    6, alignment  0/ 0:	5.72976	1.99834
Length    6, alignment  0/ 0:	5.72915	1.96288
Length    6, alignment  0/ 6:	5.7206	1.96378
Length    6, alignment  6/ 0:	5.73464	1.98836
Length    7, alignment  0/ 0:	5.45792	1.93487
Length    7, alignment  0/ 0:	5.46394	2.00407
Length    7, alignment  0/ 7:	5.45303	1.93243
Length    7, alignment  7/ 0:	5.45601	2.02528
Length    8, alignment  0/ 0:	5.46822	1.94601
Length    8, alignment  0/ 0:	5.45708	1.93174
Length    8, alignment  0/ 0:	5.45136	1.89214
Length    8, alignment  0/ 0:	5.50972	1.89222
Length    9, alignment  0/ 0:	5.50316	1.89199
Length    9, alignment  0/ 0:	5.51377	1.89222
Length    9, alignment  0/ 1:	5.50385	1.89886
Length    9, alignment  1/ 0:	5.50636	1.89199
Length   10, alignment  0/ 0:	5.52757	1.95898
Length   10, alignment  0/ 0:	5.51286	1.95829
Length   10, alignment  0/ 2:	5.52094	1.95951
Length   10, alignment  2/ 0:	5.52147	1.95936
Length   11, alignment  0/ 0:	5.51926	1.95951
Length   11, alignment  0/ 0:	5.52528	1.95936
Length   11, alignment  0/ 3:	5.52025	1.95928
Length   11, alignment  3/ 0:	5.52712	1.95951
Length   12, alignment  0/ 0:	5.52177	1.95898
Length   12, alignment  0/ 0:	5.55946	1.95798
Length   12, alignment  0/ 4:	5.52277	1.96127
Length   12, alignment  4/ 0:	5.52162	1.95937
Length   13, alignment  0/ 0:	5.51605	1.95898
Length   13, alignment  0/ 0:	5.53872	1.95905
Length   13, alignment  0/ 5:	5.51468	1.76732
Length   13, alignment  5/ 0:	5.51506	1.93083
Length   14, alignment  0/ 0:	5.5352	1.91793
Length   14, alignment  0/ 0:	5.51133	1.81065
Length   14, alignment  0/ 6:	5.51369	1.77693
Length   14, alignment  6/ 0:	5.51728	1.76633
Length   15, alignment  0/ 0:	5.78477	1.83163
Length   15, alignment  0/ 0:	5.78867	1.92106
Length   15, alignment  0/ 7:	5.78767	1.97859
Length   15, alignment  7/ 0:	5.79659	1.76725
Length   16, alignment  0/ 0:	5.80872	1.95959
Length   16, alignment  7/ 2:	5.7995	1.96264
Length   32, alignment  0/ 0:	6.04456	2.12592
Length   32, alignment  6/ 4:	6.08637	2.12828
Length   64, alignment  0/ 0:	5.76508	2.45948
Length   64, alignment  5/ 6:	5.79446	2.48688
Length  128, alignment  0/ 0:	7.76968	3.13715
Length  128, alignment  4/ 0:	7.76893	3.01942
Length  256, alignment  0/ 0:	10.9082	5.00381
Length  256, alignment  3/ 2:	11.4977	5.19965
Length  512, alignment  0/ 0:	11.2029	6.63112
Length  512, alignment  2/ 4:	12.62	7.43978
Length 1024, alignment  0/ 0:	19.1752	10.3683
Length 1024, alignment  1/ 6:	21.6444	12.1513
Length   16, alignment  1/ 2:	6.27489	2.07953
Length   16, alignment  2/ 1:	6.32677	1.9589
Length   16, alignment  1/ 1:	6.32045	1.95913
Length   16, alignment  1/ 1:	6.33433	1.95891
Length   32, alignment  2/ 4:	6.59999	2.26363
Length   32, alignment  4/ 2:	6.59923	2.24539
Length   32, alignment  2/ 2:	6.55826	2.2586
Length   32, alignment  2/ 2:	6.60472	2.33733
Length   64, alignment  3/ 6:	6.26627	2.5302
Length   64, alignment  6/ 3:	6.3325	2.58895
Length   64, alignment  3/ 3:	6.34235	2.59147
Length   64, alignment  3/ 3:	6.34219	2.64854
Length  128, alignment  4/ 0:	7.46328	3.00515
Length  128, alignment  0/ 4:	7.41927	3.04498
Length  128, alignment  4/ 4:	7.4584	2.99866
Length  128, alignment  4/ 4:	7.56903	2.94625
Length  256, alignment  5/ 2:	11.6679	5.04851
Length  256, alignment  2/ 5:	11.6123	5.09231
Length  256, alignment  5/ 5:	11.4819	4.83763
Length  256, alignment  5/ 5:	11.3766	4.95222
Length  512, alignment  6/ 4:	12.5284	7.20692
Length  512, alignment  4/ 6:	12.8299	7.47526
Length  512, alignment  6/ 6:	11.9141	6.6103
Length  512, alignment  6/ 6:	12.1865	6.60114
Length 1024, alignment  7/ 6:	20.6501	11.9422
Length 1024, alignment  6/ 7:	21.713	12.0243
Length 1024, alignment  7/ 7:	19.9336	10.4255
Length 1024, alignment  7/ 7:	19.9581	10.4509
Length    0, alignment  0/ 0:	6.01091	2.3941
Length    0, alignment  0/ 0:	5.74456	2.35152
Length    0, alignment  0/ 0:	5.73357	2.34313
Didn't expect signal from child: got `Aborted'
