                            	generic_memccpy	memccpy
Length   16, n   16, char 12, alignment  1/ 1:	6.04915	4.91871
Length   16, n   16, char 23, alignment  1/ 1:	6.06319	4.9372
Length   16, n   16, char 28, alignment  1/ 2:	6.03151	4.93771
Length   16, n   16, char 31, alignment  2/ 1:	6.02722	4.94553
Length    2, n    4, char 1, alignment  7/ 2:	5.75301	4.64876
Length    4, n    2, char 17, alignment  2/ 7:	6.58513	6.0198
Length    2, n    4, char 0, alignment  7/ 2:	5.75133	4.64084
Length    4, n    2, char 1, alignment  2/ 7:	6.59091	6.02457
Length   16, n   16, char 12, alignment  2/ 2:	6.29243	5.20648
Length   16, n   16, char 23, alignment  2/ 2:	6.28985	5.20776
Length   16, n   16, char 28, alignment  2/ 4:	6.29515	5.20778
Length   16, n   16, char 31, alignment  4/ 2:	6.30015	5.20215
Length    4, n    8, char 1, alignment  6/ 4:	6.02238	4.93576
Length    8, n    4, char 17, alignment  4/ 6:	7.10219	6.02447
Length    4, n    8, char 0, alignment  6/ 4:	6.01858	4.91942
Length    8, n    4, char 2, alignment  4/ 6:	7.11532	6.02785
Length   16, n   16, char 12, alignment  3/ 3:	6.28584	5.19897
Length   16, n   16, char 23, alignment  3/ 3:	6.29027	5.20677
Length   16, n   16, char 28, alignment  3/ 6:	6.30038	5.1988
Length   16, n   16, char 31, alignment  6/ 3:	6.30089	5.19128
Length    8, n   16, char 1, alignment  5/ 6:	6.02037	4.94166
Length   16, n    8, char 17, alignment  6/ 5:	7.11894	6.02388
Length    8, n   16, char 0, alignment  5/ 6:	6.0186	4.93554
Length   16, n    8, char 3, alignment  6/ 5:	7.11524	6.03224
Length   16, n   16, char 12, alignment  4/ 4:	6.29105	5.20721
Length   16, n   16, char 23, alignment  4/ 4:	6.29099	5.20862
Length   16, n   16, char 28, alignment  4/ 0:	6.29263	5.20469
Length   16, n   16, char 31, alignment  0/ 4:	6.28533	5.20568
Length   16, n   32, char 1, alignment  4/ 0:	6.29189	5.20473
Length   32, n   16, char 17, alignment  0/ 4:	7.10473	6.03304
Length   16, n   32, char 0, alignment  4/ 0:	6.29279	5.21857
Length   32, n   16, char 4, alignment  0/ 4:	7.10875	6.04683
Length   16, n   16, char 12, alignment  5/ 5:	6.29033	5.21469
Length   16, n   16, char 23, alignment  5/ 5:	6.29828	5.20904
Length   16, n   16, char 28, alignment  5/ 2:	6.28802	5.20223
Length   16, n   16, char 31, alignment  2/ 5:	6.28451	5.20978
Length   32, n   64, char 1, alignment  3/ 2:	6.01884	4.92173
Length   64, n   32, char 17, alignment  2/ 3:	6.84244	5.75679
Length   32, n   64, char 0, alignment  3/ 2:	6.0293	4.9346
Length   64, n   32, char 5, alignment  2/ 3:	6.8397	6.02896
Length   16, n   16, char 12, alignment  6/ 6:	6.28893	5.21114
Length   16, n   16, char 23, alignment  6/ 6:	6.29611	5.20736
Length   16, n   16, char 28, alignment  6/ 4:	6.28575	5.20763
Length   16, n   16, char 31, alignment  4/ 6:	6.28596	5.20053
Length   64, n  128, char 1, alignment  2/ 4:	6.5672	5.46692
Length  128, n   64, char 17, alignment  4/ 2:	6.84643	5.7598
Length   64, n  128, char 0, alignment  2/ 4:	6.5583	5.47886
Length  128, n   64, char 6, alignment  4/ 2:	6.84399	5.7524
Length   16, n   16, char 12, alignment  7/ 7:	6.56371	5.21293
Length   16, n   16, char 23, alignment  7/ 7:	6.56467	5.20067
Length   16, n   16, char 28, alignment  7/ 6:	6.56821	5.20316
Length   16, n   16, char 31, alignment  6/ 7:	6.57825	5.19248
Length  128, n  256, char 1, alignment  1/ 6:	6.84551	5.75454
Length  256, n  128, char 17, alignment  6/ 1:	7.11677	6.02829
Length  128, n  256, char 0, alignment  1/ 6:	6.83733	5.75166
Length  256, n  128, char 7, alignment  6/ 1:	7.12188	6.03161
Length    8, n   16, char 1, alignment  0/ 0:	6.57892	5.21879
Length   32, n   16, char 1, alignment  0/ 0:	7.38479	6.30663
Length    8, n   16, char 1, alignment  7/ 2:	6.57352	5.47453
Length   32, n   16, char 1, alignment  7/ 2:	7.40246	6.30883
Length   16, n   32, char 2, alignment  0/ 0:	6.59439	5.49822
Length   64, n   32, char 2, alignment  0/ 0:	7.11417	6.01551
Length   16, n   32, char 2, alignment  6/ 4:	6.57846	5.48718
Length   64, n   32, char 2, alignment  6/ 4:	7.13624	6.03405
