                            	generic_memccpy	memccpy
Length   32, n   64, char 3, alignment  0/ 0:	6.29256	5.21028
Length  128, n   64, char 3, alignment  0/ 0:	6.87124	5.76034
Length   32, n   64, char 3, alignment  5/ 6:	6.31739	5.19823
Length  128, n   64, char 3, alignment  5/ 6:	6.8491	5.74986
Length   64, n  128, char 4, alignment  0/ 0:	6.57869	5.46753
Length  256, n  128, char 4, alignment  0/ 0:	7.39912	6.32563
Length   64, n  128, char 4, alignment  4/ 0:	6.56312	5.47522
Length  256, n  128, char 4, alignment  4/ 0:	7.13731	6.02199
Length  128, n  256, char 5, alignment  0/ 0:	7.12131	6.01957
Length  512, n  256, char 5, alignment  0/ 0:	8.75461	7.69406
Length  128, n  256, char 5, alignment  3/ 2:	7.123	6.03031
Length  512, n  256, char 5, alignment  3/ 2:	9.04463	7.95247
Length  256, n  512, char 6, alignment  0/ 0:	8.23136	7.12157
Length 1024, n  512, char 6, alignment  0/ 0:	9.57859	8.76272
Length  256, n  512, char 6, alignment  2/ 4:	8.76245	7.75475
Length 1024, n  512, char 6, alignment  2/ 4:	10.2366	10.2726
Length  512, n 1024, char 7, alignment  0/ 0:	9.09499	9.05415
Length 2048, n 1024, char 7, alignment  0/ 0:	14.8272	14.7886
Length  512, n 1024, char 7, alignment  1/ 6:	10.6912	10.782
Length 2048, n 1024, char 7, alignment  1/ 6:	17.1366	17.2544
