                       	strtok
Length    4/2, alignment  0/ 0, found:	12.4609
Length    4/2, alignment  0/ 0, fail:	10.5615
Length    4/2, alignment  0/ 3, found:	11.4019
Length    4/2, alignment  0/ 3, fail:	11.3628
Length    4/2, alignment  0/ 9, found:	11.3672
Length    4/2, alignment  0/ 9, fail:	11.3628
Length    4/2, alignment  0/15, found:	11.6606
Length    4/2, alignment  0/15, fail:	11.6411
Length    4/2, alignment  3/ 0, found:	10.8545
Length    4/2, alignment  3/ 0, fail:	10.8306
Length    4/2, alignment  3/ 3, found:	11.6704
Length    4/2, alignment  3/ 3, fail:	11.6455
Length    4/2, alignment  3/ 9, found:	11.6309
Length    4/2, alignment  3/ 9, fail:	11.6313
Length    4/2, alignment  3/15, found:	11.6558
Length    4/2, alignment  3/15, fail:	11.6455
Length    4/2, alignment  9/ 0, found:	10.8301
Length    4/2, alignment  9/ 0, fail:	10.8257
Length    4/2, alignment  9/ 3, found:	11.6509
Length    4/2, alignment  9/ 3, fail:	11.6455
Length    4/2, alignment  9/ 9, found:	11.6313
Length    4/2, alignment  9/ 9, fail:	11.6313
Length    4/2, alignment  9/15, found:	11.6411
Length    4/2, alignment  9/15, fail:	11.6357
Length    4/2, alignment 15/ 0, found:	11.6606
Length    4/2, alignment 15/ 0, fail:	12.7446
Length    4/2, alignment 15/ 3, found:	12.73
Length    4/2, alignment 15/ 3, fail:	13.5449
Length    4/2, alignment 15/ 9, found:	12.73
Length    4/2, alignment 15/ 9, fail:	13.2617
Length    4/2, alignment 15/15, found:	13.0034
Length    4/2, alignment 15/15, fail:	13.814
Length    6/2, alignment  0/ 0, found:	12.2319
Length    6/2, alignment  0/ 0, fail:	11.3872
Length    6/2, alignment  0/ 3, found:	16.1968
Length    6/2, alignment  0/ 3, fail:	11.3818
Length    6/2, alignment  0/ 9, found:	12.2026
Length    6/2, alignment  0/ 9, fail:	11.3726
Length    6/2, alignment  0/15, found:	12.7739
Length    6/2, alignment  0/15, fail:	11.6602
Length    6/2, alignment  3/ 0, found:	11.4116
Length    6/2, alignment  3/ 0, fail:	11.3726
Length    6/2, alignment  3/ 3, found:	11.6899
Length    6/2, alignment  3/ 3, fail:	11.6455
Length    6/2, alignment  3/ 9, found:	11.646
Length    6/2, alignment  3/ 9, fail:	11.6313
Length    6/2, alignment  3/15, found:	11.9634
Length    6/2, alignment  3/15, fail:	11.9092
Length    6/2, alignment  9/ 0, found:	11.3823
Length    6/2, alignment  9/ 0, fail:	11.3677
Length    6/2, alignment  9/ 3, found:	11.646
Length    6/2, alignment  9/ 3, fail:	11.6309
Length    6/2, alignment  9/ 9, found:	11.6362
Length    6/2, alignment  9/ 9, fail:	11.6313
Length    6/2, alignment  9/15, found:	11.9243
Length    6/2, alignment  9/15, fail:	11.9043
Length    6/2, alignment 15/ 0, found:	13.0278
Length    6/2, alignment 15/ 0, fail:	13.5503
Length    6/2, alignment 15/ 3, found:	13.355
Length    6/2, alignment 15/ 3, fail:	13.5503
Length    6/2, alignment 15/ 9, found:	13.272
Length    6/2, alignment 15/ 9, fail:	13.5303
Length    6/2, alignment 15/15, found:	13.5698
Length    6/2, alignment 15/15, fail:	17.0708
Length    8/2, alignment  0/ 0, found:	12.2075
Length    8/2, alignment  0/ 0, fail:	11.1089
Length    8/2, alignment  0/ 3, found:	11.939
Length    8/2, alignment  0/ 3, fail:	11.9336
Length    8/2, alignment  0/ 9, found:	12.1782
Length    8/2, alignment  0/ 9, fail:	11.9097
Length    8/2, alignment  0/15, found:	15.9136
Length    8/2, alignment  0/15, fail:	11.6606
Length    8/2, alignment  3/ 0, found:	11.6797
Length    8/2, alignment  3/ 0, fail:	11.6411
Length    8/2, alignment  3/ 3, found:	12.1978
Length    8/2, alignment  3/ 3, fail:	11.9194
Length    8/2, alignment  3/ 9, found:	11.9043
Length    8/2, alignment  3/ 9, fail:	11.9097
Length    8/2, alignment  3/15, found:	12.2222
Length    8/2, alignment  3/15, fail:	12.188
Length    8/2, alignment  9/ 0, found:	11.6504
Length    8/2, alignment  9/ 0, fail:	13.0083
Length    8/2, alignment  9/ 3, found:	11.9194
Length    8/2, alignment  9/ 3, fail:	13.2671
Length    8/2, alignment  9/ 9, found:	11.939
Length    8/2, alignment  9/ 9, fail:	13.252
Length    8/2, alignment  9/15, found:	12.2075
Length    8/2, alignment  9/15, fail:	13.5552
Length    8/2, alignment 15/ 0, found:	13.0181
Length    8/2, alignment 15/ 0, fail:	13.5454
Length    8/2, alignment 15/ 3, found:	13.2769
Length    8/2, alignment 15/ 3, fail:	13.54
Length    8/2, alignment 15/ 9, found:	13.2568
Length    8/2, alignment 15/ 9, fail:	13.2524
Length    8/2, alignment 15/15, found:	13.5796
Length    8/2, alignment 15/15, fail:	14.0874
Length   10/2, alignment  0/ 0, found:	12.2124
Length   10/2, alignment  0/ 0, fail:	11.3916
Length   10/2, alignment  0/ 3, found:	16.5239
Length   10/2, alignment  0/ 3, fail:	11.6455
Length   10/2, alignment  0/ 9, found:	11.9194
Length   10/2, alignment  0/ 9, fail:	11.6313
Length   10/2, alignment  0/15, found:	12.793
Length   10/2, alignment  0/15, fail:	11.6504
Length   10/2, alignment  3/ 0, found:	11.1235
Length   10/2, alignment  3/ 0, fail:	14.4829
Length   10/2, alignment  3/ 3, found:	11.9341
Length   10/2, alignment  3/ 3, fail:	11.9141
Length   10/2, alignment  3/ 9, found:	11.9243
Length   10/2, alignment  3/ 9, fail:	11.9146
Length   10/2, alignment  3/15, found:	11.6655
Length   10/2, alignment  3/15, fail:	11.6406
Length   10/2, alignment  9/ 0, found:	10.8501
Length   10/2, alignment  9/ 0, fail:	12.4565
Length   10/2, alignment  9/ 3, found:	11.9341
Length   10/2, alignment  9/ 3, fail:	13.2666
Length   10/2, alignment  9/ 9, found:	11.9189
