[sonic] running official CMake benchmark (benchmark/main.cpp)
2026-08-24T10:22:35+08:00
Running /tmp/boostkit-perf/32682799285-1/HPC/sonic/1.0.2/aarch64/build/benchmark/bench
Run on (256 X 2900 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x128)
  L1 Instruction 64 KiB (x128)
  L2 Unified 1280 KiB (x128)
  L3 Unified 57344 KiB (x4)
Load Average: 0.77, 0.26, 0.09
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
twitterescaped/Decode_YYjson_cv                        0.02 %          0.02 %             5 bytes_per_second=0.02% testdata/twitterescaped.json
twitterescaped/Decode_SIMDjson_mean                  729203 ns       728520 ns            5 bytes_per_second=736.224Mi/s testdata/twitterescaped.json
twitterescaped/Decode_SIMDjson_median                729219 ns       728507 ns            5 bytes_per_second=736.237Mi/s testdata/twitterescaped.json
twitterescaped/Decode_SIMDjson_stddev                   254 ns          249 ns            5 bytes_per_second=257.475Ki/s testdata/twitterescaped.json
twitterescaped/Decode_SIMDjson_cv                      0.03 %          0.03 %             5 bytes_per_second=0.03% testdata/twitterescaped.json
twitterescaped/Decode_JsonCpp_mean                 30149754 ns     30125228 ns            5 bytes_per_second=17.8043Mi/s testdata/twitterescaped.json
twitterescaped/Decode_JsonCpp_median               30079340 ns     30054945 ns            5 bytes_per_second=17.8458Mi/s testdata/twitterescaped.json
twitterescaped/Decode_JsonCpp_stddev                 101808 ns       102182 ns            5 bytes_per_second=61.7615Ki/s testdata/twitterescaped.json
twitterescaped/Decode_JsonCpp_cv                       0.34 %          0.34 %             5 bytes_per_second=0.34% testdata/twitterescaped.json
twitter/Decode_SonicDyn_mean                         191234 ns       191084 ns            5 bytes_per_second=1.28858Gi/s testdata/twitter.json
twitter/Decode_SonicDyn_median                       191209 ns       191061 ns            5 bytes_per_second=1.28873Gi/s testdata/twitter.json
twitter/Decode_SonicDyn_stddev                         61.0 ns         60.2 ns            5 bytes_per_second=425.618Ki/s testdata/twitter.json
twitter/Decode_SonicDyn_cv                             0.03 %          0.03 %             5 bytes_per_second=0.03% testdata/twitter.json
twitter/Decode_Rapidjson_mean                        836747 ns       836200 ns            5 bytes_per_second=301.525Mi/s testdata/twitter.json
twitter/Decode_Rapidjson_median                      836684 ns       836174 ns            5 bytes_per_second=301.534Mi/s testdata/twitter.json
twitter/Decode_Rapidjson_stddev                         174 ns          166 ns            5 bytes_per_second=61.1781Ki/s testdata/twitter.json
