[snappy-benchmark] cd SOURCE_DIR && ./build/snappy_benchmark
2026-08-26T14:11:16+08:00
Running ./build/snappy_benchmark
Run on (16 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1024 KiB (x8)
  L3 Unified 32768 KiB (x1)
Load Average: 0.49, 0.13, 0.04
----------------------------------------------------------------------------------------
Benchmark                              Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------------------
BM_UFlat/0/1                       40139 ns        40023 ns        17636 bytes_per_second=2.38284G/s html
BM_UFlat/0/2                       32510 ns        32421 ns        20550 bytes_per_second=2.94154G/s html
BM_UFlat/1/1                      506551 ns       503816 ns         1380 bytes_per_second=1.29783G/s urls
BM_UFlat/1/2                      469127 ns       467505 ns         1497 bytes_per_second=1.39864G/s urls
BM_UFlat/2/1                        2400 ns         2393 ns       292469 bytes_per_second=47.8995G/s jpg
BM_UFlat/2/2                        2396 ns         2389 ns       292860 bytes_per_second=47.9843G/s jpg
BM_UFlat/3/1                        99.2 ns         98.9 ns      7162227 bytes_per_second=1.88309G/s jpg_200
BM_UFlat/3/2                        94.1 ns         93.8 ns      7451670 bytes_per_second=1.98558G/s jpg_200
BM_UFlat/4/1                        5385 ns         5370 ns       129383 bytes_per_second=17.7587G/s pdf
BM_UFlat/4/2                       10729 ns        10699 ns        65445 bytes_per_second=8.91334G/s pdf
BM_UFlat/5/1                      173172 ns       172651 ns         4055 bytes_per_second=2.20948G/s html4
BM_UFlat/5/2                      156815 ns       156321 ns         4470 bytes_per_second=2.4403G/s html4
BM_UFlat/6/1                      177993 ns       177498 ns         3956 bytes_per_second=817.156M/s txt1
BM_UFlat/6/2                      159127 ns       158662 ns         4408 bytes_per_second=914.168M/s txt1
BM_UFlat/7/1                      162065 ns       161622 ns         4320 bytes_per_second=738.636M/s txt2
BM_UFlat/7/2                      148558 ns       148154 ns         4728 bytes_per_second=805.784M/s txt2
BM_UFlat/8/1                      474031 ns       472486 ns         1482 bytes_per_second=861.368M/s txt3
BM_UFlat/8/2                      413496 ns       412183 ns         1698 bytes_per_second=987.388M/s txt3
BM_UFlat/9/1                      673810 ns       671553 ns         1039 bytes_per_second=684.292M/s txt4
BM_UFlat/9/2                      619914 ns       617817 ns         1130 bytes_per_second=743.81M/s txt4
BM_UFlat/10/1                      35395 ns        35298 ns        20857 bytes_per_second=3.12892G/s pb
BM_UFlat/10/2                      30282 ns        30199 ns        22103 bytes_per_second=3.65717G/s pb
BM_UFlat/11/1                     156518 ns       156087 ns         4490 bytes_per_second=1126.18M/s gaviota
BM_UFlat/11/2                     117442 ns       117113 ns         5923 bytes_per_second=1.46577G/s gaviota
BM_UFlatMedley                   2460658 ns      2452230 ns          285 bytes_per_second=1.11223G/s
BM_UValidate/0/1                   15278 ns        15236 ns        45946 bytes_per_second=6.25916G/s html
BM_UValidate/0/2                   13864 ns        13825 ns        50644 bytes_per_second=6.89794G/s html
BM_UValidate/1/1                  186349 ns       185816 ns         3719 bytes_per_second=3.51891G/s urls
BM_UValidate/1/2                  164741 ns       164271 ns         4231 bytes_per_second=3.98043G/s urls
BM_UValidate/2/1                    91.1 ns         90.8 ns      7718549 bytes_per_second=1.23286T/s jpg
BM_UValidate/2/2                    89.8 ns         89.6 ns      7805957 bytes_per_second=1.24953T/s jpg
BM_UValidate/3/1                    56.9 ns         56.7 ns     12319931 bytes_per_second=3.28466G/s jpg_200
BM_UValidate/3/2                    54.5 ns         54.3 ns     12891366 bytes_per_second=3.42919G/s jpg_200
BM_UValidate/4/1                    1531 ns         1527 ns       458574 bytes_per_second=62.469G/s pdf
BM_UValidate/4/2                    4546 ns         4534 ns       154378 bytes_per_second=21.0357G/s pdf
BM_UValidate/5/1                   61745 ns        61574 ns        11352 bytes_per_second=6.19526G/s html4
BM_UValidate/5/2                   55586 ns        55431 ns        12617 bytes_per_second=6.88186G/s html4
BM_UValidate/6/1                   67695 ns        67510 ns        10359 bytes_per_second=2.0981G/s txt1
BM_UValidate/6/2                   60807 ns        60644 ns        11527 bytes_per_second=2.33568G/s txt1
BM_UValidate/7/1                   59319 ns        59158 ns        11823 bytes_per_second=1.9707G/s txt2
BM_UValidate/7/2                   54736 ns        54591 ns        12807 bytes_per_second=2.13556G/s txt2
BM_UValidate/8/1                  182151 ns       181666 ns         3845 bytes_per_second=2.18778G/s txt3
BM_UValidate/8/2                  160539 ns       159832 ns         4323 bytes_per_second=2.48664G/s txt3
BM_UValidate/9/1                  341029 ns       340074 ns         2041 bytes_per_second=1.31962G/s txt4
BM_UValidate/9/2                  278928 ns       278144 ns         2507 bytes_per_second=1.61344G/s txt4
BM_UValidate/10/1                  13279 ns        13242 ns        52868 bytes_per_second=8.34012G/s pb
BM_UValidate/10/2                  12170 ns        12137 ns        57662 bytes_per_second=9.09978G/s pb
BM_UValidate/11/1                  68004 ns        67814 ns        10351 bytes_per_second=2.53135G/s gaviota
BM_UValidate/11/2                  52467 ns        52322 ns        13311 bytes_per_second=3.28084G/s gaviota
BM_UValidateMedley               1458850 ns      1453901 ns          481 bytes_per_second=1.87595G/s
BM_UIOVecSource/0/1                43071 ns        42951 ns        16298 bytes_per_second=2.22039G/s html (22.12 %)
BM_UIOVecSource/0/2                67638 ns        67452 ns        10373 bytes_per_second=1.41385G/s html (20.70 %)
BM_UIOVecSource/1/1              1045987 ns      1042287 ns          670 bytes_per_second=642.397M/s urls (47.28 %)
BM_UIOVecSource/1/2              1495085 ns      1490077 ns          470 bytes_per_second=449.347M/s urls (45.43 %)
BM_UIOVecSource/2/1                 6396 ns         6378 ns       109759 bytes_per_second=17.9739G/s jpg (99.95 %)
BM_UIOVecSource/2/2                34537 ns        34440 ns        20319 bytes_per_second=3.32866G/s jpg (99.95 %)
BM_UIOVecSource/3/1                  199 ns          198 ns      3526912 bytes_per_second=962.523M/s jpg_200 (73.00 %)
BM_UIOVecSource/3/2                  302 ns          302 ns      2323769 bytes_per_second=632.227M/s jpg_200 (72.50 %)
BM_UIOVecSource/4/1                 8745 ns         8720 ns        80222 bytes_per_second=10.9363G/s pdf (83.31 %)
BM_UIOVecSource/4/2               132376 ns       132008 ns         5297 bytes_per_second=739.777M/s pdf (80.99 %)
BM_UIOVecSource/5/1               177729 ns       177167 ns         3944 bytes_per_second=2.15316G/s html4 (22.40 %)
BM_UIOVecSource/5/2               283870 ns       282983 ns         2461 bytes_per_second=1.34803G/s html4 (20.82 %)
BM_UIOVecSource/6/1               204966 ns       204390 ns         3416 bytes_per_second=709.641M/s txt1 (57.09 %)
BM_UIOVecSource/6/2               351307 ns       350305 ns         1940 bytes_per_second=414.049M/s txt1 (52.31 %)
BM_UIOVecSource/7/1               178455 ns       177955 ns         3925 bytes_per_second=670.845M/s txt2 (61.13 %)
BM_UIOVecSource/7/2               298133 ns       297316 ns         2351 bytes_per_second=401.526M/s txt2 (56.77 %)
BM_UIOVecSource/8/1               924706 ns       921674 ns          758 bytes_per_second=441.571M/s txt3 (54.50 %)
BM_UIOVecSource/8/2              1369527 ns      1365367 ns          513 bytes_per_second=298.077M/s txt3 (49.40 %)
BM_UIOVecSource/9/1              1297458 ns      1293266 ns          541 bytes_per_second=355.332M/s txt4 (65.46 %)
BM_UIOVecSource/9/2              1885486 ns      1879887 ns          372 bytes_per_second=244.45M/s txt4 (60.99 %)
BM_UIOVecSource/10/1               39651 ns        39543 ns        17695 bytes_per_second=2.793G/s pb (19.51 %)
BM_UIOVecSource/10/2               63056 ns        62884 ns        11113 bytes_per_second=1.75632G/s pb (18.33 %)
BM_UIOVecSource/11/1              204090 ns       203532 ns         3439 bytes_per_second=863.655M/s gaviota (37.66 %)
BM_UIOVecSource/11/2              264791 ns       264068 ns         2654 bytes_per_second=665.668M/s gaviota (31.21 %)
BM_UIOVecSink/0                    37834 ns        37732 ns        18523 bytes_per_second=2.52751G/s html
BM_UIOVecSink/1                   598591 ns       596545 ns         1166 bytes_per_second=1122.4M/s urls
BM_UIOVecSink/2                     2433 ns         2426 ns       288591 bytes_per_second=47.2539G/s jpg
BM_UIOVecSink/3                      177 ns          176 ns      4000819 bytes_per_second=1081.8M/s jpg_200
BM_UIOVecSink/4                     5091 ns         5077 ns       137873 bytes_per_second=18.7828G/s pdf
BM_UFlatSink/0/1                   39507 ns        39396 ns        17712 bytes_per_second=2.42074G/s html
BM_UFlatSink/0/2                   35733 ns        35633 ns        19760 bytes_per_second=2.67637G/s html
BM_UFlatSink/1/1                  506218 ns       503681 ns         1385 bytes_per_second=1.29818G/s urls
BM_UFlatSink/1/2                  468878 ns       467230 ns         1500 bytes_per_second=1.39946G/s urls
BM_UFlatSink/2/1                    2367 ns         2361 ns       296369 bytes_per_second=48.5572G/s jpg
BM_UFlatSink/2/2                    2363 ns         2356 ns       296572 bytes_per_second=48.6483G/s jpg
BM_UFlatSink/3/1                     103 ns          103 ns      6800874 bytes_per_second=1.80942G/s jpg_200
BM_UFlatSink/3/2                    98.1 ns         97.8 ns      7151529 bytes_per_second=1.90376G/s jpg_200
BM_UFlatSink/4/1                    5460 ns         5445 ns       128536 bytes_per_second=17.5144G/s pdf
BM_UFlatSink/4/2                   10800 ns        10771 ns        64985 bytes_per_second=8.85407G/s pdf
BM_UFlatSink/5/1                  171619 ns       171079 ns         4071 bytes_per_second=2.22978G/s html4
BM_UFlatSink/5/2                  156102 ns       155627 ns         4483 bytes_per_second=2.45118G/s html4
BM_UFlatSink/6/1                  177970 ns       177483 ns         3945 bytes_per_second=817.222M/s txt1
BM_UFlatSink/6/2                  159088 ns       158647 ns         4428 bytes_per_second=914.252M/s txt1
BM_UFlatSink/7/1                  162611 ns       162168 ns         4322 bytes_per_second=736.148M/s txt2
