                       	strtok
Length   12/2, alignment  0/ 0, found:	33.2471
Length   12/2, alignment  0/ 0, fail:	33.2178
Length   12/2, alignment  0/ 3, found:	33.2275
Length   12/2, alignment  0/ 3, fail:	33.2129
Length   12/2, alignment  0/ 9, found:	33.2422
Length   12/2, alignment  0/ 9, fail:	33.2178
Length   12/2, alignment  0/15, found:	33.2373
Length   12/2, alignment  0/15, fail:	33.2031
Length   12/2, alignment  3/ 0, found:	33.2422
Length   12/2, alignment  3/ 0, fail:	33.2129
Length   12/2, alignment  3/ 3, found:	33.2275
Length   12/2, alignment  3/ 3, fail:	33.2031
Length   12/2, alignment  3/ 9, found:	33.2422
Length   12/2, alignment  3/ 9, fail:	33.2031
Length   12/2, alignment  3/15, found:	33.2373
Length   12/2, alignment  3/15, fail:	33.1982
Length   12/2, alignment  9/ 0, found:	33.2617
Length   12/2, alignment  9/ 0, fail:	33.8232
Length   12/2, alignment  9/ 3, found:	33.2373
Length   12/2, alignment  9/ 3, fail:	33.8379
Length   12/2, alignment  9/ 9, found:	33.2471
Length   12/2, alignment  9/ 9, fail:	33.8037
Length   12/2, alignment  9/15, found:	34.8535
Length   12/2, alignment  9/15, fail:	33.833
Length   12/2, alignment 15/ 0, found:	33.8477
Length   12/2, alignment 15/ 0, fail:	33.4082
Length   12/2, alignment 15/ 3, found:	33.833
Length   12/2, alignment 15/ 3, fail:	33.3838
Length   12/2, alignment 15/ 9, found:	33.8623
Length   12/2, alignment 15/ 9, fail:	33.3496
Length   12/2, alignment 15/15, found:	33.8428
Length   12/2, alignment 15/15, fail:	33.4131
Length   14/2, alignment  0/ 0, found:	33.2324
Length   14/2, alignment  0/ 0, fail:	33.2129
Length   14/2, alignment  0/ 3, found:	33.2617
Length   14/2, alignment  0/ 3, fail:	33.1982
Length   14/2, alignment  0/ 9, found:	33.2178
Length   14/2, alignment  0/ 9, fail:	33.1934
Length   14/2, alignment  0/15, found:	33.2324
Length   14/2, alignment  0/15, fail:	33.2031
Length   14/2, alignment  3/ 0, found:	33.2324
Length   14/2, alignment  3/ 0, fail:	33.833
Length   14/2, alignment  3/ 3, found:	33.2275
Length   14/2, alignment  3/ 3, fail:	33.8135
Length   14/2, alignment  3/ 9, found:	33.2324
Length   14/2, alignment  3/ 9, fail:	33.8232
Length   14/2, alignment  3/15, found:	33.2324
Length   14/2, alignment  3/15, fail:	33.8281
Length   14/2, alignment  9/ 0, found:	33.2471
Length   14/2, alignment  9/ 0, fail:	33.8037
Length   14/2, alignment  9/ 3, found:	33.2324
Length   14/2, alignment  9/ 3, fail:	33.8184
Length   14/2, alignment  9/ 9, found:	33.2227
Length   14/2, alignment  9/ 9, fail:	33.8184
Length   14/2, alignment  9/15, found:	33.2324
Length   14/2, alignment  9/15, fail:	33.8086
Length   14/2, alignment 15/ 0, found:	33.8525
Length   14/2, alignment 15/ 0, fail:	33.4668
Length   14/2, alignment 15/ 3, found:	33.8428
Length   14/2, alignment 15/ 3, fail:	33.3838
Length   14/2, alignment 15/ 9, found:	33.8477
Length   14/2, alignment 15/ 9, fail:	33.3984
Length   14/2, alignment 15/15, found:	33.8672
Length   14/2, alignment 15/15, fail:	33.374
Length   16/2, alignment  0/ 0, found:	33.2324
Length   16/2, alignment  0/ 0, fail:	33.8281
Length   16/2, alignment  0/ 3, found:	33.2422
Length   16/2, alignment  0/ 3, fail:	33.8037
Length   16/2, alignment  0/ 9, found:	33.2227
Length   16/2, alignment  0/ 9, fail:	33.8135
Length   16/2, alignment  0/15, found:	33.2275
Length   16/2, alignment  0/15, fail:	33.8037
Length   16/2, alignment  3/ 0, found:	33.2666
Length   16/2, alignment  3/ 0, fail:	33.8232
Length   16/2, alignment  3/ 3, found:	33.252
Length   16/2, alignment  3/ 3, fail:	33.8184
Length   16/2, alignment  3/ 9, found:	33.2275
Length   16/2, alignment  3/ 9, fail:	33.8086
Length   16/2, alignment  3/15, found:	33.252
Length   16/2, alignment  3/15, fail:	35.6104
Length   16/2, alignment  9/ 0, found:	33.8428
Length   16/2, alignment  9/ 0, fail:	33.8184
Length   16/2, alignment  9/ 3, found:	33.833
Length   16/2, alignment  9/ 3, fail:	33.8135
Length   16/2, alignment  9/ 9, found:	33.8525
Length   16/2, alignment  9/ 9, fail:	33.8037
Length   16/2, alignment  9/15, found:	33.8281
Length   16/2, alignment  9/15, fail:	33.8281
Length   16/2, alignment 15/ 0, found:	33.8379
Length   16/2, alignment 15/ 0, fail:	33.4033
Length   16/2, alignment 15/ 3, found:	33.8428
Length   16/2, alignment 15/ 3, fail:	33.3838
Length   16/2, alignment 15/ 9, found:	33.8232
Length   16/2, alignment 15/ 9, fail:	33.3838
Length   16/2, alignment 15/15, found:	33.8379
Length   16/2, alignment 15/15, fail:	33.3789
Length   18/2, alignment  0/ 0, found:	33.2373
Length   18/2, alignment  0/ 0, fail:	33.8574
Length   18/2, alignment  0/ 3, found:	33.2373
Length   18/2, alignment  0/ 3, fail:	33.8525
Length   18/2, alignment  0/ 9, found:	33.2373
Length   18/2, alignment  0/ 9, fail:	33.8184
Length   18/2, alignment  0/15, found:	33.3008
Length   18/2, alignment  0/15, fail:	33.8428
Length   18/2, alignment  3/ 0, found:	33.501
Length   18/2, alignment  3/ 0, fail:	33.833
Length   18/2, alignment  3/ 3, found:	33.2471
Length   18/2, alignment  3/ 3, fail:	33.8232
Length   18/2, alignment  3/ 9, found:	33.2373
Length   18/2, alignment  3/ 9, fail:	33.8428
Length   18/2, alignment  3/15, found:	33.4961
Length   18/2, alignment  3/15, fail:	33.8232
Length   18/2, alignment  9/ 0, found:	33.8623
Length   18/2, alignment  9/ 0, fail:	33.833
Length   18/2, alignment  9/ 3, found:	33.8379
Length   18/2, alignment  9/ 3, fail:	33.8281
Length   18/2, alignment  9/ 9, found:	33.8428
Length   18/2, alignment  9/ 9, fail:	33.8184
Length   18/2, alignment  9/15, found:	33.8525
Length   18/2, alignment  9/15, fail:	33.8232
Length   18/2, alignment 15/ 0, found:	33.8477
Length   18/2, alignment 15/ 0, fail:	33.4277
Length   18/2, alignment 15/ 3, found:	33.8281
Length   18/2, alignment 15/ 3, fail:	33.3691
Length   18/2, alignment 15/ 9, found:	33.8428
Length   18/2, alignment 15/ 9, fail:	33.4668
Length   18/2, alignment 15/15, found:	33.8281
Length   18/2, alignment 15/15, fail:	33.4033
Length   20/2, alignment  0/ 0, found:	33.2422
Length   20/2, alignment  0/ 0, fail:	33.833
Length   20/2, alignment  0/ 3, found:	33.2422
Length   20/2, alignment  0/ 3, fail:	33.8281
Length   20/2, alignment  0/ 9, found:	33.2422
Length   20/2, alignment  0/ 9, fail:	33.8379
Length   20/2, alignment  0/15, found:	33.2373
Length   20/2, alignment  0/15, fail:	35.3271
Length   20/2, alignment  3/ 0, found:	33.3594
Length   20/2, alignment  3/ 0, fail:	33.8428
Length   20/2, alignment  3/ 3, found:	33.5059
Length   20/2, alignment  3/ 3, fail:	33.8477
Length   20/2, alignment  3/ 9, found:	33.252
Length   20/2, alignment  3/ 9, fail:	33.8184
Length   20/2, alignment  3/15, found:	33.2861
Length   20/2, alignment  3/15, fail:	33.833
Length   20/2, alignment  9/ 0, found:	33.8574
Length   20/2, alignment  9/ 0, fail:	33.8477
Length   20/2, alignment  9/ 3, found:	33.8477
Length   20/2, alignment  9/ 3, fail:	33.8281
Length   20/2, alignment  9/ 9, found:	33.8574
Length   20/2, alignment  9/ 9, fail:	33.8281
Length   20/2, alignment  9/15, found:	33.8428
Length   20/2, alignment  9/15, fail:	33.8281
Length   20/2, alignment 15/ 0, found:	33.8379
Length   20/2, alignment 15/ 0, fail:	33.3984
Length   20/2, alignment 15/ 3, found:	33.8477
Length   20/2, alignment 15/ 3, fail:	33.3691
Length   20/2, alignment 15/ 9, found:	33.8281
Length   20/2, alignment 15/ 9, fail:	33.3838
Length   20/2, alignment 15/15, found:	33.833
Length   20/2, alignment 15/15, fail:	33.3838
Length   22/2, alignment  0/ 0, found:	33.2568
Length   22/2, alignment  0/ 0, fail:	33.833
Length   22/2, alignment  0/ 3, found:	33.2471
Length   22/2, alignment  0/ 3, fail:	33.8184
Length   22/2, alignment  0/ 9, found:	33.2471
Length   22/2, alignment  0/ 9, fail:	33.8379
Length   22/2, alignment  0/15, found:	33.2422
Length   22/2, alignment  0/15, fail:	33.8379
Length   22/2, alignment  3/ 0, found:	33.8525
Length   22/2, alignment  3/ 0, fail:	33.8281
Length   22/2, alignment  3/ 3, found:	33.8525
Length   22/2, alignment  3/ 3, fail:	33.8184
Length   22/2, alignment  3/ 9, found:	33.8281
Length   22/2, alignment  3/ 9, fail:	33.8379
Length   22/2, alignment  3/15, found:	33.833
Length   22/2, alignment  3/15, fail:	33.8428
Length   22/2, alignment  9/ 0, found:	33.8477
Length   22/2, alignment  9/ 0, fail:	33.8281
Length   22/2, alignment  9/ 3, found:	33.8281
Length   22/2, alignment  9/ 3, fail:	33.8428
Length   22/2, alignment  9/ 9, found:	33.8281
Length   22/2, alignment  9/ 9, fail:	33.8232
Length   22/2, alignment  9/15, found:	33.8428
Length   22/2, alignment  9/15, fail:	33.8232
Length   22/2, alignment 15/ 0, found:	33.8574
Length   22/2, alignment 15/ 0, fail:	33.4277
Length   22/2, alignment 15/ 3, found:	33.8281
Length   22/2, alignment 15/ 3, fail:	33.4033
Length   22/2, alignment 15/ 9, found:	33.8477
Length   22/2, alignment 15/ 9, fail:	33.4082
Length   22/2, alignment 15/15, found:	33.8281
Length   22/2, alignment 15/15, fail:	33.4131
Length   24/2, alignment  0/ 0, found:	35.1123
Length   24/2, alignment  0/ 0, fail:	33.833
Length   24/2, alignment  0/ 3, found:	33.8525
Length   24/2, alignment  0/ 3, fail:	33.8232
Length   24/2, alignment  0/ 9, found:	33.8379
Length   24/2, alignment  0/ 9, fail:	33.8379
Length   24/2, alignment  0/15, found:	33.833
Length   24/2, alignment  0/15, fail:	33.8281
Length   24/2, alignment  3/ 0, found:	33.8428
Length   24/2, alignment  3/ 0, fail:	33.8281
Length   24/2, alignment  3/ 3, found:	33.8379
Length   24/2, alignment  3/ 3, fail:	33.8379
Length   24/2, alignment  3/ 9, found:	33.8428
Length   24/2, alignment  3/ 9, fail:	33.833
Length   24/2, alignment  3/15, found:	33.8721
Length   24/2, alignment  3/15, fail:	33.8232
Length   24/2, alignment  9/ 0, found:	33.8428
Length   24/2, alignment  9/ 0, fail:	33.8574
Length   24/2, alignment  9/ 3, found:	33.8477
Length   24/2, alignment  9/ 3, fail:	33.8281
Length   24/2, alignment  9/ 9, found:	33.8574
Length   24/2, alignment  9/ 9, fail:	33.8184
Length   24/2, alignment  9/15, found:	33.8379
Length   24/2, alignment  9/15, fail:	33.8281
Length   24/2, alignment 15/ 0, found:	33.8379
Length   24/2, alignment 15/ 0, fail:	33.3789
Length   24/2, alignment 15/ 3, found:	33.8525
Length   24/2, alignment 15/ 3, fail:	33.374
Length   24/2, alignment 15/ 9, found:	33.8281
Length   24/2, alignment 15/ 9, fail:	33.4082
Length   24/2, alignment 15/15, found:	33.8281
Length   24/2, alignment 15/15, fail:	33.4033
Length   26/2, alignment  0/ 0, found:	33.8525
Length   26/2, alignment  0/ 0, fail:	33.8379
Length   26/2, alignment  0/ 3, found:	33.833
Length   26/2, alignment  0/ 3, fail:	33.8379
Length   26/2, alignment  0/ 9, found:	33.833
Length   26/2, alignment  0/ 9, fail:	33.833
Length   26/2, alignment  0/15, found:	33.8477
Length   26/2, alignment  0/15, fail:	33.8135
Length   26/2, alignment  3/ 0, found:	33.833
Length   26/2, alignment  3/ 0, fail:	33.8379
Length   26/2, alignment  3/ 3, found:	33.833
Length   26/2, alignment  3/ 3, fail:	33.8281
Length   26/2, alignment  3/ 9, found:	33.8525
Length   26/2, alignment  3/ 9, fail:	33.8281
Length   26/2, alignment  3/15, found:	33.8379
Length   26/2, alignment  3/15, fail:	33.8281
Length   26/2, alignment  9/ 0, found:	33.833
Length   26/2, alignment  9/ 0, fail:	33.8281
Length   26/2, alignment  9/ 3, found:	33.8477
Length   26/2, alignment  9/ 3, fail:	33.8281
Length   26/2, alignment  9/ 9, found:	33.8281
Length   26/2, alignment  9/ 9, fail:	33.8428
Length   26/2, alignment  9/15, found:	33.833
Length   26/2, alignment  9/15, fail:	33.833
Length   26/2, alignment 15/ 0, found:	35.5908
Length   26/2, alignment 15/ 0, fail:	33.4717
Length   26/2, alignment 15/ 3, found:	34.1699
Length   26/2, alignment 15/ 3, fail:	33.4277
Length   26/2, alignment 15/ 9, found:	34.1553
Length   26/2, alignment 15/ 9, fail:	33.3936
Length   26/2, alignment 15/15, found:	34.165
Length   26/2, alignment 15/15, fail:	33.4717
Length   28/2, alignment  0/ 0, found:	33.8525
Length   28/2, alignment  0/ 0, fail:	33.8525
Length   28/2, alignment  0/ 3, found:	33.8477
Length   28/2, alignment  0/ 3, fail:	33.833
Length   28/2, alignment  0/ 9, found:	33.8672
Length   28/2, alignment  0/ 9, fail:	33.8184
Length   28/2, alignment  0/15, found:	33.8379
Length   28/2, alignment  0/15, fail:	33.8477
Length   28/2, alignment  3/ 0, found:	33.8379
Length   28/2, alignment  3/ 0, fail:	33.8184
Length   28/2, alignment  3/ 3, found:	33.8525
Length   28/2, alignment  3/ 3, fail:	33.8428
Length   28/2, alignment  3/ 9, found:	33.833
Length   28/2, alignment  3/ 9, fail:	33.833
Length   28/2, alignment  3/15, found:	33.8379
Length   28/2, alignment  3/15, fail:	33.8184
Length   28/2, alignment  9/ 0, found:	33.8428
Length   28/2, alignment  9/ 0, fail:	33.8428
Length   28/2, alignment  9/ 3, found:	33.8574
Length   28/2, alignment  9/ 3, fail:	33.833
Length   28/2, alignment  9/ 9, found:	33.8721
Length   28/2, alignment  9/ 9, fail:	33.833
Length   28/2, alignment  9/15, found:	33.8379
Length   28/2, alignment  9/15, fail:	33.8525
Length   28/2, alignment 15/ 0, found:	34.165
Length   28/2, alignment 15/ 0, fail:	33.4229
Length   28/2, alignment 15/ 3, found:	34.1797
Length   28/2, alignment 15/ 3, fail:	33.374
Length   28/2, alignment 15/ 9, found:	34.1602
Length   28/2, alignment 15/ 9, fail:	33.4326
Length   28/2, alignment 15/15, found:	34.1602
Length   28/2, alignment 15/15, fail:	33.3936
Length   30/2, alignment  0/ 0, found:	33.8428
Length   30/2, alignment  0/ 0, fail:	33.8281
Length   30/2, alignment  0/ 3, found:	33.833
Length   30/2, alignment  0/ 3, fail:	33.8428
Length   30/2, alignment  0/ 9, found:	33.8379
Length   30/2, alignment  0/ 9, fail:	33.8184
Length   30/2, alignment  0/15, found:	33.8525
Length   30/2, alignment  0/15, fail:	33.8184
Length   30/2, alignment  3/ 0, found:	33.833
Length   30/2, alignment  3/ 0, fail:	33.8428
Length   30/2, alignment  3/ 3, found:	33.8379
Length   30/2, alignment  3/ 3, fail:	33.8281
Length   30/2, alignment  3/ 9, found:	33.8672
Length   30/2, alignment  3/ 9, fail:	33.8281
Length   30/2, alignment  3/15, found:	33.8379
Length   30/2, alignment  3/15, fail:	33.8477
Length   30/2, alignment  9/ 0, found:	33.8428
Length   30/2, alignment  9/ 0, fail:	35.498
Length   30/2, alignment  9/ 3, found:	33.8428
Length   30/2, alignment  9/ 3, fail:	33.8184
Length   30/2, alignment  9/ 9, found:	33.8525
Length   30/2, alignment  9/ 9, fail:	33.833
Length   30/2, alignment  9/15, found:	33.8379
Length   30/2, alignment  9/15, fail:	33.8184
Length   30/2, alignment 15/ 0, found:	34.1797
Length   30/2, alignment 15/ 0, fail:	33.3887
Length   30/2, alignment 15/ 3, found:	34.165
Length   30/2, alignment 15/ 3, fail:	33.4277
Length   30/2, alignment 15/ 9, found:	34.1602
Length   30/2, alignment 15/ 9, fail:	33.3936
Length   30/2, alignment 15/15, found:	34.1748
Length   30/2, alignment 15/15, fail:	33.3838
Length    6/3, alignment  0/ 0, found:	33.3447
Length    6/3, alignment  0/ 0, fail:	33.2422
Length    6/3, alignment  0/ 3, found:	33.2959
Length    6/3, alignment  0/ 3, fail:	33.2812
Length    6/3, alignment  0/ 9, found:	33.2861
Length    6/3, alignment  0/ 9, fail:	33.2959
Length    6/3, alignment  0/15, found:	33.2959
Length    6/3, alignment  0/15, fail:	33.3008
Length    6/3, alignment  3/ 0, found:	33.3252
Length    6/3, alignment  3/ 0, fail:	33.3105
Length    6/3, alignment  3/ 3, found:	33.2812
Length    6/3, alignment  3/ 3, fail:	33.2568
Length    6/3, alignment  3/ 9, found:	33.2959
Length    6/3, alignment  3/ 9, fail:	33.2227
Length    6/3, alignment  3/15, found:	33.2764
Length    6/3, alignment  3/15, fail:	33.3154
Length    6/3, alignment  9/ 0, found:	33.2617
Length    6/3, alignment  9/ 0, fail:	33.2471
Length    6/3, alignment  9/ 3, found:	33.3057
Length    6/3, alignment  9/ 3, fail:	33.2715
Length    6/3, alignment  9/ 9, found:	33.2715
Length    6/3, alignment  9/ 9, fail:	33.2812
Length    6/3, alignment  9/15, found:	33.2812
Length    6/3, alignment  9/15, fail:	33.2715
Length    6/3, alignment 15/ 0, found:	34.3066
Length    6/3, alignment 15/ 0, fail:	33.9941
