                       	strsep
Length    8/2, alignment  0/ 0, found:	16.908
Length    8/2, alignment  0/ 0, fail:	14.834
Length    8/2, alignment  0/ 3, found:	16.9055
Length    8/2, alignment  0/ 3, fail:	14.8328
Length    8/2, alignment  0/ 9, found:	16.9043
Length    8/2, alignment  0/ 9, fail:	14.8328
Length    8/2, alignment  0/15, found:	16.9019
Length    8/2, alignment  0/15, fail:	14.8328
Length    8/2, alignment  3/ 0, found:	16.9031
Length    8/2, alignment  3/ 0, fail:	14.8315
Length    8/2, alignment  3/ 3, found:	16.9019
Length    8/2, alignment  3/ 3, fail:	14.8291
Length    8/2, alignment  3/ 9, found:	16.9031
Length    8/2, alignment  3/ 9, fail:	14.8291
Length    8/2, alignment  3/15, found:	16.9031
Length    8/2, alignment  3/15, fail:	14.8315
Length    8/2, alignment  9/ 0, found:	16.9019
Length    8/2, alignment  9/ 0, fail:	15.2356
Length    8/2, alignment  9/ 3, found:	16.9031
Length    8/2, alignment  9/ 3, fail:	15.2332
Length    8/2, alignment  9/ 9, found:	16.9067
Length    8/2, alignment  9/ 9, fail:	15.2344
Length    8/2, alignment  9/15, found:	16.9031
Length    8/2, alignment  9/15, fail:	15.2429
Length    8/2, alignment 15/ 0, found:	17.3267
Length    8/2, alignment 15/ 0, fail:	15.238
Length    8/2, alignment 15/ 3, found:	17.3389
Length    8/2, alignment 15/ 3, fail:	15.238
Length    8/2, alignment 15/ 9, found:	19.6252
Length    8/2, alignment 15/ 9, fail:	15.2356
Length    8/2, alignment 15/15, found:	17.3315
Length    8/2, alignment 15/15, fail:	15.2429
Length   10/2, alignment  0/ 0, found:	16.9043
Length   10/2, alignment  0/ 0, fail:	14.8376
Length   10/2, alignment  0/ 3, found:	16.9067
Length   10/2, alignment  0/ 3, fail:	14.8328
Length   10/2, alignment  0/ 9, found:	16.9043
Length   10/2, alignment  0/ 9, fail:	14.8328
Length   10/2, alignment  0/15, found:	16.9006
Length   10/2, alignment  0/15, fail:	14.8303
Length   10/2, alignment  3/ 0, found:	16.9019
Length   10/2, alignment  3/ 0, fail:	14.8303
Length   10/2, alignment  3/ 3, found:	16.9006
Length   10/2, alignment  3/ 3, fail:	14.8303
Length   10/2, alignment  3/ 9, found:	16.9019
Length   10/2, alignment  3/ 9, fail:	14.8315
Length   10/2, alignment  3/15, found:	16.9006
Length   10/2, alignment  3/15, fail:	14.8315
Length   10/2, alignment  9/ 0, found:	16.9031
Length   10/2, alignment  9/ 0, fail:	15.2014
Length   10/2, alignment  9/ 3, found:	16.9006
Length   10/2, alignment  9/ 3, fail:	15.238
Length   10/2, alignment  9/ 9, found:	16.9031
Length   10/2, alignment  9/ 9, fail:	15.2344
Length   10/2, alignment  9/15, found:	16.9019
Length   10/2, alignment  9/15, fail:	15.2441
Length   10/2, alignment 15/ 0, found:	17.3389
Length   10/2, alignment 15/ 0, fail:	15.2332
Length   10/2, alignment 15/ 3, found:	17.8894
Length   10/2, alignment 15/ 3, fail:	15.2332
Length   10/2, alignment 15/ 9, found:	17.3254
Length   10/2, alignment 15/ 9, fail:	15.2356
Length   10/2, alignment 15/15, found:	17.3547
Length   10/2, alignment 15/15, fail:	15.2454
Length   12/2, alignment  0/ 0, found:	16.9019
Length   12/2, alignment  0/ 0, fail:	14.8328
Length   12/2, alignment  0/ 3, found:	16.9043
Length   12/2, alignment  0/ 3, fail:	14.834
Length   12/2, alignment  0/ 9, found:	16.9031
Length   12/2, alignment  0/ 9, fail:	14.834
Length   12/2, alignment  0/15, found:	16.9019
Length   12/2, alignment  0/15, fail:	14.834
Length   12/2, alignment  3/ 0, found:	16.9031
Length   12/2, alignment  3/ 0, fail:	14.8315
Length   12/2, alignment  3/ 3, found:	16.9031
Length   12/2, alignment  3/ 3, fail:	14.8303
Length   12/2, alignment  3/ 9, found:	16.9031
Length   12/2, alignment  3/ 9, fail:	14.8303
Length   12/2, alignment  3/15, found:	16.9031
Length   12/2, alignment  3/15, fail:	14.8291
Length   12/2, alignment  9/ 0, found:	16.9019
Length   12/2, alignment  9/ 0, fail:	15.238
Length   12/2, alignment  9/ 3, found:	16.9043
Length   12/2, alignment  9/ 3, fail:	15.2393
