                            	generic_memccpy	memccpy
Length   64, n   32, char 17, alignment  2/ 3:	5.29503	4.83595
Length   32, n   64, char 0, alignment  3/ 2:	6.15536	5.50072
Length   64, n   32, char 5, alignment  2/ 3:	5.29114	4.83238
Length   16, n   16, char 12, alignment  6/ 6:	5.48424	4.72429
Length   16, n   16, char 23, alignment  6/ 6:	5.48624	4.71735
Length   16, n   16, char 28, alignment  6/ 4:	5.4859	4.71897
Length   16, n   16, char 31, alignment  4/ 6:	5.48418	4.72416
Length   64, n  128, char 1, alignment  2/ 4:	6.82123	6.425
Length  128, n   64, char 17, alignment  4/ 2:	5.97801	5.52145
Length   64, n  128, char 0, alignment  2/ 4:	6.82491	6.4237
Length  128, n   64, char 6, alignment  4/ 2:	5.98166	5.51861
Length   16, n   16, char 12, alignment  7/ 7:	5.4875	4.72292
Length   16, n   16, char 23, alignment  7/ 7:	5.48397	4.73167
Length   16, n   16, char 28, alignment  7/ 6:	5.48576	4.71506
Length   16, n   16, char 31, alignment  6/ 7:	5.48771	4.72982
Length  128, n  256, char 1, alignment  1/ 6:	8.77157	8.22987
Length  256, n  128, char 17, alignment  6/ 1:	7.93604	7.58846
Length  128, n  256, char 0, alignment  1/ 6:	8.70979	8.21718
Length  256, n  128, char 7, alignment  6/ 1:	7.93421	7.5901
Length    8, n   16, char 1, alignment  0/ 0:	4.61271	4.05443
Length   32, n   16, char 1, alignment  0/ 0:	4.48551	3.7932
Length    8, n   16, char 1, alignment  7/ 2:	4.94282	4.05823
Length   32, n   16, char 1, alignment  7/ 2:	4.94335	4.4857
Length   16, n   32, char 2, alignment  0/ 0:	4.6069	4.01222
Length   64, n   32, char 2, alignment  0/ 0:	4.94596	4.48284
Length   16, n   32, char 2, alignment  6/ 4:	5.83029	4.83303
Length   64, n   32, char 2, alignment  6/ 4:	5.28845	4.83427
Length   32, n   64, char 3, alignment  0/ 0:	5.3558	4.82782
Length  128, n   64, char 3, alignment  0/ 0:	5.63702	5.17601
Length   32, n   64, char 3, alignment  5/ 6:	6.15711	5.47689
Length  128, n   64, char 3, alignment  5/ 6:	5.98116	5.5208
Length   64, n  128, char 4, alignment  0/ 0:	6.00645	5.57123
Length  256, n  128, char 4, alignment  0/ 0:	7.59228	7.2485
Length   64, n  128, char 4, alignment  4/ 0:	6.81034	6.39275
Length  256, n  128, char 4, alignment  4/ 0:	7.93793	7.59386
Length  128, n  256, char 5, alignment  0/ 0:	7.93709	7.27631
Length  512, n  256, char 5, alignment  0/ 0:	11.3843	11.0477
Length  128, n  256, char 5, alignment  3/ 2:	8.70064	8.22792
Length  512, n  256, char 5, alignment  3/ 2:	11.7462	11.5228
Length  256, n  512, char 6, alignment  0/ 0:	11.7529	11.3944
Length 1024, n  512, char 6, alignment  0/ 0:	21.5134	21.5294
Length  256, n  512, char 6, alignment  2/ 4:	12.6452	12.3222
Length 1024, n  512, char 6, alignment  2/ 4:	22.4828	23.0375
Length  512, n 1024, char 7, alignment  0/ 0:	22.2749	21.1696
Length 2048, n 1024, char 7, alignment  0/ 0:	38.79	38.8784
Length  512, n 1024, char 7, alignment  1/ 6:	23.3518	22.2218
Length 2048, n 1024, char 7, alignment  1/ 6:	40.6667	41.026
