                            	generic_memccpy	memccpy
Length   16, n   16, char 12, alignment  1/ 1:	5.50476	4.73122
Length   16, n   16, char 23, alignment  1/ 1:	5.49036	4.71449
Length   16, n   16, char 28, alignment  1/ 2:	5.48946	4.72351
Length   16, n   16, char 31, alignment  2/ 1:	5.48416	4.72761
Length    2, n    4, char 1, alignment  7/ 2:	4.93906	4.4816
Length    4, n    2, char 17, alignment  2/ 7:	4.14595	4.48294
Length    2, n    4, char 0, alignment  7/ 2:	4.94267	4.47529
Length    4, n    2, char 1, alignment  2/ 7:	4.15001	4.49421
Length   16, n   16, char 12, alignment  2/ 2:	5.48538	4.73549
Length   16, n   16, char 23, alignment  2/ 2:	5.51498	4.71415
Length   16, n   16, char 28, alignment  2/ 4:	5.49187	4.75401
Length   16, n   16, char 31, alignment  4/ 2:	5.48424	4.72292
Length    4, n    8, char 1, alignment  6/ 4:	4.93858	4.11507
Length    8, n    4, char 17, alignment  4/ 6:	4.14249	4.13813
Length    4, n    8, char 0, alignment  6/ 4:	4.94259	4.11449
Length    8, n    4, char 2, alignment  4/ 6:	4.14268	4.13801
Length   16, n   16, char 12, alignment  3/ 3:	5.4867	4.71985
Length   16, n   16, char 23, alignment  3/ 3:	5.49013	4.72076
Length   16, n   16, char 28, alignment  3/ 6:	5.49295	4.71727
Length   16, n   16, char 31, alignment  6/ 3:	5.48433	4.71991
Length    8, n   16, char 1, alignment  5/ 6:	4.93704	4.05832
Length   16, n    8, char 17, alignment  6/ 5:	4.48578	3.79326
Length    8, n   16, char 0, alignment  5/ 6:	4.93933	4.05384
Length   16, n    8, char 3, alignment  6/ 5:	4.48496	3.7932
Length   16, n   16, char 12, alignment  4/ 4:	5.48611	4.72673
Length   16, n   16, char 23, alignment  4/ 4:	5.48431	4.71989
Length   16, n   16, char 28, alignment  4/ 0:	5.48794	4.71399
Length   16, n   16, char 31, alignment  0/ 4:	4.6109	4.0132
Length   16, n   32, char 1, alignment  4/ 0:	5.78876	4.83234
Length   32, n   16, char 17, alignment  0/ 4:	4.48586	3.7932
Length   16, n   32, char 0, alignment  4/ 0:	5.73652	4.83025
Length   32, n   16, char 4, alignment  0/ 4:	4.48582	3.79318
Length   16, n   16, char 12, alignment  5/ 5:	5.4888	4.71735
Length   16, n   16, char 23, alignment  5/ 5:	5.51863	4.72975
Length   16, n   16, char 28, alignment  5/ 2:	5.49128	4.71533
Length   16, n   16, char 31, alignment  2/ 5:	5.4871	4.71964
Length   32, n   64, char 1, alignment  3/ 2:	6.15679	5.4661
