                       	__stpcpy_chk	normal_stpcpy
Length    9, alignment  0/ 0:	3.80196	2.10335
Length    9, alignment  0/ 1:	3.80135	2.13463
Length    9, alignment  1/ 0:	3.80737	2.12372
Length   10, alignment  0/ 0:	3.80104	2.10457
Length   10, alignment  0/ 0:	3.80028	2.10556
Length   10, alignment  0/ 2:	3.79959	2.10381
Length   10, alignment  2/ 0:	3.8063	2.16011
Length   11, alignment  0/ 0:	3.80043	2.10388
Length   11, alignment  0/ 0:	3.80058	2.10411
Length   11, alignment  0/ 3:	3.80035	2.10373
Length   11, alignment  3/ 0:	3.80623	2.12311
Length   12, alignment  0/ 0:	3.80058	2.10396
Length   12, alignment  0/ 0:	3.83652	2.10327
Length   12, alignment  0/ 4:	3.80219	2.10495
Length   12, alignment  4/ 0:	4.10057	2.46513
Length   13, alignment  0/ 0:	3.80173	2.10541
Length   13, alignment  0/ 0:	3.80211	2.10358
Length   13, alignment  0/ 5:	3.82751	2.10358
Length   13, alignment  5/ 0:	4.1011	2.46544
Length   14, alignment  0/ 0:	3.80066	2.10381
Length   14, alignment  0/ 0:	3.80104	2.10358
Length   14, alignment  0/ 6:	3.80035	2.10388
Length   14, alignment  6/ 0:	4.1349	2.46452
Length   15, alignment  0/ 0:	3.6763	2.09976
Length   15, alignment  0/ 0:	3.67622	2.09877
Length   15, alignment  0/ 7:	3.67798	2.09862
Length   15, alignment  7/ 0:	4.10904	2.46536
Length   16, alignment  0/ 0:	4.12003	2.37389
Length   16, alignment  7/ 2:	4.11018	2.36763
Length   32, alignment  0/ 0:	4.82262	3.11783
Length   32, alignment  6/ 4:	4.91714	3.11867
Length   64, alignment  0/ 0:	6.21796	3.75671
Length   64, alignment  5/ 6:	6.22246	3.75381
Length  128, alignment  0/ 0:	7.2879	5.11772
Length  128, alignment  4/ 0:	7.32292	5.12558
Length  256, alignment  0/ 0:	11.39	8.73825
Length  256, alignment  3/ 2:	11.3416	8.71796
Length  512, alignment  0/ 0:	20.9126	14.5095
Length  512, alignment  2/ 4:	21.1337	14.5016
Length 1024, alignment  0/ 0:	37.255	26.834
Length 1024, alignment  1/ 6:	38.688	27.1316
Length   16, alignment  1/ 2:	4.11644	2.39655
Length   16, alignment  2/ 1:	4.11285	2.3941
Length   16, alignment  1/ 1:	4.11324	2.39326
Length   16, alignment  1/ 1:	4.13269	2.37427
Length   32, alignment  2/ 4:	4.93286	3.11943
Length   32, alignment  4/ 2:	4.93355	3.12096
Length   32, alignment  2/ 2:	4.93362	3.11951
Length   32, alignment  2/ 2:	4.94102	3.13263
Length   64, alignment  3/ 6:	6.22383	3.75801
Length   64, alignment  6/ 3:	6.21513	3.75877
Length   64, alignment  3/ 3:	6.24626	3.76892
Length   64, alignment  3/ 3:	6.21826	3.76816
Length  128, alignment  4/ 0:	7.29134	5.1281
Length  128, alignment  0/ 4:	7.34802	5.12878
Length  128, alignment  4/ 4:	7.33574	5.15282
Length  128, alignment  4/ 4:	7.33391	5.14206
Length  256, alignment  5/ 2:	11.3999	8.72238
Length  256, alignment  2/ 5:	11.3995	8.71948
Length  256, alignment  5/ 5:	11.3686	8.75175
Length  256, alignment  5/ 5:	11.3969	8.72147
Length  512, alignment  6/ 4:	20.7521	14.5359
Length  512, alignment  4/ 6:	21.0054	14.5263
Length  512, alignment  6/ 6:	21.0957	14.5473
Length  512, alignment  6/ 6:	21.775	14.5346
Length 1024, alignment  7/ 6:	38.4188	26.8025
Length 1024, alignment  6/ 7:	38.4806	26.7667
Length 1024, alignment  7/ 7:	37.5584	26.5868
Length 1024, alignment  7/ 7:	37.2971	26.581
Length    0, alignment  0/ 0:	4.16138	3.10402
Length    0, alignment  0/ 0:	4.14246	3.10364
Length    0, alignment  0/ 0:	4.14276	3.10371
Length    0, alignment  0/ 0:	4.14238	3.10356
Length    1, alignment  0/ 0:	4.16115	2.75902
Length    1, alignment  0/ 0:	4.14215	2.75887
Length    1, alignment  0/ 1:	4.14246	2.75894
Length    1, alignment  1/ 0:	4.14284	2.75887
Length    2, alignment  0/ 0:	4.14238	2.77382
Length    2, alignment  0/ 0:	4.14207	2.75879
Length    2, alignment  0/ 2:	4.14261	2.75879
Length    2, alignment  2/ 0:	4.1423	2.75879
Length    3, alignment  0/ 0:	3.82126	2.41417
Length    3, alignment  0/ 0:	3.8308	2.41402
Length    3, alignment  0/ 3:	3.81996	2.41402
Length    3, alignment  3/ 0:	3.81996	2.41409
Length    4, alignment  0/ 0:	3.82057	2.41394
Length    4, alignment  0/ 0:	3.82072	2.41394
Length    4, alignment  0/ 4:	3.82965	2.41409
Length    4, alignment  4/ 0:	3.82912	2.41409
Length    5, alignment  0/ 0:	3.82019	2.41402
Length    5, alignment  0/ 0:	3.82126	2.41394
Length    5, alignment  0/ 5:	3.82065	2.41409
Length    5, alignment  5/ 0:	3.83873	2.41402
Length    6, alignment  0/ 0:	3.82019	2.41402
Length    6, alignment  0/ 0:	3.81996	2.41402
Length    6, alignment  0/ 6:	3.81981	2.41394
Length    6, alignment  6/ 0:	3.83026	2.42256
Length    7, alignment  0/ 0:	3.7928	2.41394
Length    7, alignment  0/ 0:	3.7925	2.41394
Length    7, alignment  0/ 7:	3.79181	2.41402
Length    7, alignment  7/ 0:	3.80913	2.41402
Length    8, alignment  0/ 0:	3.80127	2.12013
Length    8, alignment  0/ 0:	3.8002	2.10442
Length    8, alignment  0/ 0:	3.80196	2.10403
Length    8, alignment  0/ 0:	3.79959	2.10411
Length    9, alignment  0/ 0:	3.80135	2.10442
Length    9, alignment  0/ 0:	3.80104	2.10457
Length    9, alignment  0/ 1:	3.81706	2.10388
Length    9, alignment  1/ 0:	3.80951	2.12303
Length   10, alignment  0/ 0:	3.80142	2.10419
Length   10, alignment  0/ 0:	3.8015	2.10533
Length   10, alignment  0/ 2:	3.80142	2.10373
Length   10, alignment  2/ 0:	3.82133	2.12296
Length   11, alignment  0/ 0:	3.80035	2.10457
Length   11, alignment  0/ 0:	3.80028	2.10419
Length   11, alignment  0/ 3:	3.80035	2.10365
Length   11, alignment  3/ 0:	3.80859	2.12242
Length   12, alignment  0/ 0:	3.81241	2.10426
Length   12, alignment  0/ 0:	3.80165	2.10449
Length   12, alignment  0/ 4:	3.80219	2.10564
Length   12, alignment  4/ 0:	4.10088	2.46544
Length   13, alignment  0/ 0:	3.8015	2.10365
Length   13, alignment  0/ 0:	3.81096	2.10358
Length   13, alignment  0/ 5:	3.80035	2.10464
Length   13, alignment  5/ 0:	4.10027	2.46529
Length   14, alignment  0/ 0:	3.7999	2.10442
Length   14, alignment  0/ 0:	3.80058	2.10503
Length   14, alignment  0/ 6:	3.8166	2.10442
Length   14, alignment  6/ 0:	4.0995	2.46529
Length   15, alignment  0/ 0:	3.67737	2.09846
Length   15, alignment  0/ 0:	3.67676	2.09908
Length   15, alignment  0/ 7:	3.67668	2.09908
Length   15, alignment  7/ 0:	4.14268	2.46407
Length   16, alignment  0/ 0:	4.13612	2.37526
Length   16, alignment  7/ 2:	4.10751	2.36923
Length   32, alignment  0/ 0:	4.82086	3.11905
Length   32, alignment  6/ 4:	4.91821	3.14613
Length   64, alignment  0/ 0:	6.20743	3.77213
Length   64, alignment  5/ 6:	6.21521	3.77136
Length  128, alignment  0/ 0:	7.30614	5.16037
Length  128, alignment  4/ 0:	7.29576	5.14931
Length  256, alignment  0/ 0:	11.3456	8.7561
Length  256, alignment  3/ 2:	11.3507	8.71956
Length  512, alignment  0/ 0:	20.9256	14.5216
Length  512, alignment  2/ 4:	20.659	14.5099
Length 1024, alignment  0/ 0:	37.4261	26.7486
Length 1024, alignment  1/ 6:	38.378	26.955
Length   16, alignment  1/ 2:	4.10995	2.37389
Length   16, alignment  2/ 1:	4.10957	2.37221
Length   16, alignment  1/ 1:	4.10751	2.39334
Length   16, alignment  1/ 1:	4.11087	2.37411
Length   32, alignment  2/ 4:	4.92775	3.13179
Length   32, alignment  4/ 2:	4.92775	3.13232
Length   32, alignment  2/ 2:	4.92905	3.14575
Length   32, alignment  2/ 2:	4.91692	3.11867
Length   64, alignment  3/ 6:	6.21544	3.75534
Length   64, alignment  6/ 3:	6.21536	3.75587
Length   64, alignment  3/ 3:	6.24847	3.75626
Length   64, alignment  3/ 3:	6.21712	3.75641
Length  128, alignment  4/ 0:	7.33238	5.16617
Length  128, alignment  0/ 4:	7.33322	5.14931
Length  128, alignment  4/ 4:	7.32903	5.14534
Length  128, alignment  4/ 4:	7.35077	5.14397
Length  256, alignment  5/ 2:	11.3496	8.72505
Length  256, alignment  2/ 5:	11.381	8.65295
Length  256, alignment  5/ 5:	11.3626	8.73482
Length  256, alignment  5/ 5:	11.3503	8.72833
Length  512, alignment  6/ 4:	20.9238	14.5581
Length  512, alignment  4/ 6:	20.9655	14.5375
Length  512, alignment  6/ 6:	20.3465	14.5278
Length  512, alignment  6/ 6:	20.7676	14.5179
Length 1024, alignment  7/ 6:	38.4171	27.1124
Length 1024, alignment  6/ 7:	38.2359	27.059
Length 1024, alignment  7/ 7:	37.5584	26.7545
Length 1024, alignment  7/ 7:	37.6054	26.768
Length    0, alignment  0/ 0:	4.14299	3.1041
Length    0, alignment  0/ 0:	4.14284	3.10371
Length    0, alignment  0/ 0:	4.14261	3.10371
Didn't expect signal from child: got `Aborted'
