                       	__stpcpy_chk	normal_stpcpy
Length    0, alignment  0/ 0:	4.14291	3.2222
Length    0, alignment  0/ 0:	4.14246	3.10379
Length    0, alignment  0/ 0:	4.14238	3.10371
Length    0, alignment  0/ 0:	4.14238	3.10364
Length    1, alignment  0/ 0:	4.142	2.78831
Length    1, alignment  0/ 0:	4.14268	2.75879
Length    1, alignment  0/ 1:	4.14276	2.75887
Length    1, alignment  1/ 0:	4.14253	2.75887
Length    2, alignment  0/ 0:	4.14291	2.75887
Length    2, alignment  0/ 0:	4.16542	2.75894
Length    2, alignment  0/ 2:	4.14246	2.75887
Length    2, alignment  2/ 0:	4.14291	2.75879
Length    3, alignment  0/ 0:	3.8208	2.41432
Length    3, alignment  0/ 0:	3.81989	2.41402
Length    3, alignment  0/ 3:	3.8475	2.41417
Length    3, alignment  3/ 0:	3.82057	2.41417
Length    4, alignment  0/ 0:	3.82042	2.41402
Length    4, alignment  0/ 0:	3.8205	2.41394
Length    4, alignment  0/ 4:	3.81996	2.44232
Length    4, alignment  4/ 0:	3.82698	2.41402
Length    5, alignment  0/ 0:	3.82019	2.41394
Length    5, alignment  0/ 0:	3.82072	2.41394
Length    5, alignment  0/ 5:	3.81989	2.41394
Length    5, alignment  5/ 0:	3.83026	2.43317
Length    6, alignment  0/ 0:	3.82057	2.41402
Length    6, alignment  0/ 0:	3.82019	2.41394
Length    6, alignment  0/ 6:	3.81996	2.41402
Length    6, alignment  6/ 0:	3.83316	2.41394
Length    7, alignment  0/ 0:	3.79234	2.43187
Length    7, alignment  0/ 0:	3.79181	2.41402
Length    7, alignment  0/ 7:	3.79089	2.41402
Length    7, alignment  7/ 0:	3.80714	2.41402
Length    8, alignment  0/ 0:	3.79967	2.10426
Length    8, alignment  0/ 0:	3.82446	2.10434
Length    8, alignment  0/ 0:	3.80211	2.10396
Length    8, alignment  0/ 0:	3.80112	2.10403
Length    9, alignment  0/ 0:	3.80135	2.10388
