                       	__strcpy_chk	normal_strcpy
Length    4, alignment  0/ 0:	3.37357	1.78665
Length    4, alignment  0/ 0:	3.37364	1.78673
Length    4, alignment  0/ 4:	3.37311	1.78596
Length    4, alignment  4/ 0:	3.39211	1.78688
Length    5, alignment  0/ 0:	3.3744	1.78604
Length    5, alignment  0/ 0:	3.37364	1.7865
Length    5, alignment  0/ 5:	3.37395	1.78665
Length    5, alignment  5/ 0:	3.37555	1.7865
Length    6, alignment  0/ 0:	3.37273	1.78642
Length    6, alignment  0/ 0:	3.38257	1.7865
Length    6, alignment  0/ 6:	3.37341	1.7868
Length    6, alignment  6/ 0:	3.37624	1.78627
Length    7, alignment  0/ 0:	3.16826	1.78658
Length    7, alignment  0/ 0:	3.16788	1.78635
Length    7, alignment  0/ 7:	3.16856	1.78658
Length    7, alignment  7/ 0:	3.19237	1.7865
Length    8, alignment  0/ 0:	3.16956	1.73378
Length    8, alignment  0/ 0:	3.16818	1.7337
Length    8, alignment  0/ 0:	3.1691	1.73462
Length    8, alignment  0/ 0:	3.16948	1.73492
Length    9, alignment  0/ 0:	3.17024	1.73378
Length    9, alignment  0/ 0:	3.18779	1.73363
Length    9, alignment  0/ 1:	3.16917	1.73561
Length    9, alignment  1/ 0:	3.17039	1.73515
Length   10, alignment  0/ 0:	3.16811	1.73424
Length   10, alignment  0/ 0:	3.16971	1.73378
Length   10, alignment  0/ 2:	3.16925	1.73378
Length   10, alignment  2/ 0:	3.19275	1.73515
Length   11, alignment  0/ 0:	3.16856	1.735
Length   11, alignment  0/ 0:	3.17001	1.73523
Length   11, alignment  0/ 3:	3.16872	1.735
Length   11, alignment  3/ 0:	3.17017	1.73401
Length   12, alignment  0/ 0:	3.16887	1.73508
Length   12, alignment  0/ 0:	3.16948	1.74446
Length   12, alignment  0/ 4:	3.1691	1.735
Length   12, alignment  4/ 0:	3.62991	2.08183
Length   13, alignment  0/ 0:	3.16833	1.735
Length   13, alignment  0/ 0:	3.16902	1.73523
Length   13, alignment  0/ 5:	3.1694	1.73508
Length   13, alignment  5/ 0:	3.62923	2.09259
Length   14, alignment  0/ 0:	3.16963	1.73523
Length   14, alignment  0/ 0:	3.16841	1.73393
Length   14, alignment  0/ 6:	3.16994	1.73508
Length   14, alignment  6/ 0:	3.62961	2.08397
Length   15, alignment  0/ 0:	3.10783	1.73401
Length   15, alignment  0/ 0:	3.14117	1.74271
Length   15, alignment  0/ 7:	3.1414	1.735
Length   15, alignment  7/ 0:	3.44872	2.08038
Length   16, alignment  0/ 0:	3.44856	2.0005
Length   16, alignment  7/ 2:	3.44872	2.00127
Length   32, alignment  0/ 0:	4.34044	2.93495
Length   32, alignment  6/ 4:	4.37462	2.93579
Length   64, alignment  0/ 0:	5.18532	3.50731
Length   64, alignment  5/ 6:	5.21103	3.50815
Length  128, alignment  0/ 0:	6.38397	4.93141
Length  128, alignment  4/ 0:	6.3929	4.93416
Length  256, alignment  0/ 0:	10.1013	8.50655
Length  256, alignment  3/ 2:	10.1064	8.52219
Length  512, alignment  0/ 0:	19.8914	14.3743
Length  512, alignment  2/ 4:	19.9464	14.1917
Length 1024, alignment  0/ 0:	36.7316	27.2722
Length 1024, alignment  1/ 6:	38.872	27.1957
Length   16, alignment  1/ 2:	3.4491	2.00058
Length   16, alignment  2/ 1:	3.44864	2.0002
Length   16, alignment  1/ 1:	3.44856	2.00027
Length   16, alignment  1/ 1:	3.44856	2.00035
Length   32, alignment  2/ 4:	4.38568	2.93701
Length   32, alignment  4/ 2:	4.36211	2.93678
Length   32, alignment  2/ 2:	4.36256	2.93571
Length   32, alignment  2/ 2:	4.36287	2.93571
Length   64, alignment  3/ 6:	5.22957	3.50693
Length   64, alignment  6/ 3:	5.20699	3.508
Length   64, alignment  3/ 3:	5.2066	3.48061
Length   64, alignment  3/ 3:	5.20744	3.51974
Length  128, alignment  4/ 0:	6.38878	5.01442
Length  128, alignment  0/ 4:	6.39183	4.93126
Length  128, alignment  4/ 4:	6.39023	4.98306
Length  128, alignment  4/ 4:	6.37367	4.92966
Length  256, alignment  5/ 2:	10.1042	8.52058
Length  256, alignment  2/ 5:	10.1059	8.49602
