                            	generic_memccpy	memccpy
Length   16, n   16, char 12, alignment  1/ 1:	5.50863	4.73894
Length   16, n   16, char 23, alignment  1/ 1:	5.4945	4.71588
Length   16, n   16, char 28, alignment  1/ 2:	5.49393	4.72881
Length   16, n   16, char 31, alignment  2/ 1:	5.48903	4.73522
Length    2, n    4, char 1, alignment  7/ 2:	4.94244	4.49255
Length    4, n    2, char 17, alignment  2/ 7:	4.14864	4.48286
Length    2, n    4, char 0, alignment  7/ 2:	4.9473	4.49259
Length    4, n    2, char 1, alignment  2/ 7:	4.14057	4.48732
Length   16, n   16, char 12, alignment  2/ 2:	5.4879	4.7349
Length   16, n   16, char 23, alignment  2/ 2:	5.49206	4.71432
Length   16, n   16, char 28, alignment  2/ 4:	5.4915	4.73557
Length   16, n   16, char 31, alignment  4/ 2:	5.48798	4.7282
Length    4, n    8, char 1, alignment  6/ 4:	4.94249	4.11842
Length    8, n    4, char 17, alignment  4/ 6:	4.1412	4.13815
Length    4, n    8, char 0, alignment  6/ 4:	4.94064	4.11865
Length    8, n    4, char 2, alignment  4/ 6:	4.14009	4.14076
Length   16, n   16, char 12, alignment  3/ 3:	5.51674	4.72179
Length   16, n   16, char 23, alignment  3/ 3:	5.52031	4.71312
Length   16, n   16, char 28, alignment  3/ 6:	5.52092	4.71972
Length   16, n   16, char 31, alignment  6/ 3:	5.51748	4.72879
Length    8, n   16, char 1, alignment  5/ 6:	4.93902	4.07122
Length   16, n    8, char 17, alignment  6/ 5:	4.48505	3.79332
Length    8, n   16, char 0, alignment  5/ 6:	4.94068	4.0719
Length   16, n    8, char 3, alignment  6/ 5:	4.48559	3.79324
Length   16, n   16, char 12, alignment  4/ 4:	5.52076	4.73566
Length   16, n   16, char 23, alignment  4/ 4:	5.48897	4.72338
Length   16, n   16, char 28, alignment  4/ 0:	5.49171	4.72433
Length   16, n   16, char 31, alignment  0/ 4:	4.60333	4.03643
Length   16, n   32, char 1, alignment  4/ 0:	5.79615	4.82977
Length   32, n   16, char 17, alignment  0/ 4:	4.48591	3.79324
Length   16, n   32, char 0, alignment  4/ 0:	5.78266	4.82767
Length   32, n   16, char 4, alignment  0/ 4:	4.48912	3.80198
Length   16, n   16, char 12, alignment  5/ 5:	5.48803	4.73471
Length   16, n   16, char 23, alignment  5/ 5:	5.49011	4.73083
Length   16, n   16, char 28, alignment  5/ 2:	5.49046	4.73
Length   16, n   16, char 31, alignment  2/ 5:	5.48801	4.73541
Length   32, n   64, char 1, alignment  3/ 2:	6.17266	5.4627
Length   64, n   32, char 17, alignment  2/ 3:	5.29057	4.83082
Length   32, n   64, char 0, alignment  3/ 2:	6.15995	5.62197
Length   64, n   32, char 5, alignment  2/ 3:	5.29369	4.83219
Length   16, n   16, char 12, alignment  6/ 6:	5.48853	4.72889
Length   16, n   16, char 23, alignment  6/ 6:	5.49025	4.71281
Length   16, n   16, char 28, alignment  6/ 4:	5.49097	4.72181
Length   16, n   16, char 31, alignment  4/ 6:	5.48878	4.73547
Length   64, n  128, char 1, alignment  2/ 4:	6.8185	6.39551
Length  128, n   64, char 17, alignment  4/ 2:	5.97803	5.52097
Length   64, n  128, char 0, alignment  2/ 4:	6.82129	6.39362
Length  128, n   64, char 6, alignment  4/ 2:	5.98082	5.51878
Length   16, n   16, char 12, alignment  7/ 7:	5.49488	4.73551
Length   16, n   16, char 23, alignment  7/ 7:	5.4957	4.72429
Length   16, n   16, char 28, alignment  7/ 6:	5.49335	4.73045
Length   16, n   16, char 31, alignment  6/ 7:	5.4907	4.7298
Length  128, n  256, char 1, alignment  1/ 6:	8.68805	8.21924
Length  256, n  128, char 17, alignment  6/ 1:	7.93823	7.59056
Length  128, n  256, char 0, alignment  1/ 6:	8.6628	8.22762
Length  256, n  128, char 7, alignment  6/ 1:	7.93829	7.58953
Length    8, n   16, char 1, alignment  0/ 0:	4.60403	4.07215
Length   32, n   16, char 1, alignment  0/ 0:	4.48492	3.79593
Length    8, n   16, char 1, alignment  7/ 2:	4.93908	4.07461
Length   32, n   16, char 1, alignment  7/ 2:	4.9427	4.48502
Length   16, n   32, char 2, alignment  0/ 0:	4.60501	4.03383
Length   64, n   32, char 2, alignment  0/ 0:	4.95104	4.48284
