                            	generic_memccpy	memccpy
Length   16, n   32, char 2, alignment  6/ 4:	5.82914	4.83028
Length   64, n   32, char 2, alignment  6/ 4:	5.28839	4.82985
Length   32, n   64, char 3, alignment  0/ 0:	5.34914	4.8279
Length  128, n   64, char 3, alignment  0/ 0:	5.63848	5.17746
Length   32, n   64, char 3, alignment  5/ 6:	6.16016	5.52904
Length  128, n   64, char 3, alignment  5/ 6:	5.98196	5.52446
Length   64, n  128, char 4, alignment  0/ 0:	5.99375	5.57329
Length  256, n  128, char 4, alignment  0/ 0:	7.58852	7.24352
Length   64, n  128, char 4, alignment  4/ 0:	6.81515	6.39244
Length  256, n  128, char 4, alignment  4/ 0:	7.93318	7.58842
Length  128, n  256, char 5, alignment  0/ 0:	7.93493	7.27444
Length  512, n  256, char 5, alignment  0/ 0:	11.3856	11.0379
Length  128, n  256, char 5, alignment  3/ 2:	8.69678	8.21957
Length  512, n  256, char 5, alignment  3/ 2:	11.7422	11.4789
Length  256, n  512, char 6, alignment  0/ 0:	11.7525	11.404
Length 1024, n  512, char 6, alignment  0/ 0:	21.4389	21.8069
Length  256, n  512, char 6, alignment  2/ 4:	12.6469	12.0683
Length 1024, n  512, char 6, alignment  2/ 4:	22.3558	22.8948
Length  512, n 1024, char 7, alignment  0/ 0:	22.4055	21.2455
Length 2048, n 1024, char 7, alignment  0/ 0:	38.4661	38.8869
Length  512, n 1024, char 7, alignment  1/ 6:	23.1804	22.2731
Length 2048, n 1024, char 7, alignment  1/ 6:	40.7988	41.0469
