                       	strtok
Length    4/2, alignment  0/ 0, found:	31.9873
Length    4/2, alignment  0/ 0, fail:	31.9287
Length    4/2, alignment  0/ 3, found:	31.9287
Length    4/2, alignment  0/ 3, fail:	31.9141
Length    4/2, alignment  0/ 9, found:	31.9141
Length    4/2, alignment  0/ 9, fail:	31.9092
Length    4/2, alignment  0/15, found:	31.9287
Length    4/2, alignment  0/15, fail:	31.9141
Length    4/2, alignment  3/ 0, found:	31.9189
Length    4/2, alignment  3/ 0, fail:	40.4883
Length    4/2, alignment  3/ 3, found:	31.9141
Length    4/2, alignment  3/ 3, fail:	31.9141
Length    4/2, alignment  3/ 9, found:	31.9189
Length    4/2, alignment  3/ 9, fail:	31.9189
Length    4/2, alignment  3/15, found:	31.9189
Length    4/2, alignment  3/15, fail:	31.9287
Length    4/2, alignment  9/ 0, found:	31.9141
Length    4/2, alignment  9/ 0, fail:	31.9141
Length    4/2, alignment  9/ 3, found:	31.9238
Length    4/2, alignment  9/ 3, fail:	31.9287
Length    4/2, alignment  9/ 9, found:	31.9189
Length    4/2, alignment  9/ 9, fail:	31.9141
Length    4/2, alignment  9/15, found:	31.9336
Length    4/2, alignment  9/15, fail:	31.9141
Length    4/2, alignment 15/ 0, found:	31.8359
Length    4/2, alignment 15/ 0, fail:	32.0947
Length    4/2, alignment 15/ 3, found:	32.124
Length    4/2, alignment 15/ 3, fail:	32.0703
Length    4/2, alignment 15/ 9, found:	31.9043
Length    4/2, alignment 15/ 9, fail:	31.8359
Length    4/2, alignment 15/15, found:	31.7871
Length    4/2, alignment 15/15, fail:	31.8164
Length    6/2, alignment  0/ 0, found:	31.9629
Length    6/2, alignment  0/ 0, fail:	31.9189
Length    6/2, alignment  0/ 3, found:	31.9482
Length    6/2, alignment  0/ 3, fail:	31.9238
Length    6/2, alignment  0/ 9, found:	31.9336
Length    6/2, alignment  0/ 9, fail:	31.9336
Length    6/2, alignment  0/15, found:	31.9434
Length    6/2, alignment  0/15, fail:	31.9238
Length    6/2, alignment  3/ 0, found:	31.9385
Length    6/2, alignment  3/ 0, fail:	31.9287
Length    6/2, alignment  3/ 3, found:	31.9336
Length    6/2, alignment  3/ 3, fail:	31.9238
Length    6/2, alignment  3/ 9, found:	31.9385
Length    6/2, alignment  3/ 9, fail:	31.9141
Length    6/2, alignment  3/15, found:	31.9336
Length    6/2, alignment  3/15, fail:	31.9287
Length    6/2, alignment  9/ 0, found:	31.9385
Length    6/2, alignment  9/ 0, fail:	31.9141
Length    6/2, alignment  9/ 3, found:	31.9434
Length    6/2, alignment  9/ 3, fail:	31.9141
Length    6/2, alignment  9/ 9, found:	31.9434
Length    6/2, alignment  9/ 9, fail:	31.9336
Length    6/2, alignment  9/15, found:	31.9385
Length    6/2, alignment  9/15, fail:	31.9141
Length    6/2, alignment 15/ 0, found:	32.1729
Length    6/2, alignment 15/ 0, fail:	31.8018
Length    6/2, alignment 15/ 3, found:	32.1338
Length    6/2, alignment 15/ 3, fail:	31.8652
Length    6/2, alignment 15/ 9, found:	32.124
Length    6/2, alignment 15/ 9, fail:	31.792
Length    6/2, alignment 15/15, found:	32.1289
Length    6/2, alignment 15/15, fail:	31.8262
Length    8/2, alignment  0/ 0, found:	31.9385
Length    8/2, alignment  0/ 0, fail:	31.9189
Length    8/2, alignment  0/ 3, found:	31.9434
Length    8/2, alignment  0/ 3, fail:	31.9238
Length    8/2, alignment  0/ 9, found:	33.8916
Length    8/2, alignment  0/ 9, fail:	31.9287
Length    8/2, alignment  0/15, found:	31.9287
Length    8/2, alignment  0/15, fail:	31.9238
Length    8/2, alignment  3/ 0, found:	31.9434
Length    8/2, alignment  3/ 0, fail:	31.9141
Length    8/2, alignment  3/ 3, found:	31.9287
Length    8/2, alignment  3/ 3, fail:	31.9141
Length    8/2, alignment  3/ 9, found:	31.9482
Length    8/2, alignment  3/ 9, fail:	31.9189
Length    8/2, alignment  3/15, found:	31.9287
Length    8/2, alignment  3/15, fail:	31.9238
Length    8/2, alignment  9/ 0, found:	31.9434
Length    8/2, alignment  9/ 0, fail:	32.1338
Length    8/2, alignment  9/ 3, found:	31.9531
Length    8/2, alignment  9/ 3, fail:	32.1387
Length    8/2, alignment  9/ 9, found:	31.9336
Length    8/2, alignment  9/ 9, fail:	32.1143
Length    8/2, alignment  9/15, found:	31.9336
Length    8/2, alignment  9/15, fail:	32.124
Length    8/2, alignment 15/ 0, found:	32.1729
Length    8/2, alignment 15/ 0, fail:	31.8311
Length    8/2, alignment 15/ 3, found:	32.1191
Length    8/2, alignment 15/ 3, fail:	31.8262
Length    8/2, alignment 15/ 9, found:	32.124
Length    8/2, alignment 15/ 9, fail:	31.8457
Length    8/2, alignment 15/15, found:	32.1484
Length    8/2, alignment 15/15, fail:	31.8164
Length   10/2, alignment  0/ 0, found:	31.9629
Length   10/2, alignment  0/ 0, fail:	31.9336
Length   10/2, alignment  0/ 3, found:	31.958
Length   10/2, alignment  0/ 3, fail:	31.9189
Length   10/2, alignment  0/ 9, found:	31.9629
Length   10/2, alignment  0/ 9, fail:	31.9141
Length   10/2, alignment  0/15, found:	31.9531
Length   10/2, alignment  0/15, fail:	31.9092
Length   10/2, alignment  3/ 0, found:	31.9629
Length   10/2, alignment  3/ 0, fail:	31.9141
Length   10/2, alignment  3/ 3, found:	31.9434
Length   10/2, alignment  3/ 3, fail:	31.9336
Length   10/2, alignment  3/ 9, found:	31.9336
Length   10/2, alignment  3/ 9, fail:	31.9141
Length   10/2, alignment  3/15, found:	31.9385
Length   10/2, alignment  3/15, fail:	31.9043
Length   10/2, alignment  9/ 0, found:	31.9434
Length   10/2, alignment  9/ 0, fail:	32.1436
Length   10/2, alignment  9/ 3, found:	31.9385
Length   10/2, alignment  9/ 3, fail:	32.0996
Length   10/2, alignment  9/ 9, found:	31.9482
Length   10/2, alignment  9/ 9, fail:	32.1045
Length   10/2, alignment  9/15, found:	31.9482
Length   10/2, alignment  9/15, fail:	32.1289
Length   10/2, alignment 15/ 0, found:	32.1729
Length   10/2, alignment 15/ 0, fail:	31.792
Length   10/2, alignment 15/ 3, found:	32.168
Length   10/2, alignment 15/ 3, fail:	31.792
Length   10/2, alignment 15/ 9, found:	32.1289
Length   10/2, alignment 15/ 9, fail:	31.8555
Length   10/2, alignment 15/15, found:	32.1191
Length   10/2, alignment 15/15, fail:	31.792
Length   12/2, alignment  0/ 0, found:	33.6279
Length   12/2, alignment  0/ 0, fail:	31.9238
Length   12/2, alignment  0/ 3, found:	31.9385
Length   12/2, alignment  0/ 3, fail:	31.9141
Length   12/2, alignment  0/ 9, found:	31.9482
Length   12/2, alignment  0/ 9, fail:	31.8994
Length   12/2, alignment  0/15, found:	31.9482
Length   12/2, alignment  0/15, fail:	31.9189
Length   12/2, alignment  3/ 0, found:	31.9434
Length   12/2, alignment  3/ 0, fail:	31.9043
Length   12/2, alignment  3/ 3, found:	31.9434
Length   12/2, alignment  3/ 3, fail:	31.9189
Length   12/2, alignment  3/ 9, found:	31.9434
Length   12/2, alignment  3/ 9, fail:	31.9336
Length   12/2, alignment  3/15, found:	31.9482
Length   12/2, alignment  3/15, fail:	31.9092
Length   12/2, alignment  9/ 0, found:	31.9727
Length   12/2, alignment  9/ 0, fail:	32.1387
Length   12/2, alignment  9/ 3, found:	31.9629
