                       	__stpcpy_chk	normal_stpcpy
Length    0, alignment  0/ 0:	4.39697	2.66914
Length    0, alignment  0/ 0:	4.55009	2.67303
Length    0, alignment  0/ 0:	4.3956	2.67296
Length    0, alignment  0/ 0:	4.39796	2.66876
Length    1, alignment  0/ 0:	4.39674	2.36603
Length    1, alignment  0/ 0:	4.39682	2.39487
Length    1, alignment  0/ 1:	4.39857	2.36557
Length    1, alignment  1/ 0:	4.39629	2.36549
Length    2, alignment  0/ 0:	4.3959	2.36588
Length    2, alignment  0/ 0:	4.39789	2.36588
Length    2, alignment  0/ 2:	4.41994	2.36504
Length    2, alignment  2/ 0:	4.39835	2.36572
Length    3, alignment  0/ 0:	4.11629	2.37549
Length    3, alignment  0/ 0:	4.11545	2.37686
Length    3, alignment  0/ 3:	4.11644	2.37526
Length    3, alignment  3/ 0:	4.15489	2.37701
Length    4, alignment  0/ 0:	4.11415	2.37602
Length    4, alignment  0/ 0:	4.11591	2.37679
Length    4, alignment  0/ 4:	4.11484	2.37587
Length    4, alignment  4/ 0:	4.11728	2.42523
Length    5, alignment  0/ 0:	4.1143	2.3764
Length    5, alignment  0/ 0:	4.11606	2.37572
Length    5, alignment  0/ 5:	4.11392	2.37579
Length    5, alignment  5/ 0:	4.1246	2.38701
Length    6, alignment  0/ 0:	4.13956	2.37709
Length    6, alignment  0/ 0:	4.11552	2.37564
Length    6, alignment  0/ 6:	4.11415	2.37602
Length    6, alignment  6/ 0:	4.12689	2.38716
Length    7, alignment  0/ 0:	4.13979	2.37495
Length    7, alignment  0/ 0:	4.161	2.37595
Length    7, alignment  0/ 7:	4.13986	2.37671
Length    7, alignment  7/ 0:	4.14711	2.38617
Length    8, alignment  0/ 0:	4.13902	2.36946
Length    8, alignment  0/ 0:	4.14124	2.39723
Length    8, alignment  0/ 0:	4.14093	2.36855
Length    8, alignment  0/ 0:	4.14093	2.36908
Length    9, alignment  0/ 0:	4.14078	2.36977
Length    9, alignment  0/ 0:	4.13986	2.36763
Length    9, alignment  0/ 1:	4.16924	2.36816
Length    9, alignment  1/ 0:	4.14604	2.3748
Length   10, alignment  0/ 0:	4.14032	2.36984
Length   10, alignment  0/ 0:	4.14116	2.36908
Length   10, alignment  0/ 2:	4.14131	2.37045
Length   10, alignment  2/ 0:	4.18274	2.37457
Length   11, alignment  0/ 0:	4.13986	2.36969
Length   11, alignment  0/ 0:	4.13788	2.36961
Length   11, alignment  0/ 3:	4.13986	2.37022
Length   11, alignment  3/ 0:	4.14833	2.40509
Length   12, alignment  0/ 0:	4.14078	2.36923
Length   12, alignment  0/ 0:	4.14139	2.36938
Length   12, alignment  0/ 4:	4.14017	2.36977
Length   12, alignment  4/ 0:	4.48967	2.79564
Length   13, alignment  0/ 0:	4.16504	2.36847
Length   13, alignment  0/ 0:	4.14055	2.37099
Length   13, alignment  0/ 5:	4.13994	2.36794
Length   13, alignment  5/ 0:	4.48792	2.79655
Length   14, alignment  0/ 0:	4.14078	2.40105
Length   14, alignment  0/ 0:	4.14009	2.36908
Length   14, alignment  0/ 6:	4.13994	2.36946
Length   14, alignment  6/ 0:	4.49066	2.79732
Length   15, alignment  0/ 0:	3.98003	2.36908
Length   15, alignment  0/ 0:	4.01039	2.36961
Length   15, alignment  0/ 7:	3.97934	2.369
Length   15, alignment  7/ 0:	4.5121	2.79587
Length   16, alignment  0/ 0:	4.51103	2.66052
Length   16, alignment  7/ 2:	4.51332	2.68005
Length   32, alignment  0/ 0:	5.21332	3.4388
Length   32, alignment  6/ 4:	5.28816	3.43971
Length   64, alignment  0/ 0:	6.12282	4.08516
Length   64, alignment  5/ 6:	6.24222	4.08684
Length  128, alignment  0/ 0:	7.80037	5.95413
Length  128, alignment  4/ 0:	7.80472	5.96458
Length  256, alignment  0/ 0:	11.8135	10.5304
Length  256, alignment  3/ 2:	11.8368	10.9216
Length  512, alignment  0/ 0:	21.2711	16.732
Length  512, alignment  2/ 4:	21.4625	16.7402
Length 1024, alignment  0/ 0:	37.5581	28.7637
Length 1024, alignment  1/ 6:	38.6903	28.8131
Length   16, alignment  1/ 2:	4.51172	2.65907
Length   16, alignment  2/ 1:	4.51149	2.67082
Length   16, alignment  1/ 1:	4.52049	2.65991
Length   16, alignment  1/ 1:	4.51157	2.65892
Length   32, alignment  2/ 4:	5.27504	3.43826
Length   32, alignment  4/ 2:	5.32234	3.46214
Length   32, alignment  2/ 2:	5.27176	3.43689
Length   32, alignment  2/ 2:	5.32181	3.4362
Length   64, alignment  3/ 6:	6.21704	4.086
Length   64, alignment  6/ 3:	6.27235	4.08501
Length   64, alignment  3/ 3:	6.21918	4.086
Length   64, alignment  3/ 3:	6.21849	4.08569
Length  128, alignment  4/ 0:	7.82669	5.95276
Length  128, alignment  0/ 4:	7.79884	5.95215
Length  128, alignment  4/ 4:	7.83127	5.95436
Length  128, alignment  4/ 4:	7.80197	5.95261
Length  256, alignment  5/ 2:	11.842	10.5311
Length  256, alignment  2/ 5:	11.8187	10.5386
Length  256, alignment  5/ 5:	11.8201	10.5376
Length  256, alignment  5/ 5:	11.8221	10.5286
Length  512, alignment  6/ 4:	21.44	16.7329
Length  512, alignment  4/ 6:	21.426	16.752
Length  512, alignment  6/ 6:	21.4935	16.8103
Length  512, alignment  6/ 6:	21.3905	16.7348
Length 1024, alignment  7/ 6:	38.652	28.8017
Length 1024, alignment  6/ 7:	38.7221	28.7905
Length 1024, alignment  7/ 7:	37.5644	28.7856
Length 1024, alignment  7/ 7:	37.5556	28.7737
Length    0, alignment  0/ 0:	4.40063	2.66968
Length    0, alignment  0/ 0:	4.39568	2.66922
Length    0, alignment  0/ 0:	4.40979	2.67288
Length    0, alignment  0/ 0:	4.39575	2.66907
Length    1, alignment  0/ 0:	4.39644	2.36526
Length    1, alignment  0/ 0:	4.39796	2.36557
Length    1, alignment  0/ 1:	4.40956	2.36588
Length    1, alignment  1/ 0:	4.39926	2.36572
Length    2, alignment  0/ 0:	4.3959	2.36565
Length    2, alignment  0/ 0:	4.39812	2.3661
Length    2, alignment  0/ 2:	4.39819	2.37389
Length    2, alignment  2/ 0:	4.3959	2.36549
Length    3, alignment  0/ 0:	4.11507	2.37701
Length    3, alignment  0/ 0:	4.1156	2.37755
Length    3, alignment  0/ 3:	4.1153	2.37762
Length    3, alignment  3/ 0:	4.12369	2.37701
Length    4, alignment  0/ 0:	4.11583	2.37656
Length    4, alignment  0/ 0:	4.11461	2.37617
Length    4, alignment  0/ 4:	4.11728	2.3764
Length    4, alignment  4/ 0:	4.11781	2.38037
Length    5, alignment  0/ 0:	4.12361	2.37579
Length    5, alignment  0/ 0:	4.11652	2.37572
Length    5, alignment  0/ 5:	4.11537	2.37648
Length    5, alignment  5/ 0:	4.12437	2.38747
Length    6, alignment  0/ 0:	4.11583	2.38892
Length    6, alignment  0/ 0:	4.11659	2.37595
Length    6, alignment  0/ 6:	4.11644	2.37701
Length    6, alignment  6/ 0:	4.12376	2.38792
Length    7, alignment  0/ 0:	4.13918	2.37648
Length    7, alignment  0/ 0:	4.13971	2.40471
Length    7, alignment  0/ 7:	4.14047	2.37549
Length    7, alignment  7/ 0:	4.14581	2.38716
Length    8, alignment  0/ 0:	4.14253	2.37083
Length    8, alignment  0/ 0:	4.14017	2.36778
Length    8, alignment  0/ 0:	4.17274	2.36931
Length    8, alignment  0/ 0:	4.14131	2.36816
Length    9, alignment  0/ 0:	4.13994	2.369
Length    9, alignment  0/ 0:	4.13948	2.37022
Length    9, alignment  0/ 1:	4.1394	2.36855
Length    9, alignment  1/ 0:	4.17397	2.37503
Length   10, alignment  0/ 0:	4.13971	2.36885
Length   10, alignment  0/ 0:	4.13963	2.37045
Length   10, alignment  0/ 2:	4.14047	2.36977
Length   10, alignment  2/ 0:	4.14528	2.40677
Length   11, alignment  0/ 0:	4.14131	2.36969
Length   11, alignment  0/ 0:	4.13994	2.36763
Length   11, alignment  0/ 3:	4.1391	2.36877
Length   11, alignment  3/ 0:	4.14612	2.37381
Length   12, alignment  0/ 0:	4.17191	2.36855
Length   12, alignment  0/ 0:	4.14139	2.36778
Length   12, alignment  0/ 4:	4.14017	2.37022
Length   12, alignment  4/ 0:	4.49181	2.79869
Length   13, alignment  0/ 0:	4.13895	2.40829
Length   13, alignment  0/ 0:	4.13963	2.36816
Length   13, alignment  0/ 5:	4.14093	2.36946
Length   13, alignment  5/ 0:	4.48769	2.79625
Length   14, alignment  0/ 0:	4.13887	2.36877
Length   14, alignment  0/ 0:	4.1745	2.36832
Length   14, alignment  0/ 6:	4.14154	2.369
Length   14, alignment  6/ 0:	4.49028	2.79877
Length   15, alignment  0/ 0:	3.98018	2.36832
Length   15, alignment  0/ 0:	3.97858	2.36938
Length   15, alignment  0/ 7:	4.0004	2.3687
Length   15, alignment  7/ 0:	4.51439	2.79564
Length   16, alignment  0/ 0:	4.50989	2.66151
Length   16, alignment  7/ 2:	4.51042	2.66296
Length   32, alignment  0/ 0:	5.25589	3.43826
Length   32, alignment  6/ 4:	5.31509	3.44025
Length   64, alignment  0/ 0:	6.09192	4.08409
Length   64, alignment  5/ 6:	6.24199	4.08592
Length  128, alignment  0/ 0:	7.79816	5.95299
Length  128, alignment  4/ 0:	7.80037	5.96153
Length  256, alignment  0/ 0:	11.8165	10.5318
Length  256, alignment  3/ 2:	11.8339	10.5338
Length  512, alignment  0/ 0:	21.3798	16.5001
Length  512, alignment  2/ 4:	21.5371	16.7284
Length 1024, alignment  0/ 0:	37.4317	28.7608
Length 1024, alignment  1/ 6:	38.6045	28.789
Length   16, alignment  1/ 2:	4.51118	2.66273
Length   16, alignment  2/ 1:	4.51241	2.66411
Length   16, alignment  1/ 1:	4.52614	2.66212
Length   16, alignment  1/ 1:	4.51149	2.66304
Length   32, alignment  2/ 4:	5.28008	3.4391
Length   32, alignment  4/ 2:	5.28786	3.43781
Length   32, alignment  2/ 2:	5.28946	3.43903
Length   32, alignment  2/ 2:	5.29449	3.43796
Length   64, alignment  3/ 6:	6.21826	4.08737
Length   64, alignment  6/ 3:	6.24077	4.0863
Length   64, alignment  3/ 3:	6.21941	4.08607
Length   64, alignment  3/ 3:	6.21964	4.08684
Length  128, alignment  4/ 0:	7.8331	5.95383
Length  128, alignment  0/ 4:	7.80022	5.95108
Length  128, alignment  4/ 4:	7.82082	5.95001
Length  128, alignment  4/ 4:	7.80533	5.95253
Length  256, alignment  5/ 2:	11.8573	10.5316
Length  256, alignment  2/ 5:	11.8256	10.5695
Length  256, alignment  5/ 5:	11.8252	10.5328
Length  256, alignment  5/ 5:	11.8513	10.5296
Length  512, alignment  6/ 4:	21.2691	16.6918
Length  512, alignment  4/ 6:	21.4644	16.7274
Length  512, alignment  6/ 6:	21.3835	16.6609
Length  512, alignment  6/ 6:	21.4278	16.7208
Length 1024, alignment  7/ 6:	38.8583	28.7952
Length 1024, alignment  6/ 7:	38.6263	28.8
Length 1024, alignment  7/ 7:	37.4482	28.7788
Length 1024, alignment  7/ 7:	37.4542	28.7654
Length    0, alignment  0/ 0:	4.39812	2.67326
Length    0, alignment  0/ 0:	4.39774	2.67288
Length    0, alignment  0/ 0:	4.39697	2.69173
Didn't expect signal from child: got `Aborted'
