                       	strsep
Length    8/2, alignment  0/ 0, found:	16.217
Length    8/2, alignment  0/ 0, fail:	14.1479
Length    8/2, alignment  0/ 3, found:	16.9507
Length    8/2, alignment  0/ 3, fail:	14.0808
Length    8/2, alignment  0/ 9, found:	16.217
Length    8/2, alignment  0/ 9, fail:	14.0527
Length    8/2, alignment  0/15, found:	16.2122
Length    8/2, alignment  0/15, fail:	14.0588
Length    8/2, alignment  3/ 0, found:	16.2146
Length    8/2, alignment  3/ 0, fail:	14.0442
Length    8/2, alignment  3/ 3, found:	16.2122
Length    8/2, alignment  3/ 3, fail:	14.0588
Length    8/2, alignment  3/ 9, found:	16.2122
Length    8/2, alignment  3/ 9, fail:	14.0649
Length    8/2, alignment  3/15, found:	16.2122
Length    8/2, alignment  3/15, fail:	14.0503
Length    8/2, alignment  9/ 0, found:	16.2134
Length    8/2, alignment  9/ 0, fail:	14.5557
Length    8/2, alignment  9/ 3, found:	16.2122
Length    8/2, alignment  9/ 3, fail:	14.5496
Length    8/2, alignment  9/ 9, found:	16.2134
Length    8/2, alignment  9/ 9, fail:	14.491
Length    8/2, alignment  9/15, found:	16.2134
Length    8/2, alignment  9/15, fail:	14.5496
Length    8/2, alignment 15/ 0, found:	16.7126
Length    8/2, alignment 15/ 0, fail:	14.4922
Length    8/2, alignment 15/ 3, found:	16.7249
Length    8/2, alignment 15/ 3, fail:	14.5483
Length    8/2, alignment 15/ 9, found:	16.7041
Length    8/2, alignment 15/ 9, fail:	14.5496
Length    8/2, alignment 15/15, found:	16.7212
Length    8/2, alignment 15/15, fail:	14.552
Length   10/2, alignment  0/ 0, found:	16.2122
Length   10/2, alignment  0/ 0, fail:	14.541
Length   10/2, alignment  0/ 3, found:	16.2122
Length   10/2, alignment  0/ 3, fail:	14.0491
Length   10/2, alignment  0/ 9, found:	16.2122
Length   10/2, alignment  0/ 9, fail:	14.0576
Length   10/2, alignment  0/15, found:	16.2134
Length   10/2, alignment  0/15, fail:	14.0552
Length   10/2, alignment  3/ 0, found:	16.2134
Length   10/2, alignment  3/ 0, fail:	14.0479
Length   10/2, alignment  3/ 3, found:	16.2146
Length   10/2, alignment  3/ 3, fail:	14.0613
Length   10/2, alignment  3/ 9, found:	16.2134
Length   10/2, alignment  3/ 9, fail:	14.0613
Length   10/2, alignment  3/15, found:	16.2122
Length   10/2, alignment  3/15, fail:	14.0491
Length   10/2, alignment  9/ 0, found:	16.217
Length   10/2, alignment  9/ 0, fail:	14.5532
Length   10/2, alignment  9/ 3, found:	16.2122
