                       	__strcpy_chk	normal_strcpy
Length    9, alignment  0/ 1:	3.16895	1.79665
Length    9, alignment  1/ 0:	3.16902	1.73492
Length   10, alignment  0/ 0:	3.16956	1.73378
Length   10, alignment  0/ 0:	3.16917	1.73386
Length   10, alignment  0/ 2:	3.16971	1.73363
Length   10, alignment  2/ 0:	3.1691	1.73531
Length   11, alignment  0/ 0:	3.16971	1.73393
Length   11, alignment  0/ 0:	3.26263	1.73424
Length   11, alignment  0/ 3:	3.16917	1.735
Length   11, alignment  3/ 0:	3.16933	1.73393
Length   12, alignment  0/ 0:	3.17001	1.73355
Length   12, alignment  0/ 0:	3.16818	1.73523
Length   12, alignment  0/ 4:	3.16956	1.73508
Length   12, alignment  4/ 0:	3.66699	2.08405
Length   13, alignment  0/ 0:	3.1694	1.73447
Length   13, alignment  0/ 0:	3.1678	1.73386
Length   13, alignment  0/ 5:	3.17024	1.73355
Length   13, alignment  5/ 0:	3.62915	2.08153
Length   14, alignment  0/ 0:	3.16902	1.73492
Length   14, alignment  0/ 0:	3.21037	1.73378
Length   14, alignment  0/ 6:	3.1691	1.73416
Length   14, alignment  6/ 0:	3.62938	2.08145
Length   15, alignment  0/ 0:	3.13766	1.73424
Length   15, alignment  0/ 0:	3.13995	1.73485
Length   15, alignment  0/ 7:	3.14163	1.73492
Length   15, alignment  7/ 0:	3.48389	2.0813
Length   16, alignment  0/ 0:	3.44864	2.0015
Length   16, alignment  7/ 2:	3.44864	2.00035
Length   32, alignment  0/ 0:	4.34052	2.90146
Length   32, alignment  6/ 4:	4.36363	2.93686
Length   64, alignment  0/ 0:	5.19379	3.52188
Length   64, alignment  5/ 6:	5.18593	3.52127
Length  128, alignment  0/ 0:	6.40892	4.94362
Length  128, alignment  4/ 0:	6.45378	4.94659
Length  256, alignment  0/ 0:	10.0615	8.53348
Length  256, alignment  3/ 2:	10.1021	8.52631
Length  512, alignment  0/ 0:	19.8131	14.377
Length  512, alignment  2/ 4:	19.8785	14.37
Length 1024, alignment  0/ 0:	36.9752	27.3116
Length 1024, alignment  1/ 6:	38.8821	27.2593
Length   16, alignment  1/ 2:	3.44894	2.00073
Length   16, alignment  2/ 1:	3.44864	2.00043
Length   16, alignment  1/ 1:	3.44864	2.0005
Length   16, alignment  1/ 1:	3.44864	2.00081
Length   32, alignment  2/ 4:	4.3647	2.93892
Length   32, alignment  4/ 2:	4.37416	2.93465
Length   32, alignment  2/ 2:	4.3634	2.9361
Length   32, alignment  2/ 2:	4.36378	2.93541
Length   64, alignment  3/ 6:	5.21988	3.52974
Length   64, alignment  6/ 3:	5.18814	3.52333
Length   64, alignment  3/ 3:	5.17273	3.5231
Length   64, alignment  3/ 3:	5.20859	3.50349
Length  128, alignment  4/ 0:	6.43448	4.94339
Length  128, alignment  0/ 4:	6.42067	4.94415
Length  128, alignment  4/ 4:	6.40854	4.94728
Length  128, alignment  4/ 4:	6.42532	4.94522
Length  256, alignment  5/ 2:	10.071	8.49556
Length  256, alignment  2/ 5:	10.085	8.52661
Length  256, alignment  5/ 5:	10.0688	8.5376
Length  256, alignment  5/ 5:	10.0703	8.52936
Length  512, alignment  6/ 4:	19.8724	14.3707
Length  512, alignment  4/ 6:	19.8869	14.3839
Length  512, alignment  6/ 6:	19.782	14.0756
Length  512, alignment  6/ 6:	19.9979	14.3942
Length 1024, alignment  7/ 6:	38.929	27.2453
Length 1024, alignment  6/ 7:	38.8919	27.2115
Length 1024, alignment  7/ 7:	36.7026	27.3897
Length 1024, alignment  7/ 7:	36.7982	27.2561
Length    0, alignment  0/ 0:	3.56522	2.42737
Length    0, alignment  0/ 0:	3.56766	2.41394
Length    0, alignment  0/ 0:	3.5643	2.41394
Length    0, alignment  0/ 0:	3.56438	2.41394
Length    1, alignment  0/ 0:	3.56613	2.06932
Length    1, alignment  0/ 0:	3.56392	2.06909
Length    1, alignment  0/ 1:	3.59039	2.06917
Length    1, alignment  1/ 0:	3.56422	2.06924
Length    2, alignment  0/ 0:	3.56483	2.06909
Length    2, alignment  0/ 0:	3.5643	2.06909
Length    2, alignment  0/ 2:	3.56476	2.06917
Length    2, alignment  2/ 0:	3.5759	2.06917
Length    3, alignment  0/ 0:	3.37372	1.78711
Length    3, alignment  0/ 0:	3.37341	1.78635
Length    3, alignment  0/ 3:	3.37372	1.78711
Length    3, alignment  3/ 0:	3.37379	1.78673
Length    4, alignment  0/ 0:	3.37395	1.78688
Length    4, alignment  0/ 0:	3.3828	1.78658
Length    4, alignment  0/ 4:	3.37387	1.78696
Length    4, alignment  4/ 0:	3.3754	1.78688
Length    5, alignment  0/ 0:	3.37425	1.7865
Length    5, alignment  0/ 0:	3.37288	1.7868
Length    5, alignment  0/ 5:	3.37387	1.78688
Length    5, alignment  5/ 0:	3.39386	1.78665
Length    6, alignment  0/ 0:	3.37357	1.7868
Length    6, alignment  0/ 0:	3.37357	1.78665
Length    6, alignment  0/ 6:	3.3741	1.78673
Length    6, alignment  6/ 0:	3.37547	1.78658
Length    7, alignment  0/ 0:	3.16803	1.7868
Length    7, alignment  0/ 0:	3.17909	1.78627
Length    7, alignment  0/ 7:	3.16864	1.78688
Length    7, alignment  7/ 0:	3.16956	1.78665
Length    8, alignment  0/ 0:	3.16971	1.73431
Length    8, alignment  0/ 0:	3.16963	1.73386
Length    8, alignment  0/ 0:	3.16841	1.73378
Length    8, alignment  0/ 0:	3.17741	1.73485
Length    9, alignment  0/ 0:	3.16978	1.73363
Length    9, alignment  0/ 0:	3.16978	1.73492
Length    9, alignment  0/ 1:	3.16933	1.7337
Length    9, alignment  1/ 0:	3.16948	1.73386
Length   10, alignment  0/ 0:	3.16902	1.7347
Length   10, alignment  0/ 0:	3.17863	1.73485
Length   10, alignment  0/ 2:	3.16833	1.73531
Length   10, alignment  2/ 0:	3.16925	1.73492
Length   11, alignment  0/ 0:	3.16902	1.73508
Length   11, alignment  0/ 0:	3.16864	1.73531
Length   11, alignment  0/ 3:	3.16818	1.73347
Length   11, alignment  3/ 0:	3.17085	1.74377
Length   12, alignment  0/ 0:	3.16895	1.73363
Length   12, alignment  0/ 0:	3.16948	1.735
Length   12, alignment  0/ 4:	3.16879	1.73477
Length   12, alignment  4/ 0:	3.62961	2.08122
Length   13, alignment  0/ 0:	3.16879	1.73485
Length   13, alignment  0/ 0:	3.1691	1.74782
Length   13, alignment  0/ 5:	3.16895	1.73462
Length   13, alignment  5/ 0:	3.62885	2.08046
Length   14, alignment  0/ 0:	3.16879	1.73386
Length   14, alignment  0/ 0:	3.16933	1.73508
Length   14, alignment  0/ 6:	3.16994	1.73386
Length   14, alignment  6/ 0:	3.62877	2.09122
Length   15, alignment  0/ 0:	3.13881	1.73515
Length   15, alignment  0/ 0:	3.11806	1.73416
Length   15, alignment  0/ 7:	3.10715	1.73409
Length   15, alignment  7/ 0:	3.44894	2.08305
Length   16, alignment  0/ 0:	3.44856	2.0015
Length   16, alignment  7/ 2:	3.44856	2.00966
Length   32, alignment  0/ 0:	4.34036	2.93587
Length   32, alignment  6/ 4:	4.36378	2.93724
Length   64, alignment  0/ 0:	5.18509	3.5218
Length   64, alignment  5/ 6:	5.215	3.53104
Length  128, alignment  0/ 0:	6.40526	4.94255
Length  128, alignment  4/ 0:	6.42365	5.00076
Length  256, alignment  0/ 0:	10.0607	8.53401
Length  256, alignment  3/ 2:	10.0502	8.52425
Length  512, alignment  0/ 0:	19.7604	14.3208
Length  512, alignment  2/ 4:	19.7971	14.0172
Length 1024, alignment  0/ 0:	36.796	26.6138
Length 1024, alignment  1/ 6:	38.8721	27.206
Length   16, alignment  1/ 2:	3.44856	2.00043
Length   16, alignment  2/ 1:	3.44879	2.00043
Length   16, alignment  1/ 1:	3.46733	2.00058
Length   16, alignment  1/ 1:	3.44872	2.00005
Length   32, alignment  2/ 4:	4.37141	2.94868
Length   32, alignment  4/ 2:	4.37065	2.94785
Length   32, alignment  2/ 2:	4.37111	2.94716
Length   32, alignment  2/ 2:	4.37935	2.94876
Length   64, alignment  3/ 6:	5.23613	3.55621
Length   64, alignment  6/ 3:	5.23621	3.55453
Length   64, alignment  3/ 3:	5.23521	3.5743
Length   64, alignment  3/ 3:	5.23628	3.55606
Length  128, alignment  4/ 0:	6.49345	4.94652
Length  128, alignment  0/ 4:	6.49033	4.9575
Length  128, alignment  4/ 4:	6.47285	4.95087
Length  128, alignment  4/ 4:	6.47339	4.94843
Length  256, alignment  5/ 2:	10.0572	8.52364
Length  256, alignment  2/ 5:	10.0494	8.50571
Length  256, alignment  5/ 5:	10.0205	8.52333
Length  256, alignment  5/ 5:	10.0608	8.52272
Length  512, alignment  6/ 4:	19.7976	14.3773
Length  512, alignment  4/ 6:	19.8081	14.3684
Length  512, alignment  6/ 6:	19.6294	14.3752
Length  512, alignment  6/ 6:	19.7936	14.3957
Length 1024, alignment  7/ 6:	38.902	27.2008
Length 1024, alignment  6/ 7:	38.8991	27.2044
Length 1024, alignment  7/ 7:	36.8696	27.198
Length 1024, alignment  7/ 7:	36.8498	27.2208
Length    0, alignment  0/ 0:	3.56522	2.4144
Length    0, alignment  0/ 0:	3.56506	2.41394
Length    0, alignment  0/ 0:	3.56506	2.41386
Didn't expect signal from child: got `Aborted'
