                       	__strcpy_chk	normal_strcpy
Length    0, alignment  0/ 0:	3.57391	2.41425
Length    0, alignment  0/ 0:	3.56667	2.41402
Length    0, alignment  0/ 0:	3.56422	2.41394
Length    0, alignment  0/ 0:	3.56499	2.46902
Length    1, alignment  0/ 0:	3.56476	2.06932
Length    1, alignment  0/ 0:	3.56377	2.0694
Length    1, alignment  0/ 1:	3.5643	2.06909
Length    1, alignment  1/ 0:	3.56407	2.06917
Length    2, alignment  0/ 0:	3.56476	2.06917
Length    2, alignment  0/ 0:	3.60405	2.06917
Length    2, alignment  0/ 2:	3.56331	2.06917
Length    2, alignment  2/ 0:	3.56392	2.06909
Length    3, alignment  0/ 0:	3.37463	1.78711
Length    3, alignment  0/ 0:	3.3741	1.7865
Length    3, alignment  0/ 3:	3.37349	1.83136
Length    3, alignment  3/ 0:	3.37303	1.78665
Length    4, alignment  0/ 0:	3.37379	1.78665
Length    4, alignment  0/ 0:	3.37418	1.7868
Length    4, alignment  0/ 4:	3.37402	1.7865
Length    4, alignment  4/ 0:	3.37479	1.78665
Length    5, alignment  0/ 0:	3.37395	1.83113
Length    5, alignment  0/ 0:	3.37379	1.7865
Length    5, alignment  0/ 5:	3.37387	1.78665
Length    5, alignment  5/ 0:	3.37639	1.78612
Length    6, alignment  0/ 0:	3.37395	1.78658
Length    6, alignment  0/ 0:	3.3744	1.78642
Length    6, alignment  0/ 6:	3.37334	1.82854
Length    6, alignment  6/ 0:	3.37593	1.7868
Length    7, alignment  0/ 0:	3.16917	1.7868
Length    7, alignment  0/ 0:	3.16689	1.78658
Length    7, alignment  0/ 7:	3.16849	1.78673
Length    7, alignment  7/ 0:	3.16902	1.7868
Length    8, alignment  0/ 0:	3.16933	1.7794
Length    8, alignment  0/ 0:	3.16879	1.73508
Length    8, alignment  0/ 0:	3.16818	1.73401
Length    8, alignment  0/ 0:	3.1694	1.73393
Length    9, alignment  0/ 0:	3.1691	1.735
Length    9, alignment  0/ 0:	3.16841	1.73386
