[sonic-cpp] running official CMake benchmark (benchmark/main.cpp)
2026-09-08T11:03:37+08:00
Running /home/runner/boostkit-perf/sonic-cpp/1.0.2/aarch64/34181714311-2/build/benchmark/bench
Run on (384 X 2299.08 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x192)
  L1 Instruction 128 KiB (x192)
  L2 Unified 1024 KiB (x192)
  L3 Unified 23296 KiB (x24)
Load Average: 3.12, 2.89, 2.76
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
citm_catalog/Decode_YYjson_cv                          0.14 %          0.14 %             5 bytes_per_second=0.14% testdata/citm_catalog.json
citm_catalog/Decode_SIMDjson_mean                   1047117 ns      1044560 ns            5 bytes_per_second=1.54001Gi/s testdata/citm_catalog.json
citm_catalog/Decode_SIMDjson_median                 1043156 ns      1040592 ns            5 bytes_per_second=1.54583Gi/s testdata/citm_catalog.json
citm_catalog/Decode_SIMDjson_stddev                    6446 ns         6217 ns            5 bytes_per_second=9.36274Mi/s testdata/citm_catalog.json
citm_catalog/Decode_SIMDjson_cv                        0.62 %          0.60 %             5 bytes_per_second=0.59% testdata/citm_catalog.json
citm_catalog/Decode_JsonCpp_mean                   61731719 ns     61614504 ns            5 bytes_per_second=26.734Mi/s testdata/citm_catalog.json
citm_catalog/Decode_JsonCpp_median                 61710147 ns     61590972 ns            5 bytes_per_second=26.744Mi/s testdata/citm_catalog.json
citm_catalog/Decode_JsonCpp_stddev                   207692 ns       203055 ns            5 bytes_per_second=90.149Ki/s testdata/citm_catalog.json
citm_catalog/Decode_JsonCpp_cv                         0.34 %          0.33 %             5 bytes_per_second=0.33% testdata/citm_catalog.json
twitterescaped/Decode_SonicDyn_mean                  454425 ns       453347 ns            5 bytes_per_second=1.15538Gi/s testdata/twitterescaped.json
twitterescaped/Decode_SonicDyn_median                453543 ns       452619 ns            5 bytes_per_second=1.15723Gi/s testdata/twitterescaped.json
twitterescaped/Decode_SonicDyn_stddev                  1778 ns         1599 ns            5 bytes_per_second=4.15484Mi/s testdata/twitterescaped.json
twitterescaped/Decode_SonicDyn_cv                      0.39 %          0.35 %             5 bytes_per_second=0.35% testdata/twitterescaped.json
twitterescaped/Decode_Rapidjson_mean                1969260 ns      1965712 ns            5 bytes_per_second=272.857Mi/s testdata/twitterescaped.json
twitterescaped/Decode_Rapidjson_median              1968260 ns      1964570 ns            5 bytes_per_second=273.013Mi/s testdata/twitterescaped.json
twitterescaped/Decode_Rapidjson_stddev                 6222 ns         5635 ns            5 bytes_per_second=799.806Ki/s testdata/twitterescaped.json
twitterescaped/Decode_Rapidjson_cv                     0.32 %          0.29 %             5 bytes_per_second=0.29% testdata/twitterescaped.json
twitterescaped/Decode_YYjson_mean                   2491019 ns      2485507 ns            5 bytes_per_second=215.794Mi/s testdata/twitterescaped.json
twitterescaped/Decode_YYjson_median                 2490874 ns      2485255 ns            5 bytes_per_second=215.815Mi/s testdata/twitterescaped.json
twitterescaped/Decode_YYjson_stddev                    6219 ns         7141 ns            5 bytes_per_second=635.399Ki/s testdata/twitterescaped.json
twitterescaped/Decode_YYjson_cv                        0.25 %          0.29 %             5 bytes_per_second=0.29% testdata/twitterescaped.json
twitterescaped/Decode_SIMDjson_mean                  869346 ns       866981 ns            5 bytes_per_second=618.647Mi/s testdata/twitterescaped.json
twitterescaped/Decode_SIMDjson_median                868731 ns       866733 ns            5 bytes_per_second=618.823Mi/s testdata/twitterescaped.json
twitterescaped/Decode_SIMDjson_stddev                  1661 ns         1493 ns            5 bytes_per_second=1.06431Mi/s testdata/twitterescaped.json
twitterescaped/Decode_SIMDjson_cv                      0.19 %          0.17 %             5 bytes_per_second=0.17% testdata/twitterescaped.json
twitterescaped/Decode_JsonCpp_mean                 27831897 ns     27765384 ns            5 bytes_per_second=19.3176Mi/s testdata/twitterescaped.json
twitterescaped/Decode_JsonCpp_median               27805305 ns     27728449 ns            5 bytes_per_second=19.3431Mi/s testdata/twitterescaped.json
twitterescaped/Decode_JsonCpp_stddev                 103441 ns       106024 ns            5 bytes_per_second=75.3284Ki/s testdata/twitterescaped.json
twitterescaped/Decode_JsonCpp_cv                       0.37 %          0.38 %             5 bytes_per_second=0.38% testdata/twitterescaped.json
fgo/Decode_SonicDyn_mean                           83089761 ns     82796714 ns            5 bytes_per_second=561.888Mi/s testdata/fgo.json
fgo/Decode_SonicDyn_median                         82430561 ns     82070609 ns            5 bytes_per_second=566.658Mi/s testdata/fgo.json
fgo/Decode_SonicDyn_stddev                          1806532 ns      1766178 ns            5 bytes_per_second=11.6597Mi/s testdata/fgo.json
fgo/Decode_SonicDyn_cv                                 2.17 %          2.13 %             5 bytes_per_second=2.08% testdata/fgo.json
fgo/Decode_Rapidjson_mean                         210158373 ns    209598058 ns            5 bytes_per_second=221.882Mi/s testdata/fgo.json
fgo/Decode_Rapidjson_median                       210072233 ns    209549890 ns            5 bytes_per_second=221.933Mi/s testdata/fgo.json
fgo/Decode_Rapidjson_stddev                          280731 ns       263049 ns            5 bytes_per_second=285.103Ki/s testdata/fgo.json
fgo/Decode_Rapidjson_cv                                0.13 %          0.13 %             5 bytes_per_second=0.13% testdata/fgo.json
fgo/Decode_YYjson_mean                            270683416 ns    270242965 ns            5 bytes_per_second=172.096Mi/s testdata/fgo.json
fgo/Decode_YYjson_median                          269989990 ns    269538413 ns            5 bytes_per_second=172.539Mi/s testdata/fgo.json
fgo/Decode_YYjson_stddev                            1835763 ns      1802210 ns            5 bytes_per_second=1.1376Mi/s testdata/fgo.json
fgo/Decode_YYjson_cv                                   0.68 %          0.67 %             5 bytes_per_second=0.66% testdata/fgo.json
fgo/Decode_SIMDjson_mean                           85578325 ns     85333679 ns            5 bytes_per_second=545.054Mi/s testdata/fgo.json
fgo/Decode_SIMDjson_median                         84923829 ns     84688892 ns            5 bytes_per_second=549.139Mi/s testdata/fgo.json
fgo/Decode_SIMDjson_stddev                          1047067 ns      1043592 ns            5 bytes_per_second=6.58863Mi/s testdata/fgo.json
fgo/Decode_SIMDjson_cv                                 1.22 %          1.22 %             5 bytes_per_second=1.21% testdata/fgo.json
fgo/Decode_JsonCpp_mean                          5854311502 ns   5841183860 ns            5 bytes_per_second=7.96523Mi/s testdata/fgo.json
fgo/Decode_JsonCpp_median                        5771788400 ns   5759468720 ns            5 bytes_per_second=8.0747Mi/s testdata/fgo.json
fgo/Decode_JsonCpp_stddev                         139456576 ns    138542875 ns            5 bytes_per_second=188.744Ki/s testdata/fgo.json
fgo/Decode_JsonCpp_cv                                  2.38 %          2.37 %             5 bytes_per_second=2.31% testdata/fgo.json
otfcc/Decode_SonicDyn_mean                        149643965 ns    149260334 ns            5 bytes_per_second=424.362Mi/s testdata/otfcc.json
otfcc/Decode_SonicDyn_median                      148930868 ns    148602284 ns            5 bytes_per_second=426.19Mi/s testdata/otfcc.json
otfcc/Decode_SonicDyn_stddev                        1854905 ns      1837801 ns            5 bytes_per_second=5.14312Mi/s testdata/otfcc.json
otfcc/Decode_SonicDyn_cv                               1.24 %          1.23 %             5 bytes_per_second=1.21% testdata/otfcc.json
otfcc/Decode_Rapidjson_mean                       268432235 ns    267722531 ns            5 bytes_per_second=236.676Mi/s testdata/otfcc.json
otfcc/Decode_Rapidjson_median                     265236017 ns    264327197 ns            5 bytes_per_second=239.6Mi/s testdata/otfcc.json
otfcc/Decode_Rapidjson_stddev                       6763380 ns      6677395 ns            5 bytes_per_second=5.73554Mi/s testdata/otfcc.json
otfcc/Decode_Rapidjson_cv                              2.52 %          2.49 %             5 bytes_per_second=2.42% testdata/otfcc.json
otfcc/Decode_YYjson_mean                          434713623 ns    433546424 ns            5 bytes_per_second=146.09Mi/s testdata/otfcc.json
otfcc/Decode_YYjson_median                        433466300 ns    432084650 ns            5 bytes_per_second=146.575Mi/s testdata/otfcc.json
otfcc/Decode_YYjson_stddev                          4002248 ns      3807741 ns            5 bytes_per_second=1.26854Mi/s testdata/otfcc.json
otfcc/Decode_YYjson_cv                                 0.92 %          0.88 %             5 bytes_per_second=0.87% testdata/otfcc.json
otfcc/Decode_SIMDjson_mean                        157389264 ns    156938447 ns            5 bytes_per_second=403.586Mi/s testdata/otfcc.json
otfcc/Decode_SIMDjson_median                      156738214 ns    156311502 ns            5 bytes_per_second=405.171Mi/s testdata/otfcc.json
otfcc/Decode_SIMDjson_stddev                        1658167 ns      1618040 ns            5 bytes_per_second=4.11179Mi/s testdata/otfcc.json
otfcc/Decode_SIMDjson_cv                               1.05 %          1.03 %             5 bytes_per_second=1.02% testdata/otfcc.json
otfcc/Decode_JsonCpp_mean                        1.2091e+10 ns   1.2067e+10 ns            5 bytes_per_second=5.24935Mi/s testdata/otfcc.json
otfcc/Decode_JsonCpp_median                      1.2033e+10 ns   1.2007e+10 ns            5 bytes_per_second=5.27462Mi/s testdata/otfcc.json
otfcc/Decode_JsonCpp_stddev                       161176063 ns    161360247 ns            5 bytes_per_second=71.6594Ki/s testdata/otfcc.json
otfcc/Decode_JsonCpp_cv                                1.33 %          1.34 %             5 bytes_per_second=1.33% testdata/otfcc.json
