                       	__stpcpy_chk	normal_stpcpy
Length   32, alignment  0/ 0:	8.61169	18.3885
Length   32, alignment  6/ 4:	8.5515	21.0827
Length   64, alignment  0/ 0:	9.60164	18.0225
Length   64, alignment  5/ 6:	9.57158	15.5115
Length  128, alignment  0/ 0:	12.4851	15.4492
Length  128, alignment  4/ 0:	12.321	15.8133
Length  256, alignment  0/ 0:	14.9555	21.5267
Length  256, alignment  3/ 2:	14.033	23.9675
Length  512, alignment  0/ 0:	25.69	17.707
Length  512, alignment  2/ 4:	33.0326	33.7882
Length 1024, alignment  0/ 0:	22.3341	16.3611
Length 1024, alignment  1/ 6:	22.6226	36.4257
Length   16, alignment  1/ 2:	7.64166	6.50974
Length   16, alignment  2/ 1:	7.55759	6.48181
Length   16, alignment  1/ 1:	7.88116	6.49937
Length   16, alignment  1/ 1:	7.70293	6.46594
Length   32, alignment  2/ 4:	8.36687	21.0005
Length   32, alignment  4/ 2:	8.4417	21.4328
Length   32, alignment  2/ 2:	8.12309	20.9292
Length   32, alignment  2/ 2:	8.33543	21.3199
Length   64, alignment  3/ 6:	9.10167	13.8726
Length   64, alignment  6/ 3:	9.22954	12.5784
Length   64, alignment  3/ 3:	9.0726	16.4394
Length   64, alignment  3/ 3:	9.56097	15.6435
Length  128, alignment  4/ 0:	12.2091	17.202
Length  128, alignment  0/ 4:	12.4749	12.2912
Length  128, alignment  4/ 4:	12.5108	19.7455
Length  128, alignment  4/ 4:	12.4425	20.2427
Length  256, alignment  5/ 2:	14.3248	22.5826
Length  256, alignment  2/ 5:	14.3555	26.1517
Length  256, alignment  5/ 5:	14.4116	21.1206
Length  256, alignment  5/ 5:	14.6005	20.7315
Length  512, alignment  6/ 4:	28.2146	26.4271
Length  512, alignment  4/ 6:	27.8265	32.0642
Length  512, alignment  6/ 6:	25.6937	19.3653
Length  512, alignment  6/ 6:	31.7326	19.2821
Length 1024, alignment  7/ 6:	21.1973	34.8327
Length 1024, alignment  6/ 7:	22.3354	37.0809
Length 1024, alignment  7/ 7:	23.6577	32.8413
Length 1024, alignment  7/ 7:	23.6882	33.2344
Length    0, alignment  0/ 0:	5.58343	6.84132
Length    0, alignment  0/ 0:	5.58587	6.6006
Length    0, alignment  0/ 0:	5.50515	6.77364
Length    0, alignment  0/ 0:	5.62119	6.78486
Length    1, alignment  0/ 0:	7.59765	6.39758
Length    1, alignment  0/ 0:	7.62442	6.19631
Length    1, alignment  0/ 1:	7.08218	6.64348
Length    1, alignment  1/ 0:	7.68638	6.23125
Length    2, alignment  0/ 0:	7.24828	6.36035
Length    2, alignment  0/ 0:	7.15818	6.51019
Length    2, alignment  0/ 2:	7.02679	6.18288
Length    2, alignment  2/ 0:	7.65708	6.52919
Length    3, alignment  0/ 0:	7.75816	6.35928
Length    3, alignment  0/ 0:	7.57094	6.33998
Length    3, alignment  0/ 3:	7.7394	6.4709
Length    3, alignment  3/ 0:	7.76694	6.44946
Length    4, alignment  0/ 0:	7.73643	6.30565
Length    4, alignment  0/ 0:	7.58795	6.2842
Length    4, alignment  0/ 4:	7.96898	6.12788
Length    4, alignment  4/ 0:	8.17299	6.34166
Length    5, alignment  0/ 0:	8.46841	6.29336
Length    5, alignment  0/ 0:	8.1556	6.35142
Length    5, alignment  0/ 5:	7.65212	6.30961
Length    5, alignment  5/ 0:	7.81166	6.42496
Length    6, alignment  0/ 0:	7.71429	6.28017
Length    6, alignment  0/ 0:	7.83591	6.44733
Length    6, alignment  0/ 6:	8.06374	6.25948
Length    6, alignment  6/ 0:	7.83813	6.27909
Length    7, alignment  0/ 0:	7.92595	6.32174
Length    7, alignment  0/ 0:	7.50891	6.36195
Length    7, alignment  0/ 7:	7.68676	6.26391
Length    7, alignment  7/ 0:	7.44978	6.32297
Length    8, alignment  0/ 0:	7.53104	6.18609
Length    8, alignment  0/ 0:	7.50899	5.99084
Length    8, alignment  0/ 0:	7.37997	6.22401
Length    8, alignment  0/ 0:	7.50891	6.00092
Length    9, alignment  0/ 0:	7.57316	5.88625
Length    9, alignment  0/ 0:	7.31672	6.32189
Length    9, alignment  0/ 1:	7.70728	6.1265
Length    9, alignment  1/ 0:	7.48267	6.25025
Length   10, alignment  0/ 0:	7.71972	6.07424
Length   10, alignment  0/ 0:	7.1964	6.43657
Length   10, alignment  0/ 2:	7.77129	6.42665
Length   10, alignment  2/ 0:	7.51074	6.31007
Length   11, alignment  0/ 0:	7.31649	6.36523
Length   11, alignment  0/ 0:	7.56369	6.00199
Length   11, alignment  0/ 3:	7.58734	6.02862
Length   11, alignment  3/ 0:	7.37478	5.93668
Length   12, alignment  0/ 0:	7.67318	6.0135
Length   12, alignment  0/ 0:	7.46176	5.99871
Length   12, alignment  0/ 4:	6.66241	6.06622
Length   12, alignment  4/ 0:	7.47687	6.47784
Length   13, alignment  0/ 0:	7.62168	5.99626
Length   13, alignment  0/ 0:	7.50266	6.18433
Length   13, alignment  0/ 5:	6.73893	6.09957
Length   13, alignment  5/ 0:	7.24485	6.21836
Length   14, alignment  0/ 0:	7.22936	6.01389
Length   14, alignment  0/ 0:	7.27354	5.99428
Length   14, alignment  0/ 6:	6.93639	6.62739
Length   14, alignment  6/ 0:	7.28422	6.03471
Length   15, alignment  0/ 0:	7.65067	6.06326
Length   15, alignment  0/ 0:	7.65021	6.00489
Length   15, alignment  0/ 7:	7.59108	6.13787
Length   15, alignment  7/ 0:	7.64235	5.95155
Length   16, alignment  0/ 0:	7.64662	6.50027
Length   16, alignment  7/ 2:	7.58284	6.40125
Length   32, alignment  0/ 0:	8.48641	18.3958
Length   32, alignment  6/ 4:	8.56767	21.0355
Length   64, alignment  0/ 0:	9.3465	18.0626
Length   64, alignment  5/ 6:	9.52458	13.6668
Length  128, alignment  0/ 0:	12.6334	15.4995
Length  128, alignment  4/ 0:	12.4452	14.777
Length  256, alignment  0/ 0:	14.9402	21.9907
Length  256, alignment  3/ 2:	14.9417	22.5796
Length  512, alignment  0/ 0:	25.6603	22.3259
Length  512, alignment  2/ 4:	25.9007	32.1757
Length 1024, alignment  0/ 0:	22.2585	16.1505
Length 1024, alignment  1/ 6:	22.7388	35.1386
Length   16, alignment  1/ 2:	7.77076	6.45381
Length   16, alignment  2/ 1:	7.70827	6.49951
Length   16, alignment  1/ 1:	7.98965	6.41452
Length   16, alignment  1/ 1:	7.62695	6.45343
Length   32, alignment  2/ 4:	8.2322	21.3434
Length   32, alignment  4/ 2:	8.90627	20.8982
Length   32, alignment  2/ 2:	8.22678	21.0984
Length   32, alignment  2/ 2:	8.18901	21.2644
Length   64, alignment  3/ 6:	9.32568	17.3166
Length   64, alignment  6/ 3:	9.1701	15.384
Length   64, alignment  3/ 3:	9.12402	18.0105
Length   64, alignment  3/ 3:	9.04147	18.5494
Length  128, alignment  4/ 0:	12.3645	15.2577
Length  128, alignment  0/ 4:	12.5332	11.9364
Length  128, alignment  4/ 4:	12.3702	20.3687
Length  128, alignment  4/ 4:	12.7304	20.4665
Length  256, alignment  5/ 2:	14.5014	19.6829
Length  256, alignment  2/ 5:	14.7358	27.0292
Length  256, alignment  5/ 5:	14.7809	19.2822
Length  256, alignment  5/ 5:	14.168	21.5375
Length  512, alignment  6/ 4:	28.8318	30.6922
Length  512, alignment  4/ 6:	34.421	32.87
Length  512, alignment  6/ 6:	29.7771	28.1494
Length  512, alignment  6/ 6:	29.1184	18.8931
Length 1024, alignment  7/ 6:	21.1274	33.5978
Length 1024, alignment  6/ 7:	22.3092	36.5017
Length 1024, alignment  7/ 7:	23.9951	27.6775
Length 1024, alignment  7/ 7:	23.6943	31.8935
Length    0, alignment  0/ 0:	5.6067	6.6663
Length    0, alignment  0/ 0:	5.43449	6.95538
Length    0, alignment  0/ 0:	5.58266	6.67194
Didn't expect signal from child: got `Aborted'
