                       	__stpcpy_chk	normal_stpcpy
Length    0, alignment  0/ 0:	4.65231	7.17656
Length    0, alignment  0/ 0:	4.9604	6.93181
Length    0, alignment  0/ 0:	5.18363	7.03503
Length    0, alignment  0/ 0:	4.97634	7.11942
Length    1, alignment  0/ 0:	8.25279	6.55293
Length    1, alignment  0/ 0:	8.34145	6.64692
Length    1, alignment  0/ 1:	7.59375	6.53415
Length    1, alignment  1/ 0:	7.98157	6.53125
Length    2, alignment  0/ 0:	7.43803	6.52477
Length    2, alignment  0/ 0:	7.54584	6.55116
Length    2, alignment  0/ 2:	7.43933	6.98254
Length    2, alignment  2/ 0:	7.97279	6.47197
Length    3, alignment  0/ 0:	8.34595	6.28886
Length    3, alignment  0/ 0:	8.18459	6.35318
Length    3, alignment  0/ 3:	8.02948	6.42474
Length    3, alignment  3/ 0:	8.0854	6.42039
Length    4, alignment  0/ 0:	7.97554	6.35455
Length    4, alignment  0/ 0:	8.13499	6.31037
Length    4, alignment  0/ 4:	7.48869	6.38278
Length    4, alignment  4/ 0:	8.24288	6.22805
Length    5, alignment  0/ 0:	8.10555	6.28413
Length    5, alignment  0/ 0:	8.00087	6.17464
Length    5, alignment  0/ 5:	7.46648	6.32472
Length    5, alignment  5/ 0:	8.25585	6.39308
Length    6, alignment  0/ 0:	8.15971	6.35699
Length    6, alignment  0/ 0:	8.35473	6.30885
Length    6, alignment  0/ 6:	7.48068	6.27924
Length    6, alignment  6/ 0:	8.18596	6.24514
Length    7, alignment  0/ 0:	7.48297	6.15137
Length    7, alignment  0/ 0:	7.50853	6.53079
Length    7, alignment  0/ 7:	7.62321	6.52942
Length    7, alignment  7/ 0:	7.64625	6.2337
Length    8, alignment  0/ 0:	7.59856	6.19059
Length    8, alignment  0/ 0:	7.68592	6.06874
Length    8, alignment  0/ 0:	7.80753	6.28565
Length    8, alignment  0/ 0:	7.76626	6.40399
Length    9, alignment  0/ 0:	7.58833	6.10079
Length    9, alignment  0/ 0:	7.78411	6.13451
Length    9, alignment  0/ 1:	7.46001	6.37737
Length    9, alignment  1/ 0:	7.61015	6.08447
Length   10, alignment  0/ 0:	7.68019	6.06074
Length   10, alignment  0/ 0:	7.58086	6.12925
Length   10, alignment  0/ 2:	7.51028	6.21539
Length   10, alignment  2/ 0:	7.41187	6.11636
Length   11, alignment  0/ 0:	7.72773	6.0663
Length   11, alignment  0/ 0:	7.57751	6.05905
Length   11, alignment  0/ 3:	7.54996	6.36569
Length   11, alignment  3/ 0:	7.55064	6.30603
Length   12, alignment  0/ 0:	7.69157	6.10956
Length   12, alignment  0/ 0:	7.64243	6.07866
Length   12, alignment  0/ 4:	6.76586	6.09866
Length   12, alignment  4/ 0:	7.42025	6.33571
Length   13, alignment  0/ 0:	7.71331	6.11497
Length   13, alignment  0/ 0:	7.67485	6.33487
Length   13, alignment  0/ 5:	6.91914	6.19738
Length   13, alignment  5/ 0:	7.58986	6.23125
Length   14, alignment  0/ 0:	7.57255	6.13634
Length   14, alignment  0/ 0:	7.47655	6.10125
Length   14, alignment  0/ 6:	7.23394	6.15343
Length   14, alignment  6/ 0:	7.27796	6.1114
Length   15, alignment  0/ 0:	7.53088	6.14367
Length   15, alignment  0/ 0:	7.53188	6.31534
Length   15, alignment  0/ 7:	7.55553	6.36256
Length   15, alignment  7/ 0:	7.51715	6.0692
Length   16, alignment  0/ 0:	7.50571	6.45786
Length   16, alignment  7/ 2:	7.57475	6.49554
