                            	generic_memccpy	memccpy
Length   16, n   32, char 0, alignment  4/ 0:	6.66115	7.95728
Length   32, n   16, char 4, alignment  0/ 4:	6.01721	6.02138
Length   16, n   16, char 12, alignment  5/ 5:	7.31275	7.54637
Length   16, n   16, char 23, alignment  5/ 5:	6.51504	7.99137
Length   16, n   16, char 28, alignment  5/ 2:	6.65781	7.68088
Length   16, n   16, char 31, alignment  2/ 5:	7.29418	7.60533
Length   32, n   64, char 1, alignment  3/ 2:	7.61193	7.77928
Length   64, n   32, char 17, alignment  2/ 3:	6.0198	5.75793
Length   32, n   64, char 0, alignment  3/ 2:	7.68403	8.01987
Length   64, n   32, char 5, alignment  2/ 3:	6.03067	5.7515
Length   16, n   16, char 12, alignment  6/ 6:	7.85701	7.9132
Length   16, n   16, char 23, alignment  6/ 6:	7.37091	7.8617
Length   16, n   16, char 28, alignment  6/ 4:	7.20048	7.84103
Length   16, n   16, char 31, alignment  4/ 6:	7.30087	7.85007
Length   64, n  128, char 1, alignment  2/ 4:	10.012	9.78688
Length  128, n   64, char 17, alignment  4/ 2:	5.76295	5.75887
Length   64, n  128, char 0, alignment  2/ 4:	10.5415	10.0713
Length  128, n   64, char 6, alignment  4/ 2:	5.75963	5.759
Length   16, n   16, char 12, alignment  7/ 7:	8.07472	7.68163
Length   16, n   16, char 23, alignment  7/ 7:	8.07526	7.5792
Length   16, n   16, char 28, alignment  7/ 6:	8.10734	7.56196
Length   16, n   16, char 31, alignment  6/ 7:	8.11035	7.54616
Length  128, n  256, char 1, alignment  1/ 6:	9.55292	9.14201
Length  256, n  128, char 17, alignment  6/ 1:	6.01759	6.01954
Length  128, n  256, char 0, alignment  1/ 6:	9.59937	9.29767
Length  256, n  128, char 7, alignment  6/ 1:	6.01902	6.02182
Length    8, n   16, char 1, alignment  0/ 0:	7.49584	7.68769
Length   32, n   16, char 1, alignment  0/ 0:	6.29824	6.02962
Length    8, n   16, char 1, alignment  7/ 2:	7.22238	7.68681
Length   32, n   16, char 1, alignment  7/ 2:	6.3276	6.01455
Length   16, n   32, char 2, alignment  0/ 0:	8.12542	7.58607
Length   64, n   32, char 2, alignment  0/ 0:	5.75259	5.75954
Length   16, n   32, char 2, alignment  6/ 4:	7.97062	7.8625
Length   64, n   32, char 2, alignment  6/ 4:	5.76346	5.75124
Length   32, n   64, char 3, alignment  0/ 0:	6.9871	8.11979
Length  128, n   64, char 3, alignment  0/ 0:	5.74567	5.75963
Length   32, n   64, char 3, alignment  5/ 6:	7.30663	8.09448
Length  128, n   64, char 3, alignment  5/ 6:	5.76312	5.74622
Length   64, n  128, char 4, alignment  0/ 0:	9.07285	8.81283
Length  256, n  128, char 4, alignment  0/ 0:	6.28838	6.30887
Length   64, n  128, char 4, alignment  4/ 0:	6.67297	6.39794
Length  256, n  128, char 4, alignment  4/ 0:	6.29021	6.293
Length  128, n  256, char 5, alignment  0/ 0:	7.43786	9.25512
Length  512, n  256, char 5, alignment  0/ 0:	7.66427	7.65895
Length  128, n  256, char 5, alignment  3/ 2:	10.1007	10.4209
Length  512, n  256, char 5, alignment  3/ 2:	7.9495	7.96445
Length  256, n  512, char 6, alignment  0/ 0:	10.4696	14.4726
Length 1024, n  512, char 6, alignment  0/ 0:	8.7545	8.73808
Length  256, n  512, char 6, alignment  2/ 4:	12.4553	14.3661
Length 1024, n  512, char 6, alignment  2/ 4:	10.5901	10.5558
Length  512, n 1024, char 7, alignment  0/ 0:	19.4577	18.6377
Length 2048, n 1024, char 7, alignment  0/ 0:	19.7687	19.7281
Length  512, n 1024, char 7, alignment  1/ 6:	19.9366	19.9824
Length 2048, n 1024, char 7, alignment  1/ 6:	20.0741	20.2253
