                            	generic_memccpy	memccpy
Length   16, n   16, char 12, alignment  1/ 1:	6.70511	7.62009
Length   16, n   16, char 23, alignment  1/ 1:	6.66799	8.26237
Length   16, n   16, char 28, alignment  1/ 2:	6.621	7.70274
Length   16, n   16, char 31, alignment  2/ 1:	6.67068	7.66814
Length    2, n    4, char 1, alignment  7/ 2:	5.76532	4.64262
Length    4, n    2, char 17, alignment  2/ 7:	6.58435	6.01492
Length    2, n    4, char 0, alignment  7/ 2:	5.7491	4.64166
Length    4, n    2, char 1, alignment  2/ 7:	6.57762	6.01728
Length   16, n   16, char 12, alignment  2/ 2:	7.54704	7.95562
Length   16, n   16, char 23, alignment  2/ 2:	7.37135	7.86279
Length   16, n   16, char 28, alignment  2/ 4:	7.39395	7.96177
Length   16, n   16, char 31, alignment  4/ 2:	7.47927	7.89716
Length    4, n    8, char 1, alignment  6/ 4:	8.92018	8.45185
Length    8, n    4, char 17, alignment  4/ 6:	5.75675	6.03365
Length    4, n    8, char 0, alignment  6/ 4:	8.67975	8.44787
Length    8, n    4, char 2, alignment  4/ 6:	6.04078	6.02169
Length   16, n   16, char 12, alignment  3/ 3:	7.47526	7.87258
Length   16, n   16, char 23, alignment  3/ 3:	7.55126	7.97855
Length   16, n   16, char 28, alignment  3/ 6:	7.30615	7.88982
Length   16, n   16, char 31, alignment  6/ 3:	7.5837	7.97023
Length    8, n   16, char 1, alignment  5/ 6:	6.67091	8.03551
Length   16, n    8, char 17, alignment  6/ 5:	5.75133	6.01828
Length    8, n   16, char 0, alignment  5/ 6:	6.12755	8.21009
Length   16, n    8, char 3, alignment  6/ 5:	5.75053	5.76427
Length   16, n   16, char 12, alignment  4/ 4:	6.99124	7.92179
Length   16, n   16, char 23, alignment  4/ 4:	7.14794	8.02557
Length   16, n   16, char 28, alignment  4/ 0:	7.64968	7.80299
Length   16, n   16, char 31, alignment  0/ 4:	7.62183	7.91423
Length   16, n   32, char 1, alignment  4/ 0:	7.50094	8.02553
Length   32, n   16, char 17, alignment  0/ 4:	6.01238	6.0203
