                       	strsep
Length    8/2, alignment  0/ 0, found:	27.0638
Length    8/2, alignment  0/ 0, fail:	4.87683
Length    8/2, alignment  0/ 3, found:	22.1625
Length    8/2, alignment  0/ 3, fail:	4.60217
Length    8/2, alignment  0/ 9, found:	22.9695
Length    8/2, alignment  0/ 9, fail:	4.60095
Length    8/2, alignment  0/15, found:	23.0975
Length    8/2, alignment  0/15, fail:	5.41162
Length    8/2, alignment  3/ 0, found:	22.9755
Length    8/2, alignment  3/ 0, fail:	4.3324
Length    8/2, alignment  3/ 3, found:	22.8412
Length    8/2, alignment  3/ 3, fail:	4.60461
Length    8/2, alignment  3/ 9, found:	23.8361
Length    8/2, alignment  3/ 9, fail:	4.60095
Length    8/2, alignment  3/15, found:	22.9742
Length    8/2, alignment  3/15, fail:	4.87805
Length    8/2, alignment  9/ 0, found:	22.4115
Length    8/2, alignment  9/ 0, fail:	5.14307
Length    8/2, alignment  9/ 3, found:	22.9694
Length    8/2, alignment  9/ 3, fail:	5.41272
Length    8/2, alignment  9/ 9, found:	23.2319
Length    8/2, alignment  9/ 9, fail:	6.23792
Length    8/2, alignment  9/15, found:	22.9756
Length    8/2, alignment  9/15, fail:	5.68494
Length    8/2, alignment 15/ 0, found:	24.0645
Length    8/2, alignment 15/ 0, fail:	5.14294
Length    8/2, alignment 15/ 3, found:	15.9502
Length    8/2, alignment 15/ 3, fail:	5.41394
Length    8/2, alignment 15/ 9, found:	15.949
Length    8/2, alignment 15/ 9, fail:	5.40784
Length    8/2, alignment 15/15, found:	15.9478
Length    8/2, alignment 15/15, fail:	5.68384
Length   10/2, alignment  0/ 0, found:	23.8251
Length   10/2, alignment  0/ 0, fail:	4.87329
Length   10/2, alignment  0/ 3, found:	22.8937
Length   10/2, alignment  0/ 3, fail:	4.87317
Length   10/2, alignment  0/ 9, found:	21.889
Length   10/2, alignment  0/ 9, fail:	4.87085
Length   10/2, alignment  0/15, found:	21.4886
Length   10/2, alignment  0/15, fail:	5.4115
Length   10/2, alignment  3/ 0, found:	22.5702
