                       	__strcpy_chk	normal_strcpy
Length    4, alignment  0/ 0:	4.1135	2.70294
Length    4, alignment  0/ 0:	4.1547	2.70279
Length    4, alignment  0/ 4:	4.1483	2.70279
Length    4, alignment  4/ 0:	4.14852	2.70279
Length    5, alignment  0/ 0:	4.16584	2.70279
Length    5, alignment  0/ 0:	4.09595	2.77344
Length    5, alignment  0/ 5:	4.0942	2.76634
Length    5, alignment  5/ 0:	4.05422	2.80991
Length    6, alignment  0/ 0:	4.05422	2.4752
Length    6, alignment  0/ 0:	4.13128	2.48161
Length    6, alignment  0/ 6:	4.0907	2.43262
Length    6, alignment  6/ 0:	4.15401	2.43262
Length    7, alignment  0/ 0:	3.89339	2.43255
Length    7, alignment  0/ 0:	3.8261	2.47681
Length    7, alignment  0/ 7:	3.78398	2.5534
Length    7, alignment  7/ 0:	3.78399	2.47695
Length    8, alignment  0/ 0:	3.8248	2.70348
Length    8, alignment  0/ 0:	3.89027	2.70302
Length    8, alignment  0/ 0:	3.87752	2.70294
Length    8, alignment  0/ 0:	3.83144	2.75398
Length    9, alignment  0/ 0:	3.82632	2.78382
Length    9, alignment  0/ 0:	3.78398	2.36823
Length    9, alignment  0/ 1:	3.78535	2.21899
Length    9, alignment  1/ 0:	3.83297	2.16246
Length   10, alignment  0/ 0:	3.88232	2.16246
Length   10, alignment  0/ 0:	3.829	2.22906
Length   10, alignment  0/ 2:	3.78413	2.20488
Length   10, alignment  2/ 0:	3.83205	2.16246
Length   11, alignment  0/ 0:	3.88148	2.16238
Length   11, alignment  0/ 0:	3.90094	2.16238
Length   11, alignment  0/ 3:	3.82275	2.20885
Length   11, alignment  3/ 0:	3.78413	2.20259
Length   12, alignment  0/ 0:	3.85372	2.16238
Length   12, alignment  0/ 0:	3.87492	2.16528
Length   12, alignment  0/ 4:	3.88058	2.16246
Length   12, alignment  4/ 0:	3.82564	2.2232
Length   13, alignment  0/ 0:	3.78406	2.20297
Length   13, alignment  0/ 0:	3.86882	2.16239
Length   13, alignment  0/ 5:	3.89934	2.16254
Length   13, alignment  5/ 0:	3.89355	2.16246
Length   14, alignment  0/ 0:	3.82816	2.22159
Length   14, alignment  0/ 0:	3.78406	2.20641
Length   14, alignment  0/ 6:	3.8409	2.16246
Length   14, alignment  6/ 0:	3.89606	2.16246
Length   15, alignment  0/ 0:	4.15868	2.16238
Length   15, alignment  0/ 0:	4.09634	2.23021
Length   15, alignment  0/ 7:	4.05438	2.20648
Length   15, alignment  7/ 0:	4.11526	2.20397
Length   16, alignment  0/ 0:	4.11823	2.43316
Length   16, alignment  7/ 2:	4.14296	2.4327
Length   32, alignment  0/ 0:	4.42166	2.43324
Length   32, alignment  6/ 4:	4.43586	2.43247
Length   64, alignment  0/ 0:	4.10046	2.76543
Length   64, alignment  5/ 6:	4.22642	2.7707
Length  128, alignment  0/ 0:	5.89449	3.30461
Length  128, alignment  4/ 0:	6.13673	3.24342
Length  256, alignment  0/ 0:	9.44424	4.83031
Length  256, alignment  3/ 2:	10.3918	5.11131
Length  512, alignment  0/ 0:	9.66695	6.58389
Length  512, alignment  2/ 4:	10.9757	7.29162
Length 1024, alignment  0/ 0:	16.567	10.3464
Length 1024, alignment  1/ 6:	19.1663	11.8171
Length   16, alignment  1/ 2:	4.14937	2.43285
Length   16, alignment  2/ 1:	4.16698	2.43255
