                       	strtok
Length    4/2, alignment  0/ 0, found:	12.0366
Length    4/2, alignment  0/ 0, fail:	10.2983
Length    4/2, alignment  0/ 3, found:	11.123
Length    4/2, alignment  0/ 3, fail:	11.0942
Length    4/2, alignment  0/ 9, found:	15.4106
Length    4/2, alignment  0/ 9, fail:	11.0894
Length    4/2, alignment  0/15, found:	11.1235
Length    4/2, alignment  0/15, fail:	11.3672
Length    4/2, alignment  3/ 0, found:	10.8452
Length    4/2, alignment  3/ 0, fail:	11.0991
Length    4/2, alignment  3/ 3, found:	11.4014
Length    4/2, alignment  3/ 3, fail:	11.377
Length    4/2, alignment  3/ 9, found:	11.0894
Length    4/2, alignment  3/ 9, fail:	11.3628
Length    4/2, alignment  3/15, found:	11.3867
Length    4/2, alignment  3/15, fail:	11.646
Length    4/2, alignment  9/ 0, found:	10.8354
Length    4/2, alignment  9/ 0, fail:	11.0991
Length    4/2, alignment  9/ 3, found:	11.377
Length    4/2, alignment  9/ 3, fail:	11.3677
Length    4/2, alignment  9/ 9, found:	11.3628
Length    4/2, alignment  9/ 9, fail:	11.3574
Length    4/2, alignment  9/15, found:	11.6406
Length    4/2, alignment  9/15, fail:	11.6411
Length    4/2, alignment 15/ 0, found:	12.52
Length    4/2, alignment 15/ 0, fail:	13.2817
Length    4/2, alignment 15/ 3, found:	12.1875
Length    4/2, alignment 15/ 3, fail:	13.2617
Length    4/2, alignment 15/ 9, found:	12.188
Length    4/2, alignment 15/ 9, fail:	12.9888
Length    4/2, alignment 15/15, found:	12.4761
Length    4/2, alignment 15/15, fail:	13.814
Length    6/2, alignment  0/ 0, found:	11.6992
Length    6/2, alignment  0/ 0, fail:	10.8354
Length    6/2, alignment  0/ 3, found:	15.562
Length    6/2, alignment  0/ 3, fail:	11.1089
Length    6/2, alignment  0/ 9, found:	11.665
Length    6/2, alignment  0/ 9, fail:	11.0986
Length    6/2, alignment  0/15, found:	12.2417
Length    6/2, alignment  0/15, fail:	11.397
Length    6/2, alignment  3/ 0, found:	11.1426
Length    6/2, alignment  3/ 0, fail:	17.9595
Length    6/2, alignment  3/ 3, found:	14.6929
Length    6/2, alignment  3/ 3, fail:	11.3672
Length    6/2, alignment  3/ 9, found:	11.3823
Length    6/2, alignment  3/ 9, fail:	11.3628
Length    6/2, alignment  3/15, found:	11.4067
Length    6/2, alignment  3/15, fail:	11.377
Length    6/2, alignment  9/ 0, found:	10.2935
Length    6/2, alignment  9/ 0, fail:	10.2886
Length    6/2, alignment  9/ 3, found:	11.3721
Length    6/2, alignment  9/ 3, fail:	11.0894
Length    6/2, alignment  9/ 9, found:	11.0942
Length    6/2, alignment  9/ 9, fail:	11.3623
Length    6/2, alignment  9/15, found:	11.1475
Length    6/2, alignment  9/15, fail:	11.3726
Length    6/2, alignment 15/ 0, found:	11.6851
Length    6/2, alignment 15/ 0, fail:	12.2021
Length    6/2, alignment 15/ 3, found:	12.7637
Length    6/2, alignment 15/ 3, fail:	12.9985
Length    6/2, alignment 15/ 9, found:	12.73
Length    6/2, alignment 15/ 9, fail:	12.9888
Length    6/2, alignment 15/15, found:	12.7642
Length    6/2, alignment 15/15, fail:	13.2812
Length    8/2, alignment  0/ 0, found:	11.1284
Length    8/2, alignment  0/ 0, fail:	10.8501
Length    8/2, alignment  0/ 3, found:	11.397
Length    8/2, alignment  0/ 3, fail:	11.377
Length    8/2, alignment  0/ 9, found:	11.6362
Length    8/2, alignment  0/ 9, fail:	11.3677
Length    8/2, alignment  0/15, found:	16.4263
Length    8/2, alignment  0/15, fail:	11.6655
Length    8/2, alignment  3/ 0, found:	11.1182
Length    8/2, alignment  3/ 0, fail:	10.8354
Length    8/2, alignment  3/ 3, found:	11.3921
Length    8/2, alignment  3/ 3, fail:	11.377
Length    8/2, alignment  3/ 9, found:	11.3623
Length    8/2, alignment  3/ 9, fail:	11.6362
Length    8/2, alignment  3/15, found:	17.105
Length    8/2, alignment  3/15, fail:	11.646
Length    8/2, alignment  9/ 0, found:	10.8501
Length    8/2, alignment  9/ 0, fail:	12.4609
Length    8/2, alignment  9/ 3, found:	11.3774
Length    8/2, alignment  9/ 3, fail:	12.9985
Length    8/2, alignment  9/ 9, found:	11.3823
Length    8/2, alignment  9/ 9, fail:	12.9834
Length    8/2, alignment  9/15, found:	11.3818
Length    8/2, alignment  9/15, fail:	13.0132
Length    8/2, alignment 15/ 0, found:	12.1978
Length    8/2, alignment 15/ 0, fail:	12.7446
Length    8/2, alignment 15/ 3, found:	13.0083
Length    8/2, alignment 15/ 3, fail:	13.0029
Length    8/2, alignment 15/ 9, found:	12.7251
Length    8/2, alignment 15/ 9, fail:	12.9937
Length    8/2, alignment 15/15, found:	12.7446
Length    8/2, alignment 15/15, fail:	13.5405
Length   10/2, alignment  0/ 0, found:	11.6699
Length   10/2, alignment  0/ 0, fail:	11.104
Length   10/2, alignment  0/ 3, found:	11.6802
Length   10/2, alignment  0/ 3, fail:	11.3774
Length   10/2, alignment  0/ 9, found:	11.6406
Length   10/2, alignment  0/ 9, fail:	11.6313
Length   10/2, alignment  0/15, found:	12.2222
Length   10/2, alignment  0/15, fail:	11.9146
Length   10/2, alignment  3/ 0, found:	11.1426
Length   10/2, alignment  3/ 0, fail:	11.104
Length   10/2, alignment  3/ 3, found:	15.2983
Length   10/2, alignment  3/ 3, fail:	11.3774
Length   10/2, alignment  3/ 9, found:	11.3726
Length   10/2, alignment  3/ 9, fail:	11.377
Length   10/2, alignment  3/15, found:	11.6753
Length   10/2, alignment  3/15, fail:	11.646
Length   10/2, alignment  9/ 0, found:	11.1284
Length   10/2, alignment  9/ 0, fail:	12.4609
Length   10/2, alignment  9/ 3, found:	18.5796
Length   10/2, alignment  9/ 3, fail:	13.0029
Length   10/2, alignment  9/ 9, found:	11.3726
Length   10/2, alignment  9/ 9, fail:	12.7202
Length   10/2, alignment  9/15, found:	11.6851
Length   10/2, alignment  9/15, fail:	13.2666
Length   10/2, alignment 15/ 0, found:	12.4756
Length   10/2, alignment 15/ 0, fail:	12.73
Length   10/2, alignment 15/ 3, found:	12.7544
Length   10/2, alignment 15/ 3, fail:	12.9985
Length   10/2, alignment 15/ 9, found:	12.73
Length   10/2, alignment 15/ 9, fail:	12.9785
Length   10/2, alignment 15/15, found:	13.0278
Length   10/2, alignment 15/15, fail:	13.5454
Length   12/2, alignment  0/ 0, found:	11.6509
Length   12/2, alignment  0/ 0, fail:	11.0942
Length   12/2, alignment  0/ 3, found:	11.6406
Length   12/2, alignment  0/ 3, fail:	11.3774
Length   12/2, alignment  0/ 9, found:	11.6411
Length   12/2, alignment  0/ 9, fail:	11.0938
Length   12/2, alignment  0/15, found:	12.1973
Length   12/2, alignment  0/15, fail:	11.6411
Length   12/2, alignment  3/ 0, found:	11.1138
Length   12/2, alignment  3/ 0, fail:	11.377
Length   12/2, alignment  3/ 3, found:	11.3867
Length   12/2, alignment  3/ 3, fail:	11.6411
Length   12/2, alignment  3/ 9, found:	11.4409
Length   12/2, alignment  3/ 9, fail:	11.6895
Length   12/2, alignment  3/15, found:	11.6602
Length   12/2, alignment  3/15, fail:	11.9189
Length   12/2, alignment  9/ 0, found:	11.1431
Length   12/2, alignment  9/ 0, fail:	12.4517
Length   12/2, alignment  9/ 3, found:	11.4067
Length   12/2, alignment  9/ 3, fail:	12.7246
Length   12/2, alignment  9/ 9, found:	11.3921
Length   12/2, alignment  9/ 9, fail:	12.7202
Length   12/2, alignment  9/15, found:	14.7808
Length   12/2, alignment  9/15, fail:	12.9839
Length   12/2, alignment 15/ 0, found:	12.4854
Length   12/2, alignment 15/ 0, fail:	13.0078
Length   12/2, alignment 15/ 3, found:	12.73
Length   12/2, alignment 15/ 3, fail:	12.9985
Length   12/2, alignment 15/ 9, found:	12.7251
Length   12/2, alignment 15/ 9, fail:	12.9839
Length   12/2, alignment 15/15, found:	12.7295
Length   12/2, alignment 15/15, fail:	13.5308
Length   14/2, alignment  0/ 0, found:	11.6606
Length   14/2, alignment  0/ 0, fail:	10.8306
Length   14/2, alignment  0/ 3, found:	11.6455
Length   14/2, alignment  0/ 3, fail:	11.3672
Length   14/2, alignment  0/ 9, found:	11.6411
Length   14/2, alignment  0/ 9, fail:	11.3677
Length   14/2, alignment  0/15, found:	12.1826
Length   14/2, alignment  0/15, fail:	11.3721
Length   14/2, alignment  3/ 0, found:	10.855
Length   14/2, alignment  3/ 0, fail:	12.4565
Length   14/2, alignment  3/ 3, found:	11.3965
Length   14/2, alignment  3/ 3, fail:	12.9985
Length   14/2, alignment  3/ 9, found:	11.3823
Length   14/2, alignment  3/ 9, fail:	12.9888
Length   14/2, alignment  3/15, found:	11.4019
Length   14/2, alignment  3/15, fail:	12.998
Length   14/2, alignment  9/ 0, found:	10.8496
Length   14/2, alignment  9/ 0, fail:	12.1782
Length   14/2, alignment  9/ 3, found:	15.5327
Length   14/2, alignment  9/ 3, fail:	12.9839
Length   14/2, alignment  9/ 9, found:	11.6411
Length   14/2, alignment  9/ 9, fail:	12.9834
Length   14/2, alignment  9/15, found:	11.6606
Length   14/2, alignment  9/15, fail:	12.7251
Length   14/2, alignment 15/ 0, found:	12.2026
Length   14/2, alignment 15/ 0, fail:	12.9937
Length   14/2, alignment 15/ 3, found:	15.7134
Length   14/2, alignment 15/ 3, fail:	13.2715
Length   14/2, alignment 15/ 9, found:	12.7202
Length   14/2, alignment 15/ 9, fail:	13.2671
Length   14/2, alignment 15/15, found:	12.7642
Length   14/2, alignment 15/15, fail:	13.5308
Length   16/2, alignment  0/ 0, found:	11.665
Length   16/2, alignment  0/ 0, fail:	12.4756
Length   16/2, alignment  0/ 3, found:	11.6655
Length   16/2, alignment  0/ 3, fail:	12.7495
Length   16/2, alignment  0/ 9, found:	11.6411
Length   16/2, alignment  0/ 9, fail:	12.4512
Length   16/2, alignment  0/15, found:	12.2026
Length   16/2, alignment  0/15, fail:	13.0132
Length   16/2, alignment  3/ 0, found:	11.1284
Length   16/2, alignment  3/ 0, fail:	12.4517
Length   16/2, alignment  3/ 3, found:	11.6504
Length   16/2, alignment  3/ 3, fail:	13.0034
Length   16/2, alignment  3/ 9, found:	11.646
Length   16/2, alignment  3/ 9, fail:	12.9937
Length   16/2, alignment  3/15, found:	11.6602
Length   16/2, alignment  3/15, fail:	12.7397
Length   16/2, alignment  9/ 0, found:	12.2026
Length   16/2, alignment  9/ 0, fail:	12.1782
Length   16/2, alignment  9/ 3, found:	12.7349
Length   16/2, alignment  9/ 3, fail:	12.7148
Length   16/2, alignment  9/ 9, found:	12.7251
Length   16/2, alignment  9/ 9, fail:	17.3979
Length   16/2, alignment  9/15, found:	13.2817
Length   16/2, alignment  9/15, fail:	13.2671
Length   16/2, alignment 15/ 0, found:	12.4614
Length   16/2, alignment 15/ 0, fail:	12.9937
Length   16/2, alignment 15/ 3, found:	12.7246
Length   16/2, alignment 15/ 3, fail:	12.998
Length   16/2, alignment 15/ 9, found:	17.8472
Length   16/2, alignment 15/ 9, fail:	12.7246
Length   16/2, alignment 15/15, found:	12.7349
Length   16/2, alignment 15/15, fail:	13.272
Length   18/2, alignment  0/ 0, found:	11.6753
Length   18/2, alignment  0/ 0, fail:	12.4805
Length   18/2, alignment  0/ 3, found:	11.6602
Length   18/2, alignment  0/ 3, fail:	12.7495
Length   18/2, alignment  0/ 9, found:	11.3677
Length   18/2, alignment  0/ 9, fail:	12.4468
Length   18/2, alignment  0/15, found:	12.2119
Length   18/2, alignment  0/15, fail:	12.7642
Length   18/2, alignment  3/ 0, found:	11.1333
Length   18/2, alignment  3/ 0, fail:	12.4663
Length   18/2, alignment  3/ 3, found:	11.6602
Length   18/2, alignment  3/ 3, fail:	12.7344
Length   18/2, alignment  3/ 9, found:	11.6509
Length   18/2, alignment  3/ 9, fail:	12.7153
Length   18/2, alignment  3/15, found:	11.6606
Length   18/2, alignment  3/15, fail:	12.7344
Length   18/2, alignment  9/ 0, found:	12.1973
Length   18/2, alignment  9/ 0, fail:	12.188
Length   18/2, alignment  9/ 3, found:	12.7397
Length   18/2, alignment  9/ 3, fail:	12.7153
Length   18/2, alignment  9/ 9, found:	12.7246
Length   18/2, alignment  9/ 9, fail:	12.7148
Length   18/2, alignment  9/15, found:	12.7349
Length   18/2, alignment  9/15, fail:	12.7251
Length   18/2, alignment 15/ 0, found:	15.9771
Length   18/2, alignment 15/ 0, fail:	13.0327
Length   18/2, alignment 15/ 3, found:	12.7397
Length   18/2, alignment 15/ 3, fail:	13.0127
Length   18/2, alignment 15/ 9, found:	12.7251
Length   18/2, alignment 15/ 9, fail:	12.7202
Length   18/2, alignment 15/15, found:	12.7544
Length   18/2, alignment 15/15, fail:	20.0981
Length   20/2, alignment  0/ 0, found:	11.6704
Length   20/2, alignment  0/ 0, fail:	12.4712
Length   20/2, alignment  0/ 3, found:	11.4014
Length   20/2, alignment  0/ 3, fail:	12.4614
Length   20/2, alignment  0/ 9, found:	11.3872
Length   20/2, alignment  0/ 9, fail:	12.4517
Length   20/2, alignment  0/15, found:	12.2075
Length   20/2, alignment  0/15, fail:	12.7295
Length   20/2, alignment  3/ 0, found:	11.3921
Length   20/2, alignment  3/ 0, fail:	12.7202
Length   20/2, alignment  3/ 3, found:	11.6509
Length   20/2, alignment  3/ 3, fail:	12.73
Length   20/2, alignment  3/ 9, found:	11.6455
Length   20/2, alignment  3/ 9, fail:	12.7202
Length   20/2, alignment  3/15, found:	12.1978
Length   20/2, alignment  3/15, fail:	13.5454
Length   20/2, alignment  9/ 0, found:	13.0376
Length   20/2, alignment  9/ 0, fail:	12.1777
Length   20/2, alignment  9/ 3, found:	12.7397
