[snappy-benchmark] cd SOURCE_DIR && ./build/snappy_benchmark
2026-08-18T17:21:34+08:00
Running ./build/snappy_benchmark
Run on (256 X 2900 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x128)
  L1 Instruction 64 KiB (x128)
  L2 Unified 1280 KiB (x128)
  L3 Unified 57344 KiB (x4)
Load Average: 0.70, 0.27, 0.15
----------------------------------------------------------------------------------------
Benchmark                              Time             CPU   Iterations UserCounters...
BM_UIOVecSource/5/2               563007 ns       562636 ns         1245 bytes_per_second=694.276M/s html4 (20.82 %)
BM_UIOVecSource/6/1               462900 ns       462649 ns         1513 bytes_per_second=313.506M/s txt1 (57.02 %)
BM_UIOVecSource/6/2               582624 ns       582332 ns         1202 bytes_per_second=249.073M/s txt1 (52.31 %)
BM_UIOVecSource/7/1               351859 ns       351682 ns         1990 bytes_per_second=339.454M/s txt2 (61.03 %)
BM_UIOVecSource/7/2               511959 ns       511695 ns         1368 bytes_per_second=233.303M/s txt2 (56.77 %)
BM_UIOVecSource/8/1              1241215 ns      1240484 ns          564 bytes_per_second=328.085M/s txt3 (54.30 %)
BM_UIOVecSource/8/2              1566481 ns      1565442 ns          447 bytes_per_second=259.981M/s txt3 (49.40 %)
BM_UIOVecSource/9/1              1535533 ns      1534560 ns          456 bytes_per_second=299.459M/s txt4 (65.32 %)
BM_UIOVecSource/9/2              2130582 ns      2129140 ns          329 bytes_per_second=215.833M/s txt4 (60.99 %)
BM_UIOVecSource/10/1               66016 ns        65981 ns        10500 bytes_per_second=1.67386G/s pb (19.60 %)
BM_UIOVecSource/10/2               81575 ns        81533 ns         8479 bytes_per_second=1.35458G/s pb (18.33 %)
BM_UIOVecSource/11/1              379968 ns       379787 ns         1842 bytes_per_second=462.842M/s gaviota (37.68 %)
BM_UIOVecSource/11/2              462799 ns       462551 ns         1514 bytes_per_second=380.025M/s gaviota (31.21 %)
BM_UIOVecSink/0                    73427 ns        73392 ns         9527 bytes_per_second=1.29943G/s html
BM_UIOVecSink/1                   727596 ns       727158 ns          961 bytes_per_second=920.794M/s urls
BM_UIOVecSink/2                     2870 ns         2869 ns       243977 bytes_per_second=39.963G/s jpg
BM_UIOVecSink/3                      215 ns          215 ns      3251221 bytes_per_second=885.747M/s jpg_200
BM_UIOVecSink/4                     6505 ns         6502 ns       103120 bytes_per_second=14.6669G/s pdf
BM_UFlatSink/0/1                   41874 ns        41854 ns        16707 bytes_per_second=2.2786G/s html
BM_UFlatSink/0/2                   38516 ns        38496 ns        18151 bytes_per_second=2.47734G/s html
BM_UFlatSink/1/1                  478641 ns       478320 ns         1463 bytes_per_second=1.36701G/s urls
BM_UFlatSink/1/2                  444801 ns       444487 ns         1574 bytes_per_second=1.47106G/s urls
BM_UFlatSink/2/1                    2824 ns         2823 ns       248017 bytes_per_second=40.6133G/s jpg
BM_UFlatSink/2/2                    2816 ns         2814 ns       248771 bytes_per_second=40.7364G/s jpg
BM_UFlatSink/3/1                     123 ns          123 ns      5647281 bytes_per_second=1.51362G/s jpg_200
BM_UFlatSink/3/2                     119 ns          118 ns      5901075 bytes_per_second=1.57237G/s jpg_200
BM_UFlatSink/4/1                    6019 ns         6016 ns       115852 bytes_per_second=15.8533G/s pdf
BM_UFlatSink/4/2                   13247 ns        13240 ns        52642 bytes_per_second=7.20283G/s pdf
BM_UFlatSink/5/1                  172785 ns       172700 ns         4053 bytes_per_second=2.20885G/s html4
BM_UFlatSink/5/2                  158411 ns       158330 ns         4420 bytes_per_second=2.40933G/s html4
BM_UFlatSink/6/1                  161141 ns       161064 ns         4345 bytes_per_second=900.533M/s txt1
BM_UFlatSink/6/2                  144372 ns       144290 ns         4851 bytes_per_second=1005.22M/s txt1
BM_UFlatSink/7/1                  145378 ns       145307 ns         4818 bytes_per_second=821.571M/s txt2
BM_UFlatSink/7/2                  133975 ns       133907 ns         5223 bytes_per_second=891.513M/s txt2
BM_UFlatSink/8/1                  424886 ns       424676 ns         1648 bytes_per_second=958.341M/s txt3
BM_UFlatSink/8/2                  375263 ns       375045 ns         1866 bytes_per_second=1085.16M/s txt3
BM_UFlatSink/9/1                  604683 ns       604342 ns         1156 bytes_per_second=760.395M/s txt4
BM_UFlatSink/9/2                  559960 ns       559665 ns         1249 bytes_per_second=821.096M/s txt4
BM_UFlatSink/10/1                  38978 ns        38958 ns        17960 bytes_per_second=2.83497G/s pb
BM_UFlatSink/10/2                  35761 ns        35742 ns        19567 bytes_per_second=3.09005G/s pb
BM_UFlatSink/11/1                 143126 ns       143052 ns         4890 bytes_per_second=1.19999G/s gaviota
BM_UFlatSink/11/2                 110120 ns       110065 ns         6355 bytes_per_second=1.55963G/s gaviota
BM_ZFlat/0/1                       95751 ns        95699 ns         7303 bytes_per_second=1020.45M/s html (22.22 %)
