[sonic] running official CMake benchmark (benchmark/main.cpp)
2026-08-24T02:22:22+00:00
Running /tmp/boostkit-perf/32682799285-1/HPC/sonic/1.0.2/x86_64/build/benchmark/bench
Run on (16 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1024 KiB (x8)
  L3 Unified 32768 KiB (x1)
Load Average: 1.27, 0.35, 0.11
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
twitterescaped/Decode_YYjson_cv                        0.02 %          0.02 %             5 bytes_per_second=0.02% testdata/twitterescaped.json
twitterescaped/Decode_SIMDjson_mean                  370581 ns       369129 ns            5 bytes_per_second=1.41897Gi/s testdata/twitterescaped.json
twitterescaped/Decode_SIMDjson_median                370687 ns       369237 ns            5 bytes_per_second=1.41856Gi/s testdata/twitterescaped.json
twitterescaped/Decode_SIMDjson_stddev                   346 ns          352 ns            5 bytes_per_second=1.38546Mi/s testdata/twitterescaped.json
twitterescaped/Decode_SIMDjson_cv                      0.09 %          0.10 %             5 bytes_per_second=0.10% testdata/twitterescaped.json
twitterescaped/Decode_JsonCpp_mean                 26073937 ns     25994527 ns            5 bytes_per_second=20.6336Mi/s testdata/twitterescaped.json
twitterescaped/Decode_JsonCpp_median               26071054 ns     25991596 ns            5 bytes_per_second=20.6357Mi/s testdata/twitterescaped.json
twitterescaped/Decode_JsonCpp_stddev                 100644 ns        99355 ns            5 bytes_per_second=80.5755Ki/s testdata/twitterescaped.json
twitterescaped/Decode_JsonCpp_cv                       0.39 %          0.38 %             5 bytes_per_second=0.38% testdata/twitterescaped.json
twitter/Decode_SonicDyn_mean                         101668 ns       101256 ns            5 bytes_per_second=2.43173Gi/s testdata/twitter.json
twitter/Decode_SonicDyn_median                       101675 ns       101260 ns            5 bytes_per_second=2.43163Gi/s testdata/twitter.json
twitter/Decode_SonicDyn_stddev                         26.8 ns         28.6 ns            5 bytes_per_second=721.208Ki/s testdata/twitter.json
twitter/Decode_SonicDyn_cv                             0.03 %          0.03 %             5 bytes_per_second=0.03% testdata/twitter.json
twitter/Decode_Rapidjson_mean                        363731 ns       362445 ns            5 bytes_per_second=695.653Mi/s testdata/twitter.json
twitter/Decode_Rapidjson_median                      363600 ns       362316 ns            5 bytes_per_second=695.898Mi/s testdata/twitter.json
twitter/Decode_Rapidjson_stddev                         533 ns          531 ns            5 bytes_per_second=1.019Mi/s testdata/twitter.json
twitter/Decode_Rapidjson_cv                            0.15 %          0.15 %             5 bytes_per_second=0.15% testdata/twitter.json
twitter/Decode_YYjson_mean                           325827 ns       324506 ns            5 bytes_per_second=776.983Mi/s testdata/twitter.json
twitter/Decode_YYjson_median                         325852 ns       324534 ns            5 bytes_per_second=776.916Mi/s testdata/twitter.json
twitter/Decode_YYjson_stddev                           52.4 ns         55.1 ns            5 bytes_per_second=135.119Ki/s testdata/twitter.json
twitter/Decode_YYjson_cv                               0.02 %          0.02 %             5 bytes_per_second=0.02% testdata/twitter.json
twitter/Decode_SIMDjson_mean                          81737 ns        81420 ns            5 bytes_per_second=3.02417Gi/s testdata/twitter.json
twitter/Decode_SIMDjson_median                        81807 ns        81487 ns            5 bytes_per_second=3.02166Gi/s testdata/twitter.json
