                       	strtok
Length    4/2, alignment  0/ 0, found:	33.2764
Length    4/2, alignment  0/ 0, fail:	33.2227
Length    4/2, alignment  0/ 3, found:	33.2129
Length    4/2, alignment  0/ 3, fail:	33.2031
Length    4/2, alignment  0/ 9, found:	33.2129
Length    4/2, alignment  0/ 9, fail:	33.1982
Length    4/2, alignment  0/15, found:	33.2324
Length    4/2, alignment  0/15, fail:	33.1885
Length    4/2, alignment  3/ 0, found:	33.1934
Length    4/2, alignment  3/ 0, fail:	40.3418
Length    4/2, alignment  3/ 3, found:	33.1982
Length    4/2, alignment  3/ 3, fail:	33.2031
Length    4/2, alignment  3/ 9, found:	33.1982
Length    4/2, alignment  3/ 9, fail:	33.2031
Length    4/2, alignment  3/15, found:	33.1934
Length    4/2, alignment  3/15, fail:	33.1934
Length    4/2, alignment  9/ 0, found:	33.1885
Length    4/2, alignment  9/ 0, fail:	33.208
Length    4/2, alignment  9/ 3, found:	33.208
Length    4/2, alignment  9/ 3, fail:	33.208
Length    4/2, alignment  9/ 9, found:	33.1885
Length    4/2, alignment  9/ 9, fail:	33.1934
Length    4/2, alignment  9/15, found:	33.2031
Length    4/2, alignment  9/15, fail:	33.2031
Length    4/2, alignment 15/ 0, found:	33.4277
Length    4/2, alignment 15/ 0, fail:	33.4473
Length    4/2, alignment 15/ 3, found:	33.4521
Length    4/2, alignment 15/ 3, fail:	33.4131
Length    4/2, alignment 15/ 9, found:	33.4326
Length    4/2, alignment 15/ 9, fail:	33.4326
Length    4/2, alignment 15/15, found:	33.3838
Length    4/2, alignment 15/15, fail:	33.4277
Length    6/2, alignment  0/ 0, found:	33.2617
Length    6/2, alignment  0/ 0, fail:	33.2178
Length    6/2, alignment  0/ 3, found:	33.2275
Length    6/2, alignment  0/ 3, fail:	33.1836
Length    6/2, alignment  0/ 9, found:	33.2178
Length    6/2, alignment  0/ 9, fail:	33.2031
Length    6/2, alignment  0/15, found:	33.2275
Length    6/2, alignment  0/15, fail:	33.1934
Length    6/2, alignment  3/ 0, found:	33.2275
Length    6/2, alignment  3/ 0, fail:	33.1885
Length    6/2, alignment  3/ 3, found:	33.2129
Length    6/2, alignment  3/ 3, fail:	33.1934
Length    6/2, alignment  3/ 9, found:	33.2129
Length    6/2, alignment  3/ 9, fail:	33.1982
Length    6/2, alignment  3/15, found:	33.2031
Length    6/2, alignment  3/15, fail:	33.208
Length    6/2, alignment  9/ 0, found:	33.2227
Length    6/2, alignment  9/ 0, fail:	33.1982
Length    6/2, alignment  9/ 3, found:	33.2178
Length    6/2, alignment  9/ 3, fail:	33.208
Length    6/2, alignment  9/ 9, found:	33.2275
Length    6/2, alignment  9/ 9, fail:	33.2031
Length    6/2, alignment  9/15, found:	33.2324
Length    6/2, alignment  9/15, fail:	33.2129
Length    6/2, alignment 15/ 0, found:	33.9014
Length    6/2, alignment 15/ 0, fail:	33.4473
Length    6/2, alignment 15/ 3, found:	33.833
Length    6/2, alignment 15/ 3, fail:	33.457
Length    6/2, alignment 15/ 9, found:	33.8184
Length    6/2, alignment 15/ 9, fail:	33.3936
Length    6/2, alignment 15/15, found:	33.8428
Length    6/2, alignment 15/15, fail:	33.4131
Length    8/2, alignment  0/ 0, found:	33.208
Length    8/2, alignment  0/ 0, fail:	33.208
Length    8/2, alignment  0/ 3, found:	35.4199
Length    8/2, alignment  0/ 3, fail:	33.4668
Length    8/2, alignment  0/ 9, found:	33.4766
Length    8/2, alignment  0/ 9, fail:	33.291
Length    8/2, alignment  0/15, found:	33.208
Length    8/2, alignment  0/15, fail:	33.1934
Length    8/2, alignment  3/ 0, found:	33.208
Length    8/2, alignment  3/ 0, fail:	33.2031
