                       	strsep
Length   12/3, alignment  0/ 0, found:	16.5674
Length   12/3, alignment  0/ 0, fail:	14.8328
Length   12/3, alignment  0/ 3, found:	16.9177
Length   12/3, alignment  0/ 3, fail:	14.8328
Length   12/3, alignment  0/ 9, found:	16.9031
Length   12/3, alignment  0/ 9, fail:	14.8291
Length   12/3, alignment  0/15, found:	16.5979
Length   12/3, alignment  0/15, fail:	14.8303
Length   12/3, alignment  3/ 0, found:	16.571
Length   12/3, alignment  3/ 0, fail:	14.8303
Length   12/3, alignment  3/ 3, found:	16.571
Length   12/3, alignment  3/ 3, fail:	14.8291
Length   12/3, alignment  3/ 9, found:	16.5796
Length   12/3, alignment  3/ 9, fail:	14.8303
Length   12/3, alignment  3/15, found:	16.5796
Length   12/3, alignment  3/15, fail:	14.8315
Length   12/3, alignment  9/ 0, found:	16.5564
Length   12/3, alignment  9/ 0, fail:	14.5923
Length   12/3, alignment  9/ 3, found:	16.5698
Length   12/3, alignment  9/ 3, fail:	14.4946
Length   12/3, alignment  9/ 9, found:	16.5698
Length   12/3, alignment  9/ 9, fail:	14.5874
Length   12/3, alignment  9/15, found:	16.9031
Length   12/3, alignment  9/15, fail:	14.5935
Length   12/3, alignment 15/ 0, found:	17.2656
Length   12/3, alignment 15/ 0, fail:	14.4971
Length   12/3, alignment 15/ 3, found:	17.3657
Length   12/3, alignment 15/ 3, fail:	14.491
Length   12/3, alignment 15/ 9, found:	17.2498
Length   12/3, alignment 15/ 9, fail:	14.7021
Length   12/3, alignment 15/15, found:	17.2485
Length   12/3, alignment 15/15, fail:	14.5801
Length   15/3, alignment  0/ 0, found:	16.9263
Length   15/3, alignment  0/ 0, fail:	14.8376
Length   15/3, alignment  0/ 3, found:	16.6528
Length   15/3, alignment  0/ 3, fail:	14.8352
Length   15/3, alignment  0/ 9, found:	16.7627
Length   15/3, alignment  0/ 9, fail:	14.8303
Length   15/3, alignment  0/15, found:	16.5576
Length   15/3, alignment  0/15, fail:	14.8303
Length   15/3, alignment  3/ 0, found:	16.5564
Length   15/3, alignment  3/ 0, fail:	14.6021
Length   15/3, alignment  3/ 3, found:	16.5784
Length   15/3, alignment  3/ 3, fail:	14.4934
Length   15/3, alignment  3/ 9, found:	16.5759
Length   15/3, alignment  3/ 9, fail:	14.6948
Length   15/3, alignment  3/15, found:	16.5674
Length   15/3, alignment  3/15, fail:	14.5813
Length   15/3, alignment  9/ 0, found:	17.2522
Length   15/3, alignment  9/ 0, fail:	14.5874
Length   15/3, alignment  9/ 3, found:	17.2485
Length   15/3, alignment  9/ 3, fail:	14.4897
Length   15/3, alignment  9/ 9, found:	17.2522
Length   15/3, alignment  9/ 9, fail:	14.4922
Length   15/3, alignment  9/15, found:	17.3401
Length   15/3, alignment  9/15, fail:	14.5959
Length   15/3, alignment 15/ 0, found:	17.2473
Length   15/3, alignment 15/ 0, fail:	14.5752
Length   15/3, alignment 15/ 3, found:	17.2498
Length   15/3, alignment 15/ 3, fail:	14.6838
Length   15/3, alignment 15/ 9, found:	17.2974
Length   15/3, alignment 15/ 9, fail:	14.585
Length   15/3, alignment 15/15, found:	17.251
Length   15/3, alignment 15/15, fail:	15.0159
Length   18/3, alignment  0/ 0, found:	16.5833
Length   18/3, alignment  0/ 0, fail:	14.5837
Length   18/3, alignment  0/ 3, found:	16.5796
Length   18/3, alignment  0/ 3, fail:	14.6985
Length   18/3, alignment  0/ 9, found:	16.7163
Length   18/3, alignment  0/ 9, fail:	14.5862
Length   18/3, alignment  0/15, found:	16.5845
Length   18/3, alignment  0/15, fail:	14.574
Length   18/3, alignment  3/ 0, found:	16.5784
Length   18/3, alignment  3/ 0, fail:	14.4922
Length   18/3, alignment  3/ 3, found:	16.5564
Length   18/3, alignment  3/ 3, fail:	14.7021
Length   18/3, alignment  3/ 9, found:	16.6833
Length   18/3, alignment  3/ 9, fail:	14.491
Length   18/3, alignment  3/15, found:	16.6663
Length   18/3, alignment  3/15, fail:	14.5813
Length   18/3, alignment  9/ 0, found:	17.2522
Length   18/3, alignment  9/ 0, fail:	14.5862
Length   18/3, alignment  9/ 3, found:	17.2534
Length   18/3, alignment  9/ 3, fail:	14.5813
Length   18/3, alignment  9/ 9, found:	17.312
Length   18/3, alignment  9/ 9, fail:	14.5776
Length   18/3, alignment  9/15, found:	17.3584
Length   18/3, alignment  9/15, fail:	14.5801
Length   18/3, alignment 15/ 0, found:	17.2473
Length   18/3, alignment 15/ 0, fail:	15.3174
Length   18/3, alignment 15/ 3, found:	17.2522
Length   18/3, alignment 15/ 3, fail:	15.2917
Length   18/3, alignment 15/ 9, found:	17.2729
Length   18/3, alignment 15/ 9, fail:	15.8374
Length   18/3, alignment 15/15, found:	17.2473
Length   18/3, alignment 15/15, fail:	15.2759
Length   21/3, alignment  0/ 0, found:	16.5771
Length   21/3, alignment  0/ 0, fail:	14.5776
Length   21/3, alignment  0/ 3, found:	16.5674
Length   21/3, alignment  0/ 3, fail:	14.5776
Length   21/3, alignment  0/ 9, found:	16.5833
Length   21/3, alignment  0/ 9, fail:	14.5837
Length   21/3, alignment  0/15, found:	16.5796
Length   21/3, alignment  0/15, fail:	14.491
Length   21/3, alignment  3/ 0, found:	16.5601
Length   21/3, alignment  3/ 0, fail:	14.585
Length   21/3, alignment  3/ 3, found:	16.7639
Length   21/3, alignment  3/ 3, fail:	14.585
Length   21/3, alignment  3/ 9, found:	16.6199
Length   21/3, alignment  3/ 9, fail:	14.4885
Length   21/3, alignment  3/15, found:	16.5784
Length   21/3, alignment  3/15, fail:	14.4922
Length   21/3, alignment  9/ 0, found:	17.2498
Length   21/3, alignment  9/ 0, fail:	14.5715
Length   21/3, alignment  9/ 3, found:	17.2522
Length   21/3, alignment  9/ 3, fail:	14.4714
Length   21/3, alignment  9/ 9, found:	17.251
Length   21/3, alignment  9/ 9, fail:	14.585
Length   21/3, alignment  9/15, found:	17.2485
Length   21/3, alignment  9/15, fail:	14.5837
Length   21/3, alignment 15/ 0, found:	17.2498
Length   21/3, alignment 15/ 0, fail:	15.2942
Length   21/3, alignment 15/ 3, found:	17.2827
Length   21/3, alignment 15/ 3, fail:	15.2942
Length   21/3, alignment 15/ 9, found:	17.6343
Length   21/3, alignment 15/ 9, fail:	15.2893
Length   21/3, alignment 15/15, found:	17.2485
Length   21/3, alignment 15/15, fail:	15.2917
Length   16/4, alignment  0/ 0, found:	17.0276
Length   16/4, alignment  0/ 0, fail:	15.0952
Length   16/4, alignment  0/ 3, found:	17.0154
Length   16/4, alignment  0/ 3, fail:	15.0903
Length   16/4, alignment  0/ 9, found:	17.019
Length   16/4, alignment  0/ 9, fail:	15.1929
Length   16/4, alignment  0/15, found:	17.0178
Length   16/4, alignment  0/15, fail:	15.1538
Length   16/4, alignment  3/ 0, found:	17.0215
Length   16/4, alignment  3/ 0, fail:	15.0818
Length   16/4, alignment  3/ 3, found:	17.0166
Length   16/4, alignment  3/ 3, fail:	15.0806
Length   16/4, alignment  3/ 9, found:	17.019
