                       	__stpcpy_chk	normal_stpcpy
Length    4, alignment  0/ 0:	3.79059	2.09984
Length    4, alignment  0/ 0:	3.79066	2.09892
Length    4, alignment  0/ 4:	3.82149	2.09885
Length    4, alignment  4/ 0:	3.8002	2.14981
Length    5, alignment  0/ 0:	3.79082	2.09801
Length    5, alignment  0/ 0:	3.79066	2.09915
Length    5, alignment  0/ 5:	3.78998	2.09885
Length    5, alignment  5/ 0:	3.83102	2.17247
Length    6, alignment  0/ 0:	3.79059	2.09877
Length    6, alignment  0/ 0:	3.79135	2.09923
Length    6, alignment  0/ 6:	3.79112	2.099
Length    6, alignment  6/ 0:	3.80981	2.15714
Length    7, alignment  0/ 0:	3.81805	2.09892
Length    7, alignment  0/ 0:	3.79341	2.09824
Length    7, alignment  0/ 7:	3.79333	2.09862
Length    7, alignment  7/ 0:	3.81493	2.15576
Length    8, alignment  0/ 0:	3.80196	2.12753
Length    8, alignment  0/ 0:	3.80257	2.14371
Length    8, alignment  0/ 0:	3.80203	2.12601
Length    8, alignment  0/ 0:	3.80272	2.1241
Length    9, alignment  0/ 0:	3.80318	2.12677
Length    9, alignment  0/ 0:	3.80203	2.12486
Length    9, alignment  0/ 1:	3.80211	2.13753
Length    9, alignment  1/ 0:	3.8147	2.15042
Length   10, alignment  0/ 0:	3.80287	2.12715
Length   10, alignment  0/ 0:	3.80219	2.12555
Length   10, alignment  0/ 2:	3.80241	2.12509
Length   10, alignment  2/ 0:	3.81439	2.16362
Length   11, alignment  0/ 0:	3.80257	2.12433
Length   11, alignment  0/ 0:	3.80188	2.12585
Length   11, alignment  0/ 3:	3.80226	2.12509
Length   11, alignment  3/ 0:	3.81432	2.14966
Length   12, alignment  0/ 0:	3.80302	2.1244
Length   12, alignment  0/ 0:	3.82919	2.12585
Length   12, alignment  0/ 4:	3.8028	2.12616
Length   12, alignment  4/ 0:	4.1037	2.47932
Length   13, alignment  0/ 0:	3.8028	2.12677
Length   13, alignment  0/ 0:	3.80264	2.12563
Length   13, alignment  0/ 5:	3.82225	2.12677
Length   13, alignment  5/ 0:	4.1037	2.47757
Length   14, alignment  0/ 0:	3.80196	2.12662
Length   14, alignment  0/ 0:	3.80203	2.12654
Length   14, alignment  0/ 6:	3.80257	2.12418
Length   14, alignment  6/ 0:	4.11629	2.47818
Length   15, alignment  0/ 0:	3.68423	2.10785
Length   15, alignment  0/ 0:	3.68416	2.11006
Length   15, alignment  0/ 7:	3.68507	2.11014
Length   15, alignment  7/ 0:	4.11324	2.47818
Length   16, alignment  0/ 0:	4.12155	2.39456
Length   16, alignment  7/ 2:	4.11194	2.38174
Length   32, alignment  0/ 0:	4.90654	3.16605
Length   32, alignment  6/ 4:	5.06096	3.16658
Length   64, alignment  0/ 0:	5.62256	3.78258
Length   64, alignment  5/ 6:	5.93887	3.78189
Length  128, alignment  0/ 0:	7.33276	5.12878
