                       	__strcpy_chk	normal_strcpy
Length    8, alignment  0/ 0:	3.47382	2.13173
Length    8, alignment  0/ 0:	3.4729	2.13264
Length    9, alignment  0/ 0:	3.47374	2.13203
Length    9, alignment  0/ 0:	3.48679	2.13211
Length    9, alignment  0/ 1:	3.47427	2.13371
Length    9, alignment  1/ 0:	3.47549	2.1328
Length   10, alignment  0/ 0:	3.4726	2.13303
Length   10, alignment  0/ 0:	3.47328	2.13165
Length   10, alignment  0/ 2:	3.47229	2.15805
Length   10, alignment  2/ 0:	3.47374	2.13127
Length   11, alignment  0/ 0:	3.47305	2.13257
Length   11, alignment  0/ 0:	3.47275	2.13303
Length   11, alignment  0/ 3:	3.47313	2.13326
Length   11, alignment  3/ 0:	3.47351	2.13318
Length   12, alignment  0/ 0:	3.50082	2.13142
Length   12, alignment  0/ 0:	3.47404	2.13348
Length   12, alignment  0/ 4:	3.47282	2.13272
Length   12, alignment  4/ 0:	3.89137	2.53799
Length   13, alignment  0/ 0:	3.47321	2.13295
Length   13, alignment  0/ 0:	3.47321	2.14241
Length   13, alignment  0/ 5:	3.47328	2.13249
Length   13, alignment  5/ 0:	3.89038	2.53708
Length   14, alignment  0/ 0:	3.47328	2.13356
Length   14, alignment  0/ 0:	3.47382	2.13219
Length   14, alignment  0/ 6:	3.47366	2.15233
Length   14, alignment  6/ 0:	3.89061	2.537
Length   15, alignment  0/ 0:	3.38036	2.13203
Length   15, alignment  0/ 0:	3.37761	2.1328
Length   15, alignment  0/ 7:	3.37975	2.13127
Length   15, alignment  7/ 0:	3.67706	2.5367
Length   16, alignment  0/ 0:	3.70064	2.42172
Length   16, alignment  7/ 2:	3.67775	2.42149
Length   32, alignment  0/ 0:	4.57222	3.23174
Length   32, alignment  6/ 4:	4.60365	3.265
Length   64, alignment  0/ 0:	5.52582	3.86749
Length   64, alignment  5/ 6:	5.56038	3.89198
Length  128, alignment  0/ 0:	6.81023	5.81985
Length  128, alignment  4/ 0:	6.84937	5.81787
Length  256, alignment  0/ 0:	10.7526	10.2764
Length  256, alignment  3/ 2:	10.7462	10.2744
Length  512, alignment  0/ 0:	20.2228	16.3551
Length  512, alignment  2/ 4:	20.265	16.3736
Length 1024, alignment  0/ 0:	37.2434	29.0858
Length 1024, alignment  1/ 6:	38.8585	29.0738
Length   16, alignment  1/ 2:	3.6776	2.42172
Length   16, alignment  2/ 1:	3.67477	2.42126
Length   16, alignment  1/ 1:	3.68721	2.42264
Length   16, alignment  1/ 1:	3.67966	2.42149
Length   32, alignment  2/ 4:	4.60312	3.26576
Length   32, alignment  4/ 2:	4.60304	3.26515
Length   32, alignment  2/ 2:	4.60251	3.27362
Length   32, alignment  2/ 2:	4.60236	3.26546
Length   64, alignment  3/ 6:	5.56053	3.89221
Length   64, alignment  6/ 3:	5.56244	3.89313
Length   64, alignment  3/ 3:	5.5732	3.89313
Length   64, alignment  3/ 3:	5.55992	3.89282
Length  128, alignment  4/ 0:	6.82899	5.7785
Length  128, alignment  0/ 4:	6.82899	5.81879
Length  128, alignment  4/ 4:	6.81458	5.79376
Length  128, alignment  4/ 4:	6.84776	5.8194
Length  256, alignment  5/ 2:	10.7485	10.3802
Length  256, alignment  2/ 5:	10.7761	10.2673
Length  256, alignment  5/ 5:	10.7525	10.2892
Length  256, alignment  5/ 5:	10.7535	10.2946
Length  512, alignment  6/ 4:	20.3446	16.3011
Length  512, alignment  4/ 6:	20.0008	16.3358
Length  512, alignment  6/ 6:	20.3465	16.366
Length  512, alignment  6/ 6:	20.0672	16.396
Length 1024, alignment  7/ 6:	38.7006	29.0752
Length 1024, alignment  6/ 7:	38.9725	28.2094
Length 1024, alignment  7/ 7:	37.2833	29.0904
Length 1024, alignment  7/ 7:	37.2834	28.5387
Length    0, alignment  0/ 0:	3.92349	2.53807
Length    0, alignment  0/ 0:	3.92204	2.55638
Length    0, alignment  0/ 0:	3.92326	2.53807
Didn't expect signal from child: got `Aborted'
