                       	__strcpy_chk	normal_strcpy
Length    0, alignment  0/ 0:	3.90839	2.59636
Length    0, alignment  0/ 0:	3.90877	2.53807
Length    0, alignment  0/ 0:	3.90808	2.50031
Length    0, alignment  0/ 0:	3.90816	2.53822
Length    1, alignment  0/ 0:	3.90945	2.33955
Length    1, alignment  0/ 0:	3.90877	2.36923
Length    1, alignment  0/ 1:	3.90717	2.33955
Length    1, alignment  1/ 0:	3.90793	2.33925
Length    2, alignment  0/ 0:	3.90816	2.33932
Length    2, alignment  0/ 0:	3.90854	2.33963
Length    2, alignment  0/ 2:	3.93135	2.33887
Length    2, alignment  2/ 0:	3.90846	2.33879
Length    3, alignment  0/ 0:	3.65616	2.17834
Length    3, alignment  0/ 0:	3.65601	2.17735
Length    3, alignment  0/ 3:	3.65463	2.17789
Length    3, alignment  3/ 0:	3.65593	2.20047
Length    4, alignment  0/ 0:	3.65707	2.17865
Length    4, alignment  0/ 0:	3.65479	2.17651
Length    4, alignment  0/ 4:	3.65669	2.17827
Length    4, alignment  4/ 0:	3.65677	2.17819
Length    5, alignment  0/ 0:	3.65562	2.20146
Length    5, alignment  0/ 0:	3.65631	2.17827
Length    5, alignment  0/ 5:	3.65524	2.17804
Length    5, alignment  5/ 0:	3.66455	2.17796
Length    6, alignment  0/ 0:	3.65616	2.17812
Length    6, alignment  0/ 0:	3.65433	2.17735
Length    6, alignment  0/ 6:	3.68179	2.17766
Length    6, alignment  6/ 0:	3.66356	2.17712
Length    7, alignment  0/ 0:	3.4655	2.17728
Length    7, alignment  0/ 0:	3.46535	2.17743
Length    7, alignment  0/ 7:	3.46527	2.17842
Length    7, alignment  7/ 0:	3.48419	2.17651
Length    8, alignment  0/ 0:	3.46649	2.13219
Length    8, alignment  0/ 0:	3.4668	2.13203
Length    8, alignment  0/ 0:	3.46664	2.13249
Length    8, alignment  0/ 0:	3.46695	2.13356
Length    9, alignment  0/ 0:	3.46703	2.16248
Length    9, alignment  0/ 0:	3.46626	2.13303
Length    9, alignment  0/ 1:	3.46703	2.13303
Length    9, alignment  1/ 0:	3.46573	2.13264
Length   10, alignment  0/ 0:	3.46611	2.13295
Length   10, alignment  0/ 0:	3.46725	2.13333
Length   10, alignment  0/ 2:	3.4848	2.13211
Length   10, alignment  2/ 0:	3.46596	2.13226
Length   11, alignment  0/ 0:	3.46695	2.13318
Length   11, alignment  0/ 0:	3.46664	2.13272
Length   11, alignment  0/ 3:	3.46588	2.13066
Length   11, alignment  3/ 0:	3.46764	2.16728
Length   12, alignment  0/ 0:	3.46619	2.13242
Length   12, alignment  0/ 0:	3.46634	2.13158
Length   12, alignment  0/ 4:	3.46657	2.13257
Length   12, alignment  4/ 0:	3.88458	2.53723
Length   13, alignment  0/ 0:	3.46756	2.13135
Length   13, alignment  0/ 0:	3.52005	2.13165
Length   13, alignment  0/ 5:	3.46718	2.13158
Length   13, alignment  5/ 0:	3.88519	2.53693
Length   14, alignment  0/ 0:	3.46626	2.13112
Length   14, alignment  0/ 0:	3.46741	2.1312
Length   14, alignment  0/ 6:	3.49838	2.13295
Length   14, alignment  6/ 0:	3.88336	2.53708
Length   15, alignment  0/ 0:	3.37242	2.13348
Length   15, alignment  0/ 0:	3.37189	2.13295
Length   15, alignment  0/ 7:	3.37364	2.13264
Length   15, alignment  7/ 0:	3.66982	2.55791
Length   16, alignment  0/ 0:	3.66997	2.42348
Length   16, alignment  7/ 2:	3.66913	2.42241
Length   32, alignment  0/ 0:	4.56863	3.22968
Length   32, alignment  6/ 4:	4.60091	3.26599
Length   64, alignment  0/ 0:	5.47455	3.89328
Length   64, alignment  5/ 6:	5.49339	3.89206
Length  128, alignment  0/ 0:	6.80725	5.83992
Length  128, alignment  4/ 0:	6.82671	5.81978
Length  256, alignment  0/ 0:	10.7436	10.2871
Length  256, alignment  3/ 2:	10.7326	10.2674
Length  512, alignment  0/ 0:	20.3761	16.3697
Length  512, alignment  2/ 4:	20.1967	16.3504
Length 1024, alignment  0/ 0:	37.5481	28.7905
Length 1024, alignment  1/ 6:	37.9285	29.2759
Length   16, alignment  1/ 2:	3.66737	2.42111
Length   16, alignment  2/ 1:	3.67088	2.42966
Length   16, alignment  1/ 1:	3.66898	2.42088
Length   16, alignment  1/ 1:	3.66913	2.42226
Length   32, alignment  2/ 4:	4.59991	3.26599
Length   32, alignment  4/ 2:	4.59885	3.26622
Length   32, alignment  2/ 2:	4.60754	3.26469
Length   32, alignment  2/ 2:	4.59801	3.20854
Length   64, alignment  3/ 6:	5.55946	3.89252
Length   64, alignment  6/ 3:	5.55969	3.90106
Length   64, alignment  3/ 3:	5.56053	3.89244
Length   64, alignment  3/ 3:	5.55908	3.89214
Length  128, alignment  4/ 0:	6.82518	6.14769
Length  128, alignment  0/ 4:	6.82808	5.81909
Length  128, alignment  4/ 4:	6.8148	5.82031
Length  128, alignment  4/ 4:	6.84898	5.81841
Length  256, alignment  5/ 2:	10.7478	10.283
Length  256, alignment  2/ 5:	10.7457	10.269
Length  256, alignment  5/ 5:	10.7658	10.2596
Length  256, alignment  5/ 5:	10.7537	10.2843
Length  512, alignment  6/ 4:	20.3098	16.3629
Length  512, alignment  4/ 6:	20.2675	16.3576
Length  512, alignment  6/ 6:	20.4541	16.8436
Length  512, alignment  6/ 6:	20.3809	16.2493
Length 1024, alignment  7/ 6:	38.2973	28.8232
Length 1024, alignment  6/ 7:	38.1107	28.5281
Length 1024, alignment  7/ 7:	37.5399	28.8126
Length 1024, alignment  7/ 7:	37.5832	28.8333
Length    0, alignment  0/ 0:	3.9238	2.53876
Length    0, alignment  0/ 0:	3.94775	2.53822
Length    0, alignment  0/ 0:	3.92403	2.53815
Length    0, alignment  0/ 0:	3.9222	2.53822
Length    1, alignment  0/ 0:	3.92288	2.34039
Length    1, alignment  0/ 0:	3.92326	2.33994
Length    1, alignment  0/ 1:	3.94547	2.33963
Length    1, alignment  1/ 0:	3.92288	2.33986
Length    2, alignment  0/ 0:	3.92311	2.33932
Length    2, alignment  0/ 0:	3.9225	2.33902
Length    2, alignment  0/ 2:	3.92365	2.33978
Length    2, alignment  2/ 0:	3.93311	2.33971
Length    3, alignment  0/ 0:	3.66219	2.1772
Length    3, alignment  0/ 0:	3.66249	2.17751
Length    3, alignment  0/ 3:	3.66219	2.17834
Length    3, alignment  3/ 0:	3.66257	2.17812
Length    4, alignment  0/ 0:	3.675	2.1769
Length    4, alignment  0/ 0:	3.66302	2.17834
Length    4, alignment  0/ 4:	3.66234	2.17712
Length    4, alignment  4/ 0:	3.66241	2.17758
Length    5, alignment  0/ 0:	3.66158	2.17766
Length    5, alignment  0/ 0:	3.67302	2.17705
Length    5, alignment  0/ 5:	3.6618	2.17796
Length    5, alignment  5/ 0:	3.67111	2.17819
Length    6, alignment  0/ 0:	3.66249	2.17766
Length    6, alignment  0/ 0:	3.66295	2.17667
Length    6, alignment  0/ 6:	3.66249	2.18597
Length    6, alignment  6/ 0:	3.67149	2.17766
Length    7, alignment  0/ 0:	3.47298	2.17804
Length    7, alignment  0/ 0:	3.47176	2.17796
Length    7, alignment  0/ 7:	3.4726	2.17827
Length    7, alignment  7/ 0:	3.47382	2.17735
Length    8, alignment  0/ 0:	3.48076	2.13264
Length    8, alignment  0/ 0:	3.47359	2.13264
