                            	generic_memccpy	memccpy
Length   16, n   16, char 12, alignment  1/ 1:	6.05877	4.95446
Length   16, n   16, char 23, alignment  1/ 1:	6.02968	4.95703
Length   16, n   16, char 28, alignment  1/ 2:	6.02941	4.94067
Length   16, n   16, char 31, alignment  2/ 1:	6.0475	4.91364
Length    2, n    4, char 1, alignment  7/ 2:	5.7842	4.685
Length    4, n    2, char 17, alignment  2/ 7:	6.57753	5.50801
Length    2, n    4, char 0, alignment  7/ 2:	5.7624	4.67756
Length    4, n    2, char 1, alignment  2/ 7:	6.84599	5.7577
Length   16, n   16, char 12, alignment  2/ 2:	6.3139	5.2202
Length   16, n   16, char 23, alignment  2/ 2:	6.30696	5.25909
Length   16, n   16, char 28, alignment  2/ 4:	6.32409	5.21142
Length   16, n   16, char 31, alignment  4/ 2:	6.3144	5.24238
Length    4, n    8, char 1, alignment  6/ 4:	6.05431	4.91942
Length    8, n    4, char 17, alignment  4/ 6:	5.75082	5.50545
Length    4, n    8, char 0, alignment  6/ 4:	6.02453	4.95442
Length    8, n    4, char 2, alignment  4/ 6:	6.0231	5.75875
Length   16, n   16, char 12, alignment  3/ 3:	6.2921	5.21491
Length   16, n   16, char 23, alignment  3/ 3:	6.29342	5.21535
Length   16, n   16, char 28, alignment  3/ 6:	6.29532	5.22813
Length   16, n   16, char 31, alignment  6/ 3:	6.31739	5.20904
Length    8, n   16, char 1, alignment  5/ 6:	6.02365	4.9428
Length   16, n    8, char 17, alignment  6/ 5:	6.03103	5.48159
Length    8, n   16, char 0, alignment  5/ 6:	6.02327	4.93485
Length   16, n    8, char 3, alignment  6/ 5:	6.02115	5.7446
Length   16, n   16, char 12, alignment  4/ 4:	6.28625	5.21631
Length   16, n   16, char 23, alignment  4/ 4:	6.28749	5.21667
Length   16, n   16, char 28, alignment  4/ 0:	6.28825	5.20986
Length   16, n   16, char 31, alignment  0/ 4:	6.29408	5.20969
Length   16, n   32, char 1, alignment  4/ 0:	6.29117	5.24372
Length   32, n   16, char 17, alignment  0/ 4:	6.02382	5.75141
Length   16, n   32, char 0, alignment  4/ 0:	6.32994	5.18495
Length   32, n   16, char 4, alignment  0/ 4:	6.07448	5.76625
Length   16, n   16, char 12, alignment  5/ 5:	6.28335	5.24413
Length   16, n   16, char 23, alignment  5/ 5:	6.28388	5.21142
Length   16, n   16, char 28, alignment  5/ 2:	6.28947	5.2078
Length   16, n   16, char 31, alignment  2/ 5:	6.28943	5.20801
Length   32, n   64, char 1, alignment  3/ 2:	6.02323	4.92337
Length   64, n   32, char 17, alignment  2/ 3:	5.75238	5.46004
Length   32, n   64, char 0, alignment  3/ 2:	6.03739	4.92291
Length   64, n   32, char 5, alignment  2/ 3:	5.7401	5.476
Length   16, n   16, char 12, alignment  6/ 6:	6.29027	5.20362
Length   16, n   16, char 23, alignment  6/ 6:	6.28262	5.20513
Length   16, n   16, char 28, alignment  6/ 4:	6.2975	5.20904
Length   16, n   16, char 31, alignment  4/ 6:	6.28874	5.21253
Length   64, n  128, char 1, alignment  2/ 4:	6.59742	5.46778
Length  128, n   64, char 17, alignment  4/ 2:	5.78315	5.46469
Length   64, n  128, char 0, alignment  2/ 4:	6.31734	5.48969
Length  128, n   64, char 6, alignment  4/ 2:	5.75564	5.47474
Length   16, n   16, char 12, alignment  7/ 7:	5.19678	5.22102
Length   16, n   16, char 23, alignment  7/ 7:	5.20925	5.18678
Length   16, n   16, char 28, alignment  7/ 6:	5.2041	5.20927
Length   16, n   16, char 31, alignment  6/ 7:	5.20795	5.18802
Length  128, n  256, char 1, alignment  1/ 6:	5.76348	5.75208
Length  256, n  128, char 17, alignment  6/ 1:	4.9615	5.75103
Length  128, n  256, char 0, alignment  1/ 6:	5.51027	5.74767
Length  256, n  128, char 7, alignment  6/ 1:	5.19664	5.7446
Length    8, n   16, char 1, alignment  0/ 0:	5.18117	5.2061
Length   32, n   16, char 1, alignment  0/ 0:	5.20624	6.02165
Length    8, n   16, char 1, alignment  7/ 2:	5.47621	5.47516
Length   32, n   16, char 1, alignment  7/ 2:	4.96054	5.75019
Length   16, n   32, char 2, alignment  0/ 0:	4.14269	5.46608
Length   64, n   32, char 2, alignment  0/ 0:	4.93651	5.4777
Length   16, n   32, char 2, alignment  6/ 4:	4.17511	5.49479
Length   64, n   32, char 2, alignment  6/ 4:	4.93514	5.46091
Length   32, n   64, char 3, alignment  0/ 0:	3.85599	5.21493
Length  128, n   64, char 3, alignment  0/ 0:	4.94582	5.48126
Length   32, n   64, char 3, alignment  5/ 6:	4.19276	5.2132
Length  128, n   64, char 3, alignment  5/ 6:	4.91616	5.47604
Length   64, n  128, char 4, alignment  0/ 0:	4.45478	5.47348
Length  256, n  128, char 4, alignment  0/ 0:	5.21285	5.74977
Length   64, n  128, char 4, alignment  4/ 0:	4.37184	5.47547
Length  256, n  128, char 4, alignment  4/ 0:	5.20521	5.7598
Length  128, n  256, char 5, alignment  0/ 0:	4.92884	6.02972
Length  512, n  256, char 5, alignment  0/ 0:	6.56171	7.39098
Length  128, n  256, char 5, alignment  3/ 2:	5.08513	6.02545
Length  512, n  256, char 5, alignment  3/ 2:	8.02032	7.38634
Length  256, n  512, char 6, alignment  0/ 0:	8.53061	7.12569
Length 1024, n  512, char 6, alignment  0/ 0:	9.77689	8.76743
Length  256, n  512, char 6, alignment  2/ 4:	8.60027	7.9305
Length 1024, n  512, char 6, alignment  2/ 4:	12.2006	10.7425
Length  512, n 1024, char 7, alignment  0/ 0:	10.1079	9.08658
Length 2048, n 1024, char 7, alignment  0/ 0:	16.3627	15.2718
Length  512, n 1024, char 7, alignment  1/ 6:	12.7118	11.7721
Length 2048, n 1024, char 7, alignment  1/ 6:	19.8027	18.004
