                       	strtok
Length   12/2, alignment  0/ 0, found:	12.188
Length   12/2, alignment  0/ 0, fail:	11.3672
Length   12/2, alignment  0/ 3, found:	11.9292
Length   12/2, alignment  0/ 3, fail:	11.6362
Length   12/2, alignment  0/ 9, found:	12.1831
Length   12/2, alignment  0/ 9, fail:	11.6357
Length   12/2, alignment  0/15, found:	12.7397
Length   12/2, alignment  0/15, fail:	11.9097
Length   12/2, alignment  3/ 0, found:	11.3823
Length   12/2, alignment  3/ 0, fail:	11.3672
Length   12/2, alignment  3/ 3, found:	11.9243
Length   12/2, alignment  3/ 3, fail:	11.9146
Length   12/2, alignment  3/ 9, found:	11.9243
Length   12/2, alignment  3/ 9, fail:	11.9141
Length   12/2, alignment  3/15, found:	11.9194
Length   12/2, alignment  3/15, fail:	11.9097
Length   12/2, alignment  9/ 0, found:	11.397
Length   12/2, alignment  9/ 0, fail:	12.7197
Length   12/2, alignment  9/ 3, found:	11.9287
Length   12/2, alignment  9/ 3, fail:	13.2524
Length   12/2, alignment  9/ 9, found:	14.8979
Length   12/2, alignment  9/ 9, fail:	13.2524
Length   12/2, alignment  9/15, found:	12.2026
Length   12/2, alignment  9/15, fail:	13.2617
Length   12/2, alignment 15/ 0, found:	12.7295
Length   12/2, alignment 15/ 0, fail:	13.272
Length   12/2, alignment 15/ 3, found:	13.2671
Length   12/2, alignment 15/ 3, fail:	13.2622
Length   12/2, alignment 15/ 9, found:	13.2671
Length   12/2, alignment 15/ 9, fail:	15.9722
Length   12/2, alignment 15/15, found:	13.291
Length   12/2, alignment 15/15, fail:	13.8184
Length   14/2, alignment  0/ 0, found:	12.1831
Length   14/2, alignment  0/ 0, fail:	11.3726
Length   14/2, alignment  0/ 3, found:	12.1831
Length   14/2, alignment  0/ 3, fail:	11.6455
Length   14/2, alignment  0/ 9, found:	11.9146
Length   14/2, alignment  0/ 9, fail:	11.6313
Length   14/2, alignment  0/15, found:	12.7446
Length   14/2, alignment  0/15, fail:	11.9092
Length   14/2, alignment  3/ 0, found:	11.3965
Length   14/2, alignment  3/ 0, fail:	12.7251
Length   14/2, alignment  3/ 3, found:	11.9341
Length   14/2, alignment  3/ 3, fail:	13.2622
Length   14/2, alignment  3/ 9, found:	11.9189
Length   14/2, alignment  3/ 9, fail:	13.2622
Length   14/2, alignment  3/15, found:	11.9487
Length   14/2, alignment  3/15, fail:	13.272
Length   14/2, alignment  9/ 0, found:	11.3823
Length   14/2, alignment  9/ 0, fail:	12.4512
Length   14/2, alignment  9/ 3, found:	12.188
Length   14/2, alignment  9/ 3, fail:	13.2622
Length   14/2, alignment  9/ 9, found:	12.1782
Length   14/2, alignment  9/ 9, fail:	13.2524
Length   14/2, alignment  9/15, found:	12.2168
Length   14/2, alignment  9/15, fail:	17.0317
Length   14/2, alignment 15/ 0, found:	12.7344
Length   14/2, alignment 15/ 0, fail:	13.2573
Length   14/2, alignment 15/ 3, found:	13.2769
Length   14/2, alignment 15/ 3, fail:	13.5356
Length   14/2, alignment 15/ 9, found:	13.2671
Length   14/2, alignment 15/ 9, fail:	13.252
Length   14/2, alignment 15/15, found:	13.2764
Length   14/2, alignment 15/15, fail:	13.8042
Length   16/2, alignment  0/ 0, found:	14.6245
Length   16/2, alignment  0/ 0, fail:	12.481
Length   16/2, alignment  0/ 3, found:	11.9292
Length   16/2, alignment  0/ 3, fail:	13.0181
Length   16/2, alignment  0/ 9, found:	11.9141
Length   16/2, alignment  0/ 9, fail:	12.9937
Length   16/2, alignment  0/15, found:	12.7642
Length   16/2, alignment  0/15, fail:	13.2769
Length   16/2, alignment  3/ 0, found:	11.6558
Length   16/2, alignment  3/ 0, fail:	12.7197
Length   16/2, alignment  3/ 3, found:	12.2124
Length   16/2, alignment  3/ 3, fail:	13.272
Length   16/2, alignment  3/ 9, found:	12.1929
Length   16/2, alignment  3/ 9, fail:	13.2622
Length   16/2, alignment  3/15, found:	12.4707
Length   16/2, alignment  3/15, fail:	13.5405
Length   16/2, alignment  9/ 0, found:	12.4614
Length   16/2, alignment  9/ 0, fail:	12.4517
Length   16/2, alignment  9/ 3, found:	13.272
Length   16/2, alignment  9/ 3, fail:	13.2617
Length   16/2, alignment  9/ 9, found:	13.2764
Length   16/2, alignment  9/ 9, fail:	13.2524
Length   16/2, alignment  9/15, found:	13.272
Length   16/2, alignment  9/15, fail:	13.2573
Length   16/2, alignment 15/ 0, found:	12.4517
Length   16/2, alignment 15/ 0, fail:	15.6938
Length   16/2, alignment 15/ 3, found:	13.2715
Length   16/2, alignment 15/ 3, fail:	13.54
Length   16/2, alignment 15/ 9, found:	13.272
Length   16/2, alignment 15/ 9, fail:	13.2524
Length   16/2, alignment 15/15, found:	13.2964
Length   16/2, alignment 15/15, fail:	13.8091
Length   18/2, alignment  0/ 0, found:	11.6748
Length   18/2, alignment  0/ 0, fail:	12.2021
Length   18/2, alignment  0/ 3, found:	16.0942
Length   18/2, alignment  0/ 3, fail:	13.0229
Length   18/2, alignment  0/ 9, found:	12.1831
Length   18/2, alignment  0/ 9, fail:	12.9888
Length   18/2, alignment  0/15, found:	12.7593
Length   18/2, alignment  0/15, fail:	13.5498
Length   18/2, alignment  3/ 0, found:	11.9243
Length   18/2, alignment  3/ 0, fail:	12.9985
Length   18/2, alignment  3/ 3, found:	12.2026
Length   18/2, alignment  3/ 3, fail:	13.2817
Length   18/2, alignment  3/ 9, found:	12.1826
Length   18/2, alignment  3/ 9, fail:	13.2573
Length   18/2, alignment  3/15, found:	12.7349
Length   18/2, alignment  3/15, fail:	13.8188
Length   18/2, alignment  9/ 0, found:	13.0083
Length   18/2, alignment  9/ 0, fail:	12.9888
Length   18/2, alignment  9/ 3, found:	13.2812
Length   18/2, alignment  9/ 3, fail:	13.2573
Length   18/2, alignment  9/ 9, found:	13.2769
Length   18/2, alignment  9/ 9, fail:	13.2524
Length   18/2, alignment  9/15, found:	13.814
Length   18/2, alignment  9/15, fail:	13.8042
Length   18/2, alignment 15/ 0, found:	13.0078
Length   18/2, alignment 15/ 0, fail:	13.2915
Length   18/2, alignment 15/ 3, found:	17.3003
Length   18/2, alignment 15/ 3, fail:	13.5601
Length   18/2, alignment 15/ 9, found:	13.2769
Length   18/2, alignment 15/ 9, fail:	13.2524
Length   18/2, alignment 15/15, found:	13.3013
Length   18/2, alignment 15/15, fail:	13.8384
Length   20/2, alignment  0/ 0, found:	11.9434
Length   20/2, alignment  0/ 0, fail:	12.4614
Length   20/2, alignment  0/ 3, found:	11.9487
Length   20/2, alignment  0/ 3, fail:	16.7144
Length   20/2, alignment  0/ 9, found:	11.9292
Length   20/2, alignment  0/ 9, fail:	12.9888
Length   20/2, alignment  0/15, found:	12.7637
Length   20/2, alignment  0/15, fail:	13.5405
Length   20/2, alignment  3/ 0, found:	11.9243
Length   20/2, alignment  3/ 0, fail:	13.0083
Length   20/2, alignment  3/ 3, found:	12.1929
Length   20/2, alignment  3/ 3, fail:	13.2666
Length   20/2, alignment  3/ 9, found:	12.1777
Length   20/2, alignment  3/ 9, fail:	13.2622
Length   20/2, alignment  3/15, found:	12.7446
Length   20/2, alignment  3/15, fail:	13.8091
Length   20/2, alignment  9/ 0, found:	13.0034
Length   20/2, alignment  9/ 0, fail:	12.9883
Length   20/2, alignment  9/ 3, found:	13.2866
Length   20/2, alignment  9/ 3, fail:	13.2622
Length   20/2, alignment  9/ 9, found:	13.272
Length   20/2, alignment  9/ 9, fail:	13.2573
Length   20/2, alignment  9/15, found:	13.814
Length   20/2, alignment  9/15, fail:	13.8042
Length   20/2, alignment 15/ 0, found:	13.0176
Length   20/2, alignment 15/ 0, fail:	13.2671
Length   20/2, alignment 15/ 3, found:	13.2915
Length   20/2, alignment 15/ 3, fail:	13.5405
Length   20/2, alignment 15/ 9, found:	17.0269
Length   20/2, alignment 15/ 9, fail:	13.5259
Length   20/2, alignment 15/15, found:	13.5601
Length   20/2, alignment 15/15, fail:	14.0923
Length   22/2, alignment  0/ 0, found:	11.9434
Length   22/2, alignment  0/ 0, fail:	12.4517
Length   22/2, alignment  0/ 3, found:	12.2026
Length   22/2, alignment  0/ 3, fail:	12.9888
Length   22/2, alignment  0/ 9, found:	11.9092
Length   22/2, alignment  0/ 9, fail:	23.2964
Length   22/2, alignment  0/15, found:	12.7642
Length   22/2, alignment  0/15, fail:	13.5356
Length   22/2, alignment  3/ 0, found:	12.9932
Length   22/2, alignment  3/ 0, fail:	12.9937
Length   22/2, alignment  3/ 3, found:	13.2817
Length   22/2, alignment  3/ 3, fail:	13.2622
Length   22/2, alignment  3/ 9, found:	13.2671
Length   22/2, alignment  3/ 9, fail:	13.2622
Length   22/2, alignment  3/15, found:	13.5449
Length   22/2, alignment  3/15, fail:	13.54
Length   22/2, alignment  9/ 0, found:	13.0034
Length   22/2, alignment  9/ 0, fail:	12.9937
Length   22/2, alignment  9/ 3, found:	13.272
Length   22/2, alignment  9/ 3, fail:	13.2622
Length   22/2, alignment  9/ 9, found:	13.2715
Length   22/2, alignment  9/ 9, fail:	13.252
Length   22/2, alignment  9/15, found:	13.5454
Length   22/2, alignment  9/15, fail:	13.5356
Length   22/2, alignment 15/ 0, found:	13.0132
Length   22/2, alignment 15/ 0, fail:	13.2769
Length   22/2, alignment 15/ 3, found:	13.2915
Length   22/2, alignment 15/ 3, fail:	13.54
Length   22/2, alignment 15/ 9, found:	13.272
Length   22/2, alignment 15/ 9, fail:	16.7827
Length   22/2, alignment 15/15, found:	13.5649
Length   22/2, alignment 15/15, fail:	14.1021
Length   24/2, alignment  0/ 0, found:	13.3013
Length   24/2, alignment  0/ 0, fail:	12.7251
Length   24/2, alignment  0/ 3, found:	13.0278
Length   24/2, alignment  0/ 3, fail:	13.0078
Length   24/2, alignment  0/ 9, found:	13.0083
Length   24/2, alignment  0/ 9, fail:	12.9888
Length   24/2, alignment  0/15, found:	16.7974
Length   24/2, alignment  0/15, fail:	13.2915
Length   24/2, alignment  3/ 0, found:	12.7642
Length   24/2, alignment  3/ 0, fail:	12.7349
Length   24/2, alignment  3/ 3, found:	13.2715
Length   24/2, alignment  3/ 3, fail:	13.272
Length   24/2, alignment  3/ 9, found:	13.2769
Length   24/2, alignment  3/ 9, fail:	13.2524
Length   24/2, alignment  3/15, found:	13.5454
Length   24/2, alignment  3/15, fail:	13.5454
Length   24/2, alignment  9/ 0, found:	13.2568
Length   24/2, alignment  9/ 0, fail:	13.0034
Length   24/2, alignment  9/ 3, found:	13.2866
Length   24/2, alignment  9/ 3, fail:	13.272
Length   24/2, alignment  9/ 9, found:	13.2769
Length   24/2, alignment  9/ 9, fail:	13.2573
Length   24/2, alignment  9/15, found:	13.5498
Length   24/2, alignment  9/15, fail:	13.5454
Length   24/2, alignment 15/ 0, found:	13.0181
Length   24/2, alignment 15/ 0, fail:	13.814
Length   24/2, alignment 15/ 3, found:	13.3159
Length   24/2, alignment 15/ 3, fail:	13.5356
Length   24/2, alignment 15/ 9, found:	13.2617
Length   24/2, alignment 15/ 9, fail:	13.2568
Length   24/2, alignment 15/15, found:	17.7056
Length   24/2, alignment 15/15, fail:	13.8188
Length   26/2, alignment  0/ 0, found:	13.2817
Length   26/2, alignment  0/ 0, fail:	12.7251
Length   26/2, alignment  0/ 3, found:	12.7495
Length   26/2, alignment  0/ 3, fail:	12.9985
Length   26/2, alignment  0/ 9, found:	12.998
Length   26/2, alignment  0/ 9, fail:	12.9883
Length   26/2, alignment  0/15, found:	13.5649
Length   26/2, alignment  0/15, fail:	13.2769
Length   26/2, alignment  3/ 0, found:	12.7495
Length   26/2, alignment  3/ 0, fail:	12.73
Length   26/2, alignment  3/ 3, found:	13.2769
Length   26/2, alignment  3/ 3, fail:	13.2764
Length   26/2, alignment  3/ 9, found:	13.2764
Length   26/2, alignment  3/ 9, fail:	13.2573
Length   26/2, alignment  3/15, found:	13.272
Length   26/2, alignment  3/15, fail:	13.272
Length   26/2, alignment  9/ 0, found:	12.7446
Length   26/2, alignment  9/ 0, fail:	12.7295
Length   26/2, alignment  9/ 3, found:	13.2715
Length   26/2, alignment  9/ 3, fail:	13.272
Length   26/2, alignment  9/ 9, found:	13.2769
Length   26/2, alignment  9/ 9, fail:	13.2524
Length   26/2, alignment  9/15, found:	13.2817
Length   26/2, alignment  9/15, fail:	13.2769
Length   26/2, alignment 15/ 0, found:	13.8623
Length   26/2, alignment 15/ 0, fail:	13.2769
Length   26/2, alignment 15/ 3, found:	14.3657
Length   26/2, alignment 15/ 3, fail:	13.2769
Length   26/2, alignment 15/ 9, found:	14.3608
Length   26/2, alignment 15/ 9, fail:	13.2573
Length   26/2, alignment 15/15, found:	14.3804
Length   26/2, alignment 15/15, fail:	13.814
Length   28/2, alignment  0/ 0, found:	13.2769
