                       	strsep
Length    8/2, alignment  0/ 0, found:	23.7653
Length    8/2, alignment  0/ 0, fail:	4.87561
Length    8/2, alignment  0/ 3, found:	22.1649
Length    8/2, alignment  0/ 3, fail:	4.60339
Length    8/2, alignment  0/ 9, found:	22.1649
Length    8/2, alignment  0/ 9, fail:	4.60095
Length    8/2, alignment  0/15, found:	22.0599
Length    8/2, alignment  0/15, fail:	5.41528
Length    8/2, alignment  3/ 0, found:	22.5934
Length    8/2, alignment  3/ 0, fail:	4.33484
Length    8/2, alignment  3/ 3, found:	22.8046
Length    8/2, alignment  3/ 3, fail:	4.60095
Length    8/2, alignment  3/ 9, found:	24.0547
Length    8/2, alignment  3/ 9, fail:	4.60217
Length    8/2, alignment  3/15, found:	22.0721
Length    8/2, alignment  3/15, fail:	4.87329
Length    8/2, alignment  9/ 0, found:	21.6205
Length    8/2, alignment  9/ 0, fail:	5.14294
Length    8/2, alignment  9/ 3, found:	24.8774
Length    8/2, alignment  9/ 3, fail:	5.41516
Length    8/2, alignment  9/ 9, found:	22.9742
Length    8/2, alignment  9/ 9, fail:	5.41272
Length    8/2, alignment  9/15, found:	23.7677
Length    8/2, alignment  9/15, fail:	5.68262
Length    8/2, alignment 15/ 0, found:	22.9718
Length    8/2, alignment 15/ 0, fail:	5.14294
Length    8/2, alignment 15/ 3, found:	18.4783
Length    8/2, alignment 15/ 3, fail:	5.41272
Length    8/2, alignment 15/ 9, found:	16.2212
Length    8/2, alignment 15/ 9, fail:	5.40662
Length    8/2, alignment 15/15, found:	16.1846
Length    8/2, alignment 15/15, fail:	5.68372
Length   10/2, alignment  0/ 0, found:	23.0781
Length   10/2, alignment  0/ 0, fail:	4.87317
Length   10/2, alignment  0/ 3, found:	21.8939
Length   10/2, alignment  0/ 3, fail:	4.87439
Length   10/2, alignment  0/ 9, found:	22.8645
Length   10/2, alignment  0/ 9, fail:	4.87073
Length   10/2, alignment  0/15, found:	21.3544
Length   10/2, alignment  0/15, fail:	5.41272
Length   10/2, alignment  3/ 0, found:	23.9766
Length   10/2, alignment  3/ 0, fail:	4.60339
Length   10/2, alignment  3/ 3, found:	24.1816
Length   10/2, alignment  3/ 3, fail:	4.60706
Length   10/2, alignment  3/ 9, found:	24.3574
Length   10/2, alignment  3/ 9, fail:	4.60095
Length   10/2, alignment  3/15, found:	22.9742
Length   10/2, alignment  3/15, fail:	5.14539
Length   10/2, alignment  9/ 0, found:	22.2969
Length   10/2, alignment  9/ 0, fail:	6.11707
Length   10/2, alignment  9/ 3, found:	22.9742
Length   10/2, alignment  9/ 3, fail:	5.41272
Length   10/2, alignment  9/ 9, found:	23.7665
Length   10/2, alignment  9/ 9, fail:	5.41162
Length   10/2, alignment  9/15, found:	22.9742
Length   10/2, alignment  9/15, fail:	5.68127
Length   10/2, alignment 15/ 0, found:	22.9744
Length   10/2, alignment 15/ 0, fail:	5.14172
Length   10/2, alignment 15/ 3, found:	17.0073
Length   10/2, alignment 15/ 3, fail:	5.41272
Length   10/2, alignment 15/ 9, found:	11.4323
Length   10/2, alignment 15/ 9, fail:	5.40784
Length   10/2, alignment 15/15, found:	17.0793
Length   10/2, alignment 15/15, fail:	5.68384
Length   12/2, alignment  0/ 0, found:	22.1466
Length   12/2, alignment  0/ 0, fail:	4.87195
Length   12/2, alignment  0/ 3, found:	21.8939
Length   12/2, alignment  0/ 3, fail:	4.87573
Length   12/2, alignment  0/ 9, found:	22.6923
Length   12/2, alignment  0/ 9, fail:	4.86951
Length   12/2, alignment  0/15, found:	21.3519
Length   12/2, alignment  0/15, fail:	6.39429
Length   12/2, alignment  3/ 0, found:	23.2452
Length   12/2, alignment  3/ 0, fail:	4.60461
Length   12/2, alignment  3/ 3, found:	24.593
Length   12/2, alignment  3/ 3, fail:	4.60583
Length   12/2, alignment  3/ 9, found:	24.8494
Length   12/2, alignment  3/ 9, fail:	4.6095
Length   12/2, alignment  3/15, found:	22.9694
Length   12/2, alignment  3/15, fail:	6.23669
Length   12/2, alignment  9/ 0, found:	24.5918
Length   12/2, alignment  9/ 0, fail:	5.14661
Length   12/2, alignment  9/ 3, found:	24.8677
Length   12/2, alignment  9/ 3, fail:	5.41028
Length   12/2, alignment  9/ 9, found:	25.1936
Length   12/2, alignment  9/ 9, fail:	5.40784
Length   12/2, alignment  9/15, found:	22.9744
Length   12/2, alignment  9/15, fail:	6.40637
Length   12/2, alignment 15/ 0, found:	23.1477
Length   12/2, alignment 15/ 0, fail:	5.13928
Length   12/2, alignment 15/ 3, found:	15.9453
Length   12/2, alignment 15/ 3, fail:	5.41394
Length   12/2, alignment 15/ 9, found:	15.9429
Length   12/2, alignment 15/ 9, fail:	5.41272
Length   12/2, alignment 15/15, found:	23.0098
Length   12/2, alignment 15/15, fail:	5.68005
Length   14/2, alignment  0/ 0, found:	24.3721
Length   14/2, alignment  0/ 0, fail:	4.87317
Length   14/2, alignment  0/ 3, found:	21.8927
Length   14/2, alignment  0/ 3, fail:	4.87073
Length   14/2, alignment  0/ 9, found:	21.8927
Length   14/2, alignment  0/ 9, fail:	4.86719
Length   14/2, alignment  0/15, found:	22.4323
Length   14/2, alignment  0/15, fail:	5.4115
Length   14/2, alignment  3/ 0, found:	22.298
Length   14/2, alignment  3/ 0, fail:	5.89124
Length   14/2, alignment  3/ 3, found:	24.8665
Length   14/2, alignment  3/ 3, fail:	5.4115
Length   14/2, alignment  3/ 9, found:	24.8665
Length   14/2, alignment  3/ 9, fail:	5.40906
Length   14/2, alignment  3/15, found:	23.9094
Length   14/2, alignment  3/15, fail:	5.68005
Length   14/2, alignment  9/ 0, found:	22.9731
Length   14/2, alignment  9/ 0, fail:	5.85217
Length   14/2, alignment  9/ 3, found:	23.2452
Length   14/2, alignment  9/ 3, fail:	5.4115
Length   14/2, alignment  9/ 9, found:	23.2416
Length   14/2, alignment  9/ 9, fail:	5.40796
Length   14/2, alignment  9/15, found:	24.5917
Length   14/2, alignment  9/15, fail:	5.67896
Length   14/2, alignment 15/ 0, found:	22.973
Length   14/2, alignment 15/ 0, fail:	5.13806
Length   14/2, alignment 15/ 3, found:	23.6567
Length   14/2, alignment 15/ 3, fail:	5.40662
Length   14/2, alignment 15/ 9, found:	22.9731
Length   14/2, alignment 15/ 9, fail:	5.40662
Length   14/2, alignment 15/15, found:	24.449
Length   14/2, alignment 15/15, fail:	5.68005
Length   12/3, alignment  0/ 0, found:	23.7849
Length   12/3, alignment  0/ 0, fail:	4.86951
Length   12/3, alignment  0/ 3, found:	23.1647
Length   12/3, alignment  0/ 3, fail:	4.86829
Length   12/3, alignment  0/ 9, found:	21.8928
Length   12/3, alignment  0/ 9, fail:	4.86951
Length   12/3, alignment  0/15, found:	21.3544
Length   12/3, alignment  0/15, fail:	6.36487
Length   12/3, alignment  3/ 0, found:	23.5151
Length   12/3, alignment  3/ 0, fail:	4.60217
Length   12/3, alignment  3/ 3, found:	25.0007
Length   12/3, alignment  3/ 3, fail:	4.87195
Length   12/3, alignment  3/ 9, found:	23.5078
Length   12/3, alignment  3/ 9, fail:	4.86951
Length   12/3, alignment  3/15, found:	24.4611
Length   12/3, alignment  3/15, fail:	5.14551
Length   12/3, alignment  9/ 0, found:	25.6172
Length   12/3, alignment  9/ 0, fail:	5.1405
Length   12/3, alignment  9/ 3, found:	24.4368
Length   12/3, alignment  9/ 3, fail:	5.4115
Length   12/3, alignment  9/ 9, found:	23.2477
Length   12/3, alignment  9/ 9, fail:	5.4104
Length   12/3, alignment  9/15, found:	24.4989
Length   12/3, alignment  9/15, fail:	5.6825
Length   12/3, alignment 15/ 0, found:	22.9755
Length   12/3, alignment 15/ 0, fail:	5.13806
Length   12/3, alignment 15/ 3, found:	19.3291
Length   12/3, alignment 15/ 3, fail:	5.4104
Length   12/3, alignment 15/ 9, found:	16.7046
Length   12/3, alignment 15/ 9, fail:	5.40784
Length   12/3, alignment 15/15, found:	16.502
Length   12/3, alignment 15/15, fail:	5.68005
Length   15/3, alignment  0/ 0, found:	23.2783
Length   15/3, alignment  0/ 0, fail:	4.86951
Length   15/3, alignment  0/ 3, found:	23.5321
Length   15/3, alignment  0/ 3, fail:	4.86963
Length   15/3, alignment  0/ 9, found:	24.4635
Length   15/3, alignment  0/ 9, fail:	4.86951
Length   15/3, alignment  0/15, found:	24.1888
Length   15/3, alignment  0/15, fail:	5.4115
Length   15/3, alignment  3/ 0, found:	23.2452
Length   15/3, alignment  3/ 0, fail:	6.36121
Length   15/3, alignment  3/ 3, found:	23.6945
Length   15/3, alignment  3/ 3, fail:	5.40906
Length   15/3, alignment  3/ 9, found:	24.8811
Length   15/3, alignment  3/ 9, fail:	5.41028
Length   15/3, alignment  3/15, found:	23.2465
Length   15/3, alignment  3/15, fail:	5.68372
Length   15/3, alignment  9/ 0, found:	22.9744
Length   15/3, alignment  9/ 0, fail:	5.92419
Length   15/3, alignment  9/ 3, found:	22.9731
Length   15/3, alignment  9/ 3, fail:	5.40784
Length   15/3, alignment  9/ 9, found:	23.6873
Length   15/3, alignment  9/ 9, fail:	5.40784
Length   15/3, alignment  9/15, found:	23.5248
Length   15/3, alignment  9/15, fail:	5.67773
Length   15/3, alignment 15/ 0, found:	22.9718
Length   15/3, alignment 15/ 0, fail:	5.13806
Length   15/3, alignment 15/ 3, found:	18.2012
Length   15/3, alignment 15/ 3, fail:	5.40784
Length   15/3, alignment 15/ 9, found:	16.7449
Length   15/3, alignment 15/ 9, fail:	6.25269
Length   15/3, alignment 15/15, found:	16.1283
Length   15/3, alignment 15/15, fail:	5.68018
Length   18/3, alignment  0/ 0, found:	23.2428
Length   18/3, alignment  0/ 0, fail:	5.68628
Length   18/3, alignment  0/ 3, found:	21.8939
Length   18/3, alignment  0/ 3, fail:	6.27698
Length   18/3, alignment  0/ 9, found:	21.8951
Length   18/3, alignment  0/ 9, fail:	5.6814
Length   18/3, alignment  0/15, found:	22.0392
Length   18/3, alignment  0/15, fail:	5.95471
Length   18/3, alignment  3/ 0, found:	21.6229
Length   18/3, alignment  3/ 0, fail:	5.40918
Length   18/3, alignment  3/ 3, found:	24.0472
Length   18/3, alignment  3/ 3, fail:	5.40674
Length   18/3, alignment  3/ 9, found:	24.9139
Length   18/3, alignment  3/ 9, fail:	5.4115
Length   18/3, alignment  3/15, found:	23.8165
Length   18/3, alignment  3/15, fail:	5.68018
Length   18/3, alignment  9/ 0, found:	22.9755
Length   18/3, alignment  9/ 0, fail:	5.13806
Length   18/3, alignment  9/ 3, found:	16.9596
Length   18/3, alignment  9/ 3, fail:	5.40784
Length   18/3, alignment  9/ 9, found:	17.4224
Length   18/3, alignment  9/ 9, fail:	5.40784
Length   18/3, alignment  9/15, found:	16.1272
Length   18/3, alignment  9/15, fail:	5.68005
Length   18/3, alignment 15/ 0, found:	23.7483
Length   18/3, alignment 15/ 0, fail:	6.22571
Length   18/3, alignment 15/ 3, found:	16.9596
Length   18/3, alignment 15/ 3, fail:	6.49304
Length   18/3, alignment 15/ 9, found:	16.9597
Length   18/3, alignment 15/ 9, fail:	6.49194
Length   18/3, alignment 15/15, found:	17.4578
Length   18/3, alignment 15/15, fail:	6.49548
Length   21/3, alignment  0/ 0, found:	22.149
Length   21/3, alignment  0/ 0, fail:	6.29663
Length   21/3, alignment  0/ 3, found:	21.8927
Length   21/3, alignment  0/ 3, fail:	5.4115
Length   21/3, alignment  0/ 9, found:	21.8928
Length   21/3, alignment  0/ 9, fail:	5.40662
Length   21/3, alignment  0/15, found:	22.027
Length   21/3, alignment  0/15, fail:	5.95349
Length   21/3, alignment  3/ 0, found:	21.6205
Length   21/3, alignment  3/ 0, fail:	5.14294
Length   21/3, alignment  3/ 3, found:	24.3342
Length   21/3, alignment  3/ 3, fail:	5.41272
Length   21/3, alignment  3/ 9, found:	24.2842
Length   21/3, alignment  3/ 9, fail:	5.40784
Length   21/3, alignment  3/15, found:	22.9755
Length   21/3, alignment  3/15, fail:	6.59204
Length   21/3, alignment  9/ 0, found:	22.9767
Length   21/3, alignment  9/ 0, fail:	5.16138
Length   21/3, alignment  9/ 3, found:	23.7396
Length   21/3, alignment  9/ 3, fail:	5.40906
Length   21/3, alignment  9/ 9, found:	22.9742
Length   21/3, alignment  9/ 9, fail:	5.40662
Length   21/3, alignment  9/15, found:	23.5249
Length   21/3, alignment  9/15, fail:	6.64563
Length   21/3, alignment 15/ 0, found:	23.2441
Length   21/3, alignment 15/ 0, fail:	6.22205
Length   21/3, alignment 15/ 3, found:	23.835
Length   21/3, alignment 15/ 3, fail:	6.49426
Length   21/3, alignment 15/ 9, found:	22.9731
Length   21/3, alignment 15/ 9, fail:	6.49182
Length   21/3, alignment 15/15, found:	23.5237
Length   21/3, alignment 15/15, fail:	7.18652
Length   16/4, alignment  0/ 0, found:	23.7836
Length   16/4, alignment  0/ 0, fail:	5.68127
Length   16/4, alignment  0/ 3, found:	23.587
Length   16/4, alignment  0/ 3, fail:	5.4115
Length   16/4, alignment  0/ 9, found:	21.8927
Length   16/4, alignment  0/ 9, fail:	5.40906
Length   16/4, alignment  0/15, found:	21.3507
Length   16/4, alignment  0/15, fail:	5.94983
Length   16/4, alignment  3/ 0, found:	24.2598
Length   16/4, alignment  3/ 0, fail:	5.13806
Length   16/4, alignment  3/ 3, found:	24.0046
Length   16/4, alignment  3/ 3, fail:	5.41028
Length   16/4, alignment  3/ 9, found:	23.708
Length   16/4, alignment  3/ 9, fail:	5.41028
Length   16/4, alignment  3/15, found:	23.2466
Length   16/4, alignment  3/15, fail:	5.67883
Length   16/4, alignment  9/ 0, found:	23.5359
Length   16/4, alignment  9/ 0, fail:	5.1405
Length   16/4, alignment  9/ 3, found:	16.9597
Length   16/4, alignment  9/ 3, fail:	6.04871
Length   16/4, alignment  9/ 9, found:	16.9609
Length   16/4, alignment  9/ 9, fail:	5.4104
Length   16/4, alignment  9/15, found:	16.1271
Length   16/4, alignment  9/15, fail:	5.67773
Length   16/4, alignment 15/ 0, found:	22.973
Length   16/4, alignment 15/ 0, fail:	5.13806
Length   16/4, alignment 15/ 3, found:	12.6969
Length   16/4, alignment 15/ 3, fail:	5.40796
Length   16/4, alignment 15/ 9, found:	16.7449
Length   16/4, alignment 15/ 9, fail:	5.40662
Length   16/4, alignment 15/15, found:	17.6824
Length   16/4, alignment 15/15, fail:	5.68005
Length   20/4, alignment  0/ 0, found:	21.8927
Length   20/4, alignment  0/ 0, fail:	5.40906
Length   20/4, alignment  0/ 3, found:	21.8927
Length   20/4, alignment  0/ 3, fail:	5.68005
Length   20/4, alignment  0/ 9, found:	22.6691
Length   20/4, alignment  0/ 9, fail:	5.40906
Length   20/4, alignment  0/15, found:	21.994
Length   20/4, alignment  0/15, fail:	5.94995
Length   20/4, alignment  3/ 0, found:	21.6217
Length   20/4, alignment  3/ 0, fail:	5.40784
Length   20/4, alignment  3/ 3, found:	24.0535
Length   20/4, alignment  3/ 3, fail:	5.40784
Length   20/4, alignment  3/ 9, found:	24.2756
Length   20/4, alignment  3/ 9, fail:	5.40906
Length   20/4, alignment  3/15, found:	23.6812
Length   20/4, alignment  3/15, fail:	5.67761
Length   20/4, alignment  9/ 0, found:	22.984
Length   20/4, alignment  9/ 0, fail:	5.13684
Length   20/4, alignment  9/ 3, found:	16.9609
Length   20/4, alignment  9/ 3, fail:	5.40784
Length   20/4, alignment  9/ 9, found:	16.9609
Length   20/4, alignment  9/ 9, fail:	5.995
Length   20/4, alignment  9/15, found:	24.0619
Length   20/4, alignment  9/15, fail:	5.68127
Length   20/4, alignment 15/ 0, found:	24.1534
Length   20/4, alignment 15/ 0, fail:	6.49316
Length   20/4, alignment 15/ 3, found:	22.9718
Length   20/4, alignment 15/ 3, fail:	6.49072
Length   20/4, alignment 15/ 9, found:	22.9718
Length   20/4, alignment 15/ 9, fail:	7.25488
Length   20/4, alignment 15/15, found:	23.5236
Length   20/4, alignment 15/15, fail:	6.49194
Length   24/4, alignment  0/ 0, found:	24.228
Length   24/4, alignment  0/ 0, fail:	5.68127
Length   24/4, alignment  0/ 3, found:	23.7043
Length   24/4, alignment  0/ 3, fail:	5.40906
Length   24/4, alignment  0/ 9, found:	23.7689
Length   24/4, alignment  0/ 9, fail:	6.25757
Length   24/4, alignment  0/15, found:	24.1902
Length   24/4, alignment  0/15, fail:	5.94983
Length   24/4, alignment  3/ 0, found:	22.9767
Length   24/4, alignment  3/ 0, fail:	5.48718
Length   24/4, alignment  3/ 3, found:	24.0558
Length   24/4, alignment  3/ 3, fail:	5.40674
Length   24/4, alignment  3/ 9, found:	23.5016
Length   24/4, alignment  3/ 9, fail:	6.33691
Length   24/4, alignment  3/15, found:	21.0858
Length   24/4, alignment  3/15, fail:	5.67761
Length   24/4, alignment  9/ 0, found:	18.0327
Length   24/4, alignment  9/ 0, fail:	6.49194
Length   24/4, alignment  9/ 3, found:	16.5886
Length   24/4, alignment  9/ 3, fail:	6.4906
Length   24/4, alignment  9/ 9, found:	16.9609
Length   24/4, alignment  9/ 9, fail:	6.49194
Length   24/4, alignment  9/15, found:	22.5958
Length   24/4, alignment  9/15, fail:	6.76294
Length   24/4, alignment 15/ 0, found:	17.1282
Length   24/4, alignment 15/ 0, fail:	6.49072
Length   24/4, alignment 15/ 3, found:	17.3137
Length   24/4, alignment 15/ 3, fail:	6.49304
Length   24/4, alignment 15/ 9, found:	16.7424
Length   24/4, alignment 15/ 9, fail:	6.48828
Length   24/4, alignment 15/15, found:	16.1271
Length   24/4, alignment 15/15, fail:	6.4906
Length   28/4, alignment  0/ 0, found:	23.0818
Length   28/4, alignment  0/ 0, fail:	5.68127
Length   28/4, alignment  0/ 3, found:	21.8927
Length   28/4, alignment  0/ 3, fail:	5.4115
Length   28/4, alignment  0/ 9, found:	22.5203
Length   28/4, alignment  0/ 9, fail:	5.4115
Length   28/4, alignment  0/15, found:	21.3531
Length   28/4, alignment  0/15, fail:	5.95105
Length   28/4, alignment  3/ 0, found:	23.7653
Length   28/4, alignment  3/ 0, fail:	5.1405
Length   28/4, alignment  3/ 3, found:	18.8275
Length   28/4, alignment  3/ 3, fail:	5.4115
Length   28/4, alignment  3/ 9, found:	18.6602
Length   28/4, alignment  3/ 9, fail:	5.47754
Length   28/4, alignment  3/15, found:	23.5236
Length   28/4, alignment  3/15, fail:	5.68018
Length   28/4, alignment  9/ 0, found:	22.973
Length   28/4, alignment  9/ 0, fail:	6.22217
Length   28/4, alignment  9/ 3, found:	14.705
Length   28/4, alignment  9/ 3, fail:	6.4895
Length   28/4, alignment  9/ 9, found:	16.9609
Length   28/4, alignment  9/ 9, fail:	5.94861
Length   28/4, alignment  9/15, found:	16.8108
Length   28/4, alignment  9/15, fail:	6.49438
Length   28/4, alignment 15/ 0, found:	22.9742
Length   28/4, alignment 15/ 0, fail:	5.67883
Length   28/4, alignment 15/ 3, found:	16.9609
Length   28/4, alignment 15/ 3, fail:	6.49194
Length   28/4, alignment 15/ 9, found:	16.7864
Length   28/4, alignment 15/ 9, fail:	5.94983
Length   28/4, alignment 15/15, found:	16.126
Length   28/4, alignment 15/15, fail:	6.21973
Length   20/5, alignment  0/ 0, found:	23.5077
Length   20/5, alignment  0/ 0, fail:	5.40796
Length   20/5, alignment  0/ 3, found:	21.8939
Length   20/5, alignment  0/ 3, fail:	5.41028
Length   20/5, alignment  0/ 9, found:	22.7997
Length   20/5, alignment  0/ 9, fail:	5.40796
Length   20/5, alignment  0/15, found:	21.3519
Length   20/5, alignment  0/15, fail:	5.94983
Length   20/5, alignment  3/ 0, found:	23.1635
Length   20/5, alignment  3/ 0, fail:	5.41272
Length   20/5, alignment  3/ 3, found:	22.9742
Length   20/5, alignment  3/ 3, fail:	5.41028
Length   20/5, alignment  3/ 9, found:	24.0546
Length   20/5, alignment  3/ 9, fail:	6.2002
Length   20/5, alignment  3/15, found:	23.2404
Length   20/5, alignment  3/15, fail:	5.68005
Length   20/5, alignment  9/ 0, found:	23.5822
Length   20/5, alignment  9/ 0, fail:	5.1405
Length   20/5, alignment  9/ 3, found:	22.9756
Length   20/5, alignment  9/ 3, fail:	5.40906
Length   20/5, alignment  9/ 9, found:	22.9718
Length   20/5, alignment  9/ 9, fail:	5.4104
Length   20/5, alignment  9/15, found:	24.4037
Length   20/5, alignment  9/15, fail:	5.68005
Length   20/5, alignment 15/ 0, found:	23.6322
Length   20/5, alignment 15/ 0, fail:	6.22339
Length   20/5, alignment 15/ 3, found:	16.9609
Length   20/5, alignment 15/ 3, fail:	6.49548
Length   20/5, alignment 15/ 9, found:	16.6924
Length   20/5, alignment 15/ 9, fail:	6.49194
Length   20/5, alignment 15/15, found:	17.3748
Length   20/5, alignment 15/15, fail:	6.49194
Length   25/5, alignment  0/ 0, found:	22.1478
Length   25/5, alignment  0/ 0, fail:	5.41028
Length   25/5, alignment  0/ 3, found:	22.4652
Length   25/5, alignment  0/ 3, fail:	5.40918
Length   25/5, alignment  0/ 9, found:	21.8939
Length   25/5, alignment  0/ 9, fail:	5.40784
Length   25/5, alignment  0/15, found:	21.3531
Length   25/5, alignment  0/15, fail:	5.95239
Length   25/5, alignment  3/ 0, found:	22.2992
Length   25/5, alignment  3/ 0, fail:	5.1405
Length   25/5, alignment  3/ 3, found:	24.4062
Length   25/5, alignment  3/ 3, fail:	5.41028
Length   25/5, alignment  3/ 9, found:	22.8914
Length   25/5, alignment  3/ 9, fail:	5.41028
Length   25/5, alignment  3/15, found:	23.5615
Length   25/5, alignment  3/15, fail:	5.6825
Length   25/5, alignment  9/ 0, found:	24.0413
Length   25/5, alignment  9/ 0, fail:	5.68127
Length   25/5, alignment  9/ 3, found:	16.9597
Length   25/5, alignment  9/ 3, fail:	7.12549
Length   25/5, alignment  9/ 9, found:	22.9718
Length   25/5, alignment  9/ 9, fail:	6.49194
Length   25/5, alignment  9/15, found:	17.2441
Length   25/5, alignment  9/15, fail:	6.48816
Length   25/5, alignment 15/ 0, found:	23.8801
Length   25/5, alignment 15/ 0, fail:	6.22083
Length   25/5, alignment 15/ 3, found:	16.9609
Length   25/5, alignment 15/ 3, fail:	6.48828
Length   25/5, alignment 15/ 9, found:	17.293
Length   25/5, alignment 15/ 9, fail:	6.48828
Length   25/5, alignment 15/15, found:	16.1271
Length   25/5, alignment 15/15, fail:	6.49194
Length   30/5, alignment  0/ 0, found:	23.2428
Length   30/5, alignment  0/ 0, fail:	5.67896
Length   30/5, alignment  0/ 3, found:	22.8815
Length   30/5, alignment  0/ 3, fail:	5.41028
Length   30/5, alignment  0/ 9, found:	22.5311
Length   30/5, alignment  0/ 9, fail:	5.41028
Length   30/5, alignment  0/15, found:	21.3544
Length   30/5, alignment  0/15, fail:	5.94995
Length   30/5, alignment  3/ 0, found:	22.9742
Length   30/5, alignment  3/ 0, fail:	5.68127
Length   30/5, alignment  3/ 3, found:	17.542
Length   30/5, alignment  3/ 3, fail:	6.49182
