                       	__stpcpy_chk	normal_stpcpy
Length    0, alignment  0/ 0:	4.67947	2.70317
Length    0, alignment  0/ 0:	4.97603	2.70302
Length    0, alignment  0/ 0:	4.97779	2.77916
Length    0, alignment  0/ 0:	4.9169	2.78069
Length    1, alignment  0/ 0:	4.9082	2.77084
Length    1, alignment  0/ 0:	4.92094	2.76276
Length    1, alignment  0/ 1:	4.95146	2.77588
Length    1, alignment  1/ 0:	4.97077	2.77451
Length    2, alignment  0/ 0:	4.95795	2.79092
Length    2, alignment  0/ 0:	4.9716	2.79664
Length    2, alignment  0/ 2:	4.95711	2.78412
Length    2, alignment  2/ 0:	4.96482	2.77847
Length    3, alignment  0/ 0:	4.98382	2.50396
Length    3, alignment  0/ 0:	4.99403	2.50153
Length    3, alignment  0/ 3:	4.97527	2.51427
Length    3, alignment  3/ 0:	4.97496	2.52593
Length    4, alignment  0/ 0:	4.99427	2.54211
Length    4, alignment  0/ 0:	4.99198	2.5357
Length    4, alignment  0/ 4:	4.97398	2.52029
Length    4, alignment  4/ 0:	5.00083	2.54844
Length    5, alignment  0/ 0:	4.96925	2.51373
Length    5, alignment  0/ 0:	4.97641	2.51312
Length    5, alignment  0/ 5:	4.97939	2.52968
Length    5, alignment  5/ 0:	4.97366	2.52312
Length    6, alignment  0/ 0:	4.97092	2.53104
Length    6, alignment  0/ 0:	4.96879	2.50983
Length    6, alignment  0/ 6:	4.9681	2.45155
Length    6, alignment  6/ 0:	5.07254	2.4517
Length    7, alignment  0/ 0:	4.77613	2.45177
Length    7, alignment  0/ 0:	4.77896	2.45155
Length    7, alignment  0/ 7:	4.78369	2.45139
Length    7, alignment  7/ 0:	4.78766	2.45124
Length    8, alignment  0/ 0:	4.81245	2.71927
Length    8, alignment  0/ 0:	4.73723	2.45498
Length    8, alignment  0/ 0:	4.79803	2.45162
Length    8, alignment  0/ 0:	4.75538	2.45155
Length    9, alignment  0/ 0:	4.69466	2.45124
Length    9, alignment  0/ 0:	4.70465	2.50884
Length    9, alignment  0/ 1:	4.7141	2.50984
Length    9, alignment  1/ 0:	4.70266	2.51006
Length   10, alignment  0/ 0:	4.74187	2.51731
Length   10, alignment  0/ 0:	4.69977	2.50632
Length   10, alignment  0/ 2:	4.62141	2.56386
Length   10, alignment  2/ 0:	4.62309	2.52273
Length   11, alignment  0/ 0:	4.69679	2.53364
Length   11, alignment  0/ 0:	4.69221	2.5167
Length   11, alignment  0/ 3:	4.69312	2.52945
Length   11, alignment  3/ 0:	4.70106	2.52159
Length   12, alignment  0/ 0:	4.69839	2.45162
Length   12, alignment  0/ 0:	4.74539	2.45155
Length   12, alignment  0/ 4:	4.77881	2.45315
Length   12, alignment  4/ 0:	4.79292	2.45155
Length   13, alignment  0/ 0:	4.77392	2.45155
Length   13, alignment  0/ 0:	4.7888	2.45132
Length   13, alignment  0/ 5:	4.76485	2.45246
Length   13, alignment  5/ 0:	4.79338	2.45147
Length   14, alignment  0/ 0:	4.7634	2.45139
Length   14, alignment  0/ 0:	4.68229	2.5087
Length   14, alignment  0/ 6:	4.68992	2.51105
Length   14, alignment  6/ 0:	4.71785	2.51586
Length   15, alignment  0/ 0:	4.9871	2.54142
Length   15, alignment  0/ 0:	4.97359	2.52433
Length   15, alignment  0/ 7:	4.98481	2.50983
Length   15, alignment  7/ 0:	4.98152	2.51656
Length   16, alignment  0/ 0:	4.97755	2.78023
Length   16, alignment  7/ 2:	4.98679	2.77832
Length   32, alignment  0/ 0:	4.96436	2.7739
Length   32, alignment  6/ 4:	4.96321	2.77527
Length   64, alignment  0/ 0:	5.04852	3.0407
Length   64, alignment  5/ 6:	5.16242	3.04299
Length  128, alignment  0/ 0:	6.9576	3.2567
Length  128, alignment  4/ 0:	7.06448	3.38046
Length  256, alignment  0/ 0:	10.643	4.93262
Length  256, alignment  3/ 2:	11.2388	5.05973
Length  512, alignment  0/ 0:	12.3321	8.4533
Length  512, alignment  2/ 4:	14.4613	8.54432
Length 1024, alignment  0/ 0:	19.4515	11.9841
Length 1024, alignment  1/ 6:	22.334	12.8189
Length   16, alignment  1/ 2:	5.50896	2.80007
Length   16, alignment  2/ 1:	5.50461	2.80602
Length   16, alignment  1/ 1:	5.49065	2.84973
Length   16, alignment  1/ 1:	5.51376	2.75833
Length   32, alignment  2/ 4:	5.81712	2.78221
Length   32, alignment  4/ 2:	5.83536	2.71942
Length   32, alignment  2/ 2:	5.82459	2.71935
Length   32, alignment  2/ 2:	5.87327	2.71919
Length   64, alignment  3/ 6:	5.58846	3.0697
Length   64, alignment  6/ 3:	5.50697	2.7874
Length   64, alignment  3/ 3:	5.50163	2.83493
Length   64, alignment  3/ 3:	5.47417	2.83401
Length  128, alignment  4/ 0:	7.15444	3.00561
Length  128, alignment  0/ 4:	6.79882	2.99477
Length  128, alignment  4/ 4:	7.14651	3.09724
Length  128, alignment  4/ 4:	7.35281	2.99119
Length  256, alignment  5/ 2:	11.5092	5.27313
Length  256, alignment  2/ 5:	11.6565	5.13793
Length  256, alignment  5/ 5:	11.3571	4.99259
Length  256, alignment  5/ 5:	11.2634	5.02883
Length  512, alignment  6/ 4:	13.4383	8.50587
Length  512, alignment  4/ 6:	13.9136	8.5402
Length  512, alignment  6/ 6:	13.1988	8.34832
Length  512, alignment  6/ 6:	13.3736	8.34069
Length 1024, alignment  7/ 6:	21.2881	13.1802
Length 1024, alignment  6/ 7:	22.3775	12.8888
Length 1024, alignment  7/ 7:	20.1045	12.1067
Length 1024, alignment  7/ 7:	20.2078	11.9435
Length    0, alignment  0/ 0:	5.58678	2.98814
Length    0, alignment  0/ 0:	5.56442	2.98775
Length    0, alignment  0/ 0:	5.56549	2.9876
Length    0, alignment  0/ 0:	5.5703	3.05421
Length    1, alignment  0/ 0:	5.23102	2.78847
Length    1, alignment  0/ 0:	5.2259	2.78092
Length    1, alignment  0/ 1:	5.2233	2.7829
Length    1, alignment  1/ 0:	5.22041	2.83829
Length    2, alignment  0/ 0:	5.16495	2.84508
Length    2, alignment  0/ 0:	5.2504	2.78297
Length    2, alignment  0/ 2:	5.24749	2.77512
Length    2, alignment  2/ 0:	5.23666	2.75917
Length    3, alignment  0/ 0:	5.23574	2.76192
Length    3, alignment  0/ 0:	5.29778	2.71721
Length    3, alignment  0/ 3:	5.29762	2.71942
Length    3, alignment  3/ 0:	5.32561	2.7195
Length    4, alignment  0/ 0:	5.30044	2.71942
Length    4, alignment  0/ 0:	5.33394	2.71919
Length    4, alignment  0/ 4:	5.32333	2.71919
Length    4, alignment  4/ 0:	5.35988	2.71927
Length    5, alignment  0/ 0:	5.33424	2.79228
Length    5, alignment  0/ 0:	5.24315	2.78946
Length    5, alignment  0/ 5:	5.23711	2.79412
Length    5, alignment  5/ 0:	5.2436	2.96494
Length    6, alignment  0/ 0:	5.2343	2.85347
Length    6, alignment  0/ 0:	5.16509	2.85836
Length    6, alignment  0/ 6:	5.25619	2.77969
Length    6, alignment  6/ 0:	5.2539	2.77329
Length    7, alignment  0/ 0:	5.26908	2.77878
Length    7, alignment  0/ 0:	5.26481	2.77634
Length    7, alignment  0/ 7:	5.33867	2.71965
Length    7, alignment  7/ 0:	5.33371	2.71919
Length    8, alignment  0/ 0:	5.34996	2.71935
Length    8, alignment  0/ 0:	5.29922	2.71988
Length    8, alignment  0/ 0:	5.33371	2.71912
Length    8, alignment  0/ 0:	5.33112	2.72263
Length    9, alignment  0/ 0:	5.30616	2.78626
Length    9, alignment  0/ 0:	5.23711	2.79617
Length    9, alignment  0/ 1:	5.24429	2.78625
Length    9, alignment  1/ 0:	5.24254	2.77451
Length   10, alignment  0/ 0:	5.23513	2.79152
Length   10, alignment  0/ 0:	5.16418	2.8399
Length   10, alignment  0/ 2:	5.16982	2.84187
Length   10, alignment  2/ 0:	5.25191	2.77504
Length   11, alignment  0/ 0:	5.25803	2.78442
Length   11, alignment  0/ 0:	5.26535	2.77618
Length   11, alignment  0/ 3:	5.26794	2.76947
Length   11, alignment  3/ 0:	5.32394	2.71919
Length   12, alignment  0/ 0:	5.30593	2.71957
Length   12, alignment  0/ 0:	5.34279	2.71919
Length   12, alignment  0/ 4:	5.29045	2.71935
Length   12, alignment  4/ 0:	5.35797	2.71919
Length   13, alignment  0/ 0:	5.29449	2.71942
Length   13, alignment  0/ 0:	5.2951	2.7977
Length   13, alignment  0/ 5:	5.23383	2.79755
Length   13, alignment  5/ 0:	5.24245	2.81006
Length   14, alignment  0/ 0:	5.23483	2.78915
Length   14, alignment  0/ 0:	5.26985	2.84882
Length   14, alignment  0/ 6:	5.16426	2.83699
Length   14, alignment  6/ 0:	5.16586	2.83799
Length   15, alignment  0/ 0:	5.51865	2.78138
Length   15, alignment  0/ 0:	5.50652	2.77634
Length   15, alignment  0/ 7:	5.58373	2.71935
Length   15, alignment  7/ 0:	5.57359	2.7195
Length   16, alignment  0/ 0:	5.57755	2.72003
Length   16, alignment  7/ 2:	5.59258	2.71919
Length   32, alignment  0/ 0:	5.87464	2.78039
Length   32, alignment  6/ 4:	5.7747	2.80221
Length   64, alignment  0/ 0:	5.50407	2.8505
Length   64, alignment  5/ 6:	5.49469	2.77626
Length  128, alignment  0/ 0:	6.86497	2.98814
Length  128, alignment  4/ 0:	7.42277	3.0517
Length  256, alignment  0/ 0:	10.7306	5.1049
Length  256, alignment  3/ 2:	11.3853	5.05637
Length  512, alignment  0/ 0:	12.2672	8.38601
Length  512, alignment  2/ 4:	14.0166	8.58064
Length 1024, alignment  0/ 0:	19.5207	11.9715
Length 1024, alignment  1/ 6:	22.0505	13.0764
Length   16, alignment  1/ 2:	5.31387	2.71904
Length   16, alignment  2/ 1:	5.35629	2.71935
Length   16, alignment  1/ 1:	5.32501	2.71912
Length   16, alignment  1/ 1:	5.28831	2.71957
Length   32, alignment  2/ 4:	5.55962	2.78634
Length   32, alignment  4/ 2:	5.52078	2.78358
Length   32, alignment  2/ 2:	5.50812	2.83653
Length   32, alignment  2/ 2:	5.43442	2.82784
Length   64, alignment  3/ 6:	5.26489	2.77519
Length   64, alignment  6/ 3:	5.31754	2.7774
Length   64, alignment  3/ 3:	5.29793	2.89284
Length   64, alignment  3/ 3:	5.3183	2.71797
Length  128, alignment  4/ 0:	7.11439	2.98837
Length  128, alignment  0/ 4:	6.86481	3.14462
Length  128, alignment  4/ 4:	7.14505	3.04727
Length  128, alignment  4/ 4:	7.10881	2.98791
Length  256, alignment  5/ 2:	11.789	5.01151
Length  256, alignment  2/ 5:	11.364	5.1358
Length  256, alignment  5/ 5:	11.3897	5.08811
Length  256, alignment  5/ 5:	11.4977	5.09361
Length  512, alignment  6/ 4:	13.6761	8.50365
Length  512, alignment  4/ 6:	14.3568	8.69859
Length  512, alignment  6/ 6:	14.1663	8.37876
Length  512, alignment  6/ 6:	13.5215	8.29552
Length 1024, alignment  7/ 6:	21.141	12.9903
Length 1024, alignment  6/ 7:	22.2329	12.8554
Length 1024, alignment  7/ 7:	20.1372	12.1405
Length 1024, alignment  7/ 7:	20.263	12.0819
Length    0, alignment  0/ 0:	5.50782	3.06382
Length    0, alignment  0/ 0:	4.97229	3.06435
Length    0, alignment  0/ 0:	5.22086	3.10938
Didn't expect signal from child: got `Aborted'
