                       	__strcpy_chk	normal_strcpy
Length    4, alignment  0/ 0:	4.0984	2.75162
Length    4, alignment  0/ 4:	4.09954	2.75246
Length    4, alignment  4/ 0:	4.0543	2.80853
Length    5, alignment  0/ 0:	4.05422	2.82121
Length    5, alignment  0/ 0:	4.0543	2.74734
Length    5, alignment  0/ 5:	4.10732	2.75506
Length    5, alignment  5/ 0:	4.10572	2.70279
Length    6, alignment  0/ 0:	4.18003	2.70279
Length    6, alignment  0/ 0:	4.23336	2.70287
Length    6, alignment  0/ 6:	4.16661	2.70279
Length    6, alignment  6/ 0:	4.14837	2.70271
Length    7, alignment  0/ 0:	3.83228	2.77611
Length    7, alignment  0/ 0:	3.78398	2.76695
Length    7, alignment  0/ 7:	3.78413	2.74536
Length    7, alignment  7/ 0:	3.82885	2.70279
Length    8, alignment  0/ 0:	3.87996	2.70309
Length    8, alignment  0/ 0:	3.89866	2.70309
Length    8, alignment  0/ 0:	3.8528	2.70279
Length    8, alignment  0/ 0:	3.82831	2.75558
Length    9, alignment  0/ 0:	3.78398	2.79892
Length    9, alignment  0/ 0:	3.78398	2.7951
Length    9, alignment  0/ 1:	3.78398	2.74574
Length    9, alignment  1/ 0:	3.83975	2.70279
Length   10, alignment  0/ 0:	3.87584	2.70287
Length   10, alignment  0/ 0:	3.86372	2.70287
Length   10, alignment  0/ 2:	3.82564	2.75131
Length   10, alignment  2/ 0:	3.82503	2.75467
Length   11, alignment  0/ 0:	3.78421	2.77702
Length   11, alignment  0/ 0:	3.78406	2.75597
Length   11, alignment  0/ 3:	3.86082	2.70287
Length   11, alignment  3/ 0:	3.87561	2.70279
Length   12, alignment  0/ 0:	3.87119	2.70279
Length   12, alignment  0/ 0:	3.87241	2.70287
Length   12, alignment  0/ 4:	3.82823	2.76146
Length   12, alignment  4/ 0:	3.78398	2.80358
Length   13, alignment  0/ 0:	3.78398	2.80174
Length   13, alignment  0/ 0:	3.78391	2.76498
Length   13, alignment  0/ 5:	3.82091	2.70287
Length   13, alignment  5/ 0:	3.87866	2.70279
Length   14, alignment  0/ 0:	3.88508	2.70279
Length   14, alignment  0/ 0:	3.8222	2.7594
Length   14, alignment  0/ 6:	3.82297	2.7633
Length   14, alignment  6/ 0:	3.78391	2.78786
Length   15, alignment  0/ 0:	4.0543	2.74315
Length   15, alignment  0/ 0:	4.10694	2.74391
Length   15, alignment  0/ 7:	4.12724	2.70279
Length   15, alignment  7/ 0:	4.13105	2.71072
Length   16, alignment  0/ 0:	4.166	2.43476
Length   16, alignment  7/ 2:	4.14768	2.43278
Length   32, alignment  0/ 0:	4.36483	2.48397
Length   32, alignment  6/ 4:	4.36642	2.49213
Length   64, alignment  0/ 0:	4.05666	2.8193
Length   64, alignment  5/ 6:	4.32614	2.82173
Length  128, alignment  0/ 0:	5.95323	3.30293
Length  128, alignment  4/ 0:	6.36797	3.24335
Length  256, alignment  0/ 0:	8.97456	4.85999
Length  256, alignment  3/ 2:	9.71669	5.08346
Length  512, alignment  0/ 0:	9.75896	6.58115
Length  512, alignment  2/ 4:	10.918	7.2402
Length 1024, alignment  0/ 0:	16.5965	10.274
Length 1024, alignment  1/ 6:	18.9828	11.8145
Length   16, alignment  1/ 2:	4.12441	2.47855
Length   16, alignment  2/ 1:	4.10564	2.49702
Length   16, alignment  1/ 1:	4.05422	2.51785
Length   16, alignment  1/ 1:	4.0543	2.47146
Length   32, alignment  2/ 4:	4.37878	2.43293
Length   32, alignment  4/ 2:	4.42517	2.43278
Length   32, alignment  2/ 2:	4.43532	2.43262
Length   32, alignment  2/ 2:	4.42479	2.43278
Length   64, alignment  3/ 6:	4.57983	2.70668
Length   64, alignment  6/ 3:	4.33057	2.70287
Length   64, alignment  3/ 3:	4.34483	2.73796
Length   64, alignment  3/ 3:	4.24191	2.77252
Length  128, alignment  4/ 0:	6.50233	3.2438
Length  128, alignment  0/ 4:	5.97726	3.24335
Length  128, alignment  4/ 4:	6.82415	3.40678
Length  128, alignment  4/ 4:	6.35348	3.30935
Length  256, alignment  5/ 2:	9.91055	5.0917
Length  256, alignment  2/ 5:	9.80665	5.1879
Length  256, alignment  5/ 5:	9.73546	4.85297
Length  256, alignment  5/ 5:	9.63734	4.93155
Length  512, alignment  6/ 4:	11.1942	7.23943
Length  512, alignment  4/ 6:	10.7531	7.40485
Length  512, alignment  6/ 6:	10.474	6.59206
Length  512, alignment  6/ 6:	10.2403	6.59496
Length 1024, alignment  7/ 6:	17.511	12.0107
Length 1024, alignment  6/ 7:	19.0468	11.808
Length 1024, alignment  7/ 7:	17.5451	10.5038
Length 1024, alignment  7/ 7:	17.2657	10.4299
Length    0, alignment  0/ 0:	4.43334	2.43285
Length    0, alignment  0/ 0:	4.41731	2.43247
Length    0, alignment  0/ 0:	4.40672	2.43255
Didn't expect signal from child: got `Aborted'
