                       	__strcpy_chk	normal_strcpy
Length    0, alignment  0/ 0:	4.05506	2.26295
Length    0, alignment  0/ 0:	4.13273	2.16254
Length    0, alignment  0/ 0:	4.17767	2.16231
Length    0, alignment  0/ 0:	4.20589	2.16223
Length    1, alignment  0/ 0:	4.11908	2.49114
Length    1, alignment  0/ 0:	4.119	2.49176
Length    1, alignment  0/ 1:	4.05422	2.50396
Length    1, alignment  1/ 0:	4.0543	2.48916
Length    2, alignment  0/ 0:	4.10664	2.43255
Length    2, alignment  0/ 0:	4.18087	2.43247
Length    2, alignment  0/ 2:	4.17638	2.43255
Length    2, alignment  2/ 0:	4.21413	2.43255
Length    3, alignment  0/ 0:	4.1145	2.49412
Length    3, alignment  0/ 0:	4.05445	2.5402
Length    3, alignment  0/ 3:	4.05422	2.52937
Length    3, alignment  3/ 0:	4.0543	2.47253
Length    4, alignment  0/ 0:	4.11915	2.43247
Length    4, alignment  0/ 0:	4.1808	2.43247
Length    4, alignment  0/ 4:	4.14906	2.43255
Length    4, alignment  4/ 0:	4.16905	2.43255
Length    5, alignment  0/ 0:	4.09405	2.48016
Length    5, alignment  0/ 0:	4.05422	2.5441
Length    5, alignment  0/ 5:	4.05422	2.49587
Length    5, alignment  5/ 0:	4.09657	2.51183
Length    6, alignment  0/ 0:	4.16111	2.43255
Length    6, alignment  0/ 0:	4.15952	2.43255
Length    6, alignment  0/ 6:	4.15867	2.43255
Length    6, alignment  6/ 0:	4.11587	2.49771
Length    7, alignment  0/ 0:	3.78429	2.54585
Length    7, alignment  0/ 0:	3.78421	2.47298
Length    7, alignment  0/ 7:	3.84753	2.4327
Length    7, alignment  7/ 0:	3.89445	2.43247
Length    8, alignment  0/ 0:	3.89576	2.43324
Length    8, alignment  0/ 0:	3.83723	2.49168
Length    8, alignment  0/ 0:	3.78413	2.52892
Length    8, alignment  0/ 0:	3.78421	2.48931
Length    9, alignment  0/ 0:	3.84753	2.4327
Length    9, alignment  0/ 0:	3.8908	2.43247
Length    9, alignment  0/ 1:	3.89255	2.43255
Length    9, alignment  1/ 0:	3.8383	2.50503
Length   10, alignment  0/ 0:	3.78398	2.52128
Length   10, alignment  0/ 0:	3.84838	2.47459
Length   10, alignment  0/ 2:	3.85081	2.4327
Length   10, alignment  2/ 0:	3.88218	2.43247
Length   11, alignment  0/ 0:	3.89209	2.43255
Length   11, alignment  0/ 0:	3.82747	2.48581
Length   11, alignment  0/ 3:	3.78398	2.53997
Length   11, alignment  3/ 0:	3.78398	2.47237
Length   12, alignment  0/ 0:	3.84251	2.4327
Length   12, alignment  0/ 0:	3.89507	2.43247
Length   12, alignment  0/ 4:	3.88111	2.43255
Length   12, alignment  4/ 0:	3.8264	2.49931
Length   13, alignment  0/ 0:	3.85052	2.55096
Length   13, alignment  0/ 0:	3.78391	2.47604
Length   13, alignment  0/ 5:	3.86143	2.4327
Length   13, alignment  5/ 0:	3.88858	2.43606
Length   14, alignment  0/ 0:	3.89248	2.43247
Length   14, alignment  0/ 0:	3.82472	2.48893
Length   14, alignment  0/ 6:	3.78398	2.55066
Length   14, alignment  6/ 0:	3.78398	2.48199
Length   15, alignment  0/ 0:	4.12411	2.4327
Length   15, alignment  0/ 0:	4.13968	2.43247
Length   15, alignment  0/ 7:	4.15791	2.43255
Length   15, alignment  7/ 0:	4.12335	2.43255
Length   16, alignment  0/ 0:	4.09489	2.49679
Length   16, alignment  7/ 2:	4.0543	2.52426
Length   32, alignment  0/ 0:	4.05453	2.47512
Length   32, alignment  6/ 4:	4.12617	2.47337
Length   64, alignment  0/ 0:	4.11809	2.70287
Length   64, alignment  5/ 6:	4.33293	2.70317
Length  128, alignment  0/ 0:	5.8149	3.28577
Length  128, alignment  4/ 0:	6.17395	3.36398
Length  256, alignment  0/ 0:	9.05795	4.81856
Length  256, alignment  3/ 2:	9.93009	4.92369
Length  512, alignment  0/ 0:	9.95663	6.50142
Length  512, alignment  2/ 4:	10.9044	7.27384
Length 1024, alignment  0/ 0:	16.3878	10.36
Length 1024, alignment  1/ 6:	19.0459	11.9015
Length   16, alignment  1/ 2:	4.32454	2.47452
Length   16, alignment  2/ 1:	4.38908	2.43278
Length   16, alignment  1/ 1:	4.35437	2.43247
Length   16, alignment  1/ 1:	4.42342	2.43247
Length   32, alignment  2/ 4:	4.69762	2.51724
Length   32, alignment  4/ 2:	4.7109	2.43255
Length   32, alignment  2/ 2:	4.71198	2.43255
Length   32, alignment  2/ 2:	4.71227	2.43255
Length   64, alignment  3/ 6:	4.66138	2.70332
Length   64, alignment  6/ 3:	4.43883	2.75574
Length   64, alignment  3/ 3:	4.38603	2.78015
Length   64, alignment  3/ 3:	4.47813	2.76436
Length  128, alignment  4/ 0:	6.61472	3.32262
Length  128, alignment  0/ 4:	6.08568	3.24358
Length  128, alignment  4/ 4:	6.35776	3.33803
Length  128, alignment  4/ 4:	6.3055	3.29187
Length  256, alignment  5/ 2:	9.98808	5.0402
Length  256, alignment  2/ 5:	9.80695	5.22765
Length  256, alignment  5/ 5:	9.8892	4.93361
Length  256, alignment  5/ 5:	9.86669	4.87959
Length  512, alignment  6/ 4:	11.551	7.31359
Length  512, alignment  4/ 6:	11.0092	7.3245
Length  512, alignment  6/ 6:	10.463	6.70665
Length  512, alignment  6/ 6:	10.5374	6.6022
Length 1024, alignment  7/ 6:	17.3199	11.9886
Length 1024, alignment  6/ 7:	19.2059	11.7651
Length 1024, alignment  7/ 7:	17.3846	10.5054
Length 1024, alignment  7/ 7:	17.3956	10.4114
Length    0, alignment  0/ 0:	4.42266	2.43285
Length    0, alignment  0/ 0:	4.42075	2.43278
Length    0, alignment  0/ 0:	4.40794	2.43255
Length    0, alignment  0/ 0:	4.42563	2.43255
Length    1, alignment  0/ 0:	4.37878	2.75651
Length    1, alignment  0/ 0:	4.36803	2.77138
Length    1, alignment  0/ 1:	4.36185	2.75025
Length    1, alignment  1/ 0:	4.32446	2.79579
Length    2, alignment  0/ 0:	4.32454	2.8119
Length    2, alignment  0/ 0:	4.32446	2.78259
Length    2, alignment  0/ 2:	4.32454	2.74704
Length    2, alignment  2/ 0:	4.38969	2.74933
Length    3, alignment  0/ 0:	4.11442	2.70287
Length    3, alignment  0/ 0:	4.14791	2.70317
Length    3, alignment  0/ 3:	4.15982	2.70287
Length    3, alignment  3/ 0:	4.174	2.70287
Length    4, alignment  0/ 0:	4.17325	2.70279
