[sonic-cpp] running official CMake benchmark (benchmark/main.cpp)
2026-09-08T11:02:06+08:00
Running /home/runner/boostkit-perf/sonic-cpp/1.0.2/x86_64/34181714311-2/build/benchmark/bench
Run on (384 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x192)
  L1 Instruction 32 KiB (x192)
  L2 Unified 1024 KiB (x192)
  L3 Unified 32768 KiB (x24)
Load Average: 0.63, 1.89, 1.86
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
poet/Decode_SIMDjson_stddev                             956 ns          955 ns            5 bytes_per_second=3.61257Mi/s testdata/poet.json
poet/Decode_SIMDjson_cv                                0.10 %          0.10 %             5 bytes_per_second=0.10% testdata/poet.json
poet/Decode_JsonCpp_mean                           75394836 ns     75093890 ns            5 bytes_per_second=44.6128Mi/s testdata/poet.json
poet/Decode_JsonCpp_median                         75376352 ns     75084112 ns            5 bytes_per_second=44.6186Mi/s testdata/poet.json
poet/Decode_JsonCpp_stddev                            90574 ns        92653 ns            5 bytes_per_second=56.3003Ki/s testdata/poet.json
poet/Decode_JsonCpp_cv                                 0.12 %          0.12 %             5 bytes_per_second=0.12% testdata/poet.json
otfcc/Decode_SonicDyn_mean                        107254368 ns    106753752 ns            5 bytes_per_second=593.264Mi/s testdata/otfcc.json
otfcc/Decode_SonicDyn_median                      107351651 ns    106835168 ns            5 bytes_per_second=592.809Mi/s testdata/otfcc.json
otfcc/Decode_SonicDyn_stddev                         248908 ns       247924 ns            5 bytes_per_second=1.38065Mi/s testdata/otfcc.json
otfcc/Decode_SonicDyn_cv                               0.23 %          0.23 %             5 bytes_per_second=0.23% testdata/otfcc.json
otfcc/Decode_Rapidjson_mean                       169940053 ns    169185095 ns            5 bytes_per_second=374.344Mi/s testdata/otfcc.json
otfcc/Decode_Rapidjson_median                     169524575 ns    168794221 ns            5 bytes_per_second=375.207Mi/s testdata/otfcc.json
otfcc/Decode_Rapidjson_stddev                        619438 ns       593059 ns            5 bytes_per_second=1.30973Mi/s testdata/otfcc.json
otfcc/Decode_Rapidjson_cv                              0.36 %          0.35 %             5 bytes_per_second=0.35% testdata/otfcc.json
otfcc/Decode_YYjson_mean                          163062816 ns    162329434 ns            5 bytes_per_second=390.15Mi/s testdata/otfcc.json
otfcc/Decode_YYjson_median                        163044398 ns    162311981 ns            5 bytes_per_second=390.192Mi/s testdata/otfcc.json
otfcc/Decode_YYjson_stddev                           124978 ns       127684 ns            5 bytes_per_second=314.218Ki/s testdata/otfcc.json
otfcc/Decode_YYjson_cv                                 0.08 %          0.08 %             5 bytes_per_second=0.08% testdata/otfcc.json
otfcc/Decode_SIMDjson_mean                         97025292 ns     96533019 ns            5 bytes_per_second=656.074Mi/s testdata/otfcc.json
otfcc/Decode_SIMDjson_median                       97031068 ns     96525778 ns            5 bytes_per_second=656.124Mi/s testdata/otfcc.json
otfcc/Decode_SIMDjson_stddev                          29689 ns        29690 ns            5 bytes_per_second=206.604Ki/s testdata/otfcc.json
otfcc/Decode_SIMDjson_cv                               0.03 %          0.03 %             5 bytes_per_second=0.03% testdata/otfcc.json
otfcc/Decode_JsonCpp_mean                        1.2254e+10 ns   1.2208e+10 ns            5 bytes_per_second=5.18902Mi/s testdata/otfcc.json
otfcc/Decode_JsonCpp_median                      1.2378e+10 ns   1.2331e+10 ns            5 bytes_per_second=5.13599Mi/s testdata/otfcc.json
otfcc/Decode_JsonCpp_stddev                       189554628 ns    188539418 ns            5 bytes_per_second=82.5227Ki/s testdata/otfcc.json
otfcc/Decode_JsonCpp_cv                                1.55 %          1.54 %             5 bytes_per_second=1.55% testdata/otfcc.json
citm_catalog/Decode_SonicDyn_mean                    601882 ns       599288 ns            5 bytes_per_second=2.68416Gi/s testdata/citm_catalog.json
citm_catalog/Decode_SonicDyn_median                  601542 ns       598945 ns            5 bytes_per_second=2.6857Gi/s testdata/citm_catalog.json
citm_catalog/Decode_SonicDyn_stddev                     752 ns          755 ns            5 bytes_per_second=3.4551Mi/s testdata/citm_catalog.json
citm_catalog/Decode_SonicDyn_cv                        0.12 %          0.13 %             5 bytes_per_second=0.13% testdata/citm_catalog.json
citm_catalog/Decode_Rapidjson_mean                  1589097 ns      1582353 ns            5 bytes_per_second=1.01658Gi/s testdata/citm_catalog.json
citm_catalog/Decode_Rapidjson_median                1589382 ns      1582715 ns            5 bytes_per_second=1.01635Gi/s testdata/citm_catalog.json
citm_catalog/Decode_Rapidjson_stddev                   4215 ns         4176 ns            5 bytes_per_second=2.7485Mi/s testdata/citm_catalog.json
citm_catalog/Decode_Rapidjson_cv                       0.27 %          0.26 %             5 bytes_per_second=0.26% testdata/citm_catalog.json
citm_catalog/Decode_YYjson_mean                     2037923 ns      2029545 ns            5 bytes_per_second=811.629Mi/s testdata/citm_catalog.json
citm_catalog/Decode_YYjson_median                   2032668 ns      2024087 ns            5 bytes_per_second=813.794Mi/s testdata/citm_catalog.json
citm_catalog/Decode_YYjson_stddev                     11752 ns        12275 ns            5 bytes_per_second=4.86927Mi/s testdata/citm_catalog.json
citm_catalog/Decode_YYjson_cv                          0.58 %          0.60 %             5 bytes_per_second=0.60% testdata/citm_catalog.json
citm_catalog/Decode_SIMDjson_mean                    580803 ns       578349 ns            5 bytes_per_second=2.78134Gi/s testdata/citm_catalog.json
citm_catalog/Decode_SIMDjson_median                  580815 ns       578379 ns            5 bytes_per_second=2.78119Gi/s testdata/citm_catalog.json
citm_catalog/Decode_SIMDjson_stddev                     176 ns          135 ns            5 bytes_per_second=681.295Ki/s testdata/citm_catalog.json
citm_catalog/Decode_SIMDjson_cv                        0.03 %          0.02 %             5 bytes_per_second=0.02% testdata/citm_catalog.json
citm_catalog/Decode_JsonCpp_mean                   62305982 ns     62063251 ns            5 bytes_per_second=26.5411Mi/s testdata/citm_catalog.json
citm_catalog/Decode_JsonCpp_median                 62211095 ns     61958427 ns            5 bytes_per_second=26.5854Mi/s testdata/citm_catalog.json
citm_catalog/Decode_JsonCpp_stddev                   324849 ns       323622 ns            5 bytes_per_second=141.521Ki/s testdata/citm_catalog.json
citm_catalog/Decode_JsonCpp_cv                         0.52 %          0.52 %             5 bytes_per_second=0.52% testdata/citm_catalog.json
fgo/Encode_SonicDyn_mean                           26321870 ns     26198374 ns            5 bytes_per_second=1.73354Gi/s testdata/fgo.json
fgo/Encode_SonicDyn_median                         26319496 ns     26195530 ns            5 bytes_per_second=1.73373Gi/s testdata/fgo.json
fgo/Encode_SonicDyn_stddev                            15096 ns        15315 ns            5 bytes_per_second=1.03723Mi/s testdata/fgo.json
fgo/Encode_SonicDyn_cv                                 0.06 %          0.06 %             5 bytes_per_second=0.06% testdata/fgo.json
fgo/Encode_Rapidjson_mean                          59101706 ns     58844946 ns            5 bytes_per_second=790.314Mi/s testdata/fgo.json
fgo/Encode_Rapidjson_median                        59109455 ns     58848495 ns            5 bytes_per_second=790.266Mi/s testdata/fgo.json
fgo/Encode_Rapidjson_stddev                           51985 ns        51016 ns            5 bytes_per_second=701.572Ki/s testdata/fgo.json
fgo/Encode_Rapidjson_cv                                0.09 %          0.09 %             5 bytes_per_second=0.09% testdata/fgo.json
fgo/Encode_YYjson_mean                             64328440 ns     64049275 ns            5 bytes_per_second=726.097Mi/s testdata/fgo.json
fgo/Encode_YYjson_median                           64315375 ns     64029624 ns            5 bytes_per_second=726.32Mi/s testdata/fgo.json
fgo/Encode_YYjson_stddev                              25090 ns        28354 ns            5 bytes_per_second=329.097Ki/s testdata/fgo.json
fgo/Encode_YYjson_cv                                   0.04 %          0.04 %             5 bytes_per_second=0.04% testdata/fgo.json
fgo/Encode_SIMDjson_mean                           75171675 ns     74807730 ns            5 bytes_per_second=621.699Mi/s testdata/fgo.json
fgo/Encode_SIMDjson_median                         75048876 ns     74691023 ns            5 bytes_per_second=622.645Mi/s testdata/fgo.json
fgo/Encode_SIMDjson_stddev                           546284 ns       540124 ns            5 bytes_per_second=4.46632Mi/s testdata/fgo.json
fgo/Encode_SIMDjson_cv                                 0.73 %          0.72 %             5 bytes_per_second=0.72% testdata/fgo.json
fgo/Encode_JsonCpp_mean                          2272203800 ns   2263344473 ns            5 bytes_per_second=20.5476Mi/s testdata/fgo.json
fgo/Encode_JsonCpp_median                        2268484809 ns   2259704013 ns            5 bytes_per_second=20.5806Mi/s testdata/fgo.json
fgo/Encode_JsonCpp_stddev                           6859826 ns      6845470 ns            5 bytes_per_second=63.4872Ki/s testdata/fgo.json
fgo/Encode_JsonCpp_cv                                  0.30 %          0.30 %             5 bytes_per_second=0.30% testdata/fgo.json
twitterescaped/Encode_SonicDyn_mean                  136198 ns       135603 ns            5 bytes_per_second=3.86262Gi/s testdata/twitterescaped.json
twitterescaped/Encode_SonicDyn_median                136199 ns       135597 ns            5 bytes_per_second=3.86278Gi/s testdata/twitterescaped.json
twitterescaped/Encode_SonicDyn_stddev                  34.0 ns         38.4 ns            5 bytes_per_second=1.11926Mi/s testdata/twitterescaped.json
twitterescaped/Encode_SonicDyn_cv                      0.02 %          0.03 %             5 bytes_per_second=0.03% testdata/twitterescaped.json
twitterescaped/Encode_Rapidjson_mean                 517388 ns       515038 ns            5 bytes_per_second=1.01698Gi/s testdata/twitterescaped.json
twitterescaped/Encode_Rapidjson_median               517501 ns       515059 ns            5 bytes_per_second=1.01694Gi/s testdata/twitterescaped.json
twitterescaped/Encode_Rapidjson_stddev                  191 ns         67.0 ns            5 bytes_per_second=138.749Ki/s testdata/twitterescaped.json
twitterescaped/Encode_Rapidjson_cv                     0.04 %          0.01 %             5 bytes_per_second=0.01% testdata/twitterescaped.json
twitterescaped/Encode_YYjson_mean                    423280 ns       421284 ns            5 bytes_per_second=1.2433Gi/s testdata/twitterescaped.json
twitterescaped/Encode_YYjson_median                  423138 ns       421152 ns            5 bytes_per_second=1.24369Gi/s testdata/twitterescaped.json
twitterescaped/Encode_YYjson_stddev                     489 ns          489 ns            5 bytes_per_second=1.47573Mi/s testdata/twitterescaped.json
twitterescaped/Encode_YYjson_cv                        0.12 %          0.12 %             5 bytes_per_second=0.12% testdata/twitterescaped.json
twitterescaped/Encode_SIMDjson_mean                  303228 ns       301777 ns            5 bytes_per_second=1.73577Gi/s testdata/twitterescaped.json
twitterescaped/Encode_SIMDjson_median                301632 ns       300181 ns            5 bytes_per_second=1.74489Gi/s testdata/twitterescaped.json
twitterescaped/Encode_SIMDjson_stddev                  2623 ns         2614 ns            5 bytes_per_second=15.3211Mi/s testdata/twitterescaped.json
twitterescaped/Encode_SIMDjson_cv                      0.87 %          0.87 %             5 bytes_per_second=0.86% testdata/twitterescaped.json
twitterescaped/Encode_JsonCpp_mean                 11845827 ns     11794039 ns            5 bytes_per_second=45.478Mi/s testdata/twitterescaped.json
twitterescaped/Encode_JsonCpp_median               11835631 ns     11783992 ns            5 bytes_per_second=45.5155Mi/s testdata/twitterescaped.json
twitterescaped/Encode_JsonCpp_stddev                  71747 ns        71538 ns            5 bytes_per_second=280.938Ki/s testdata/twitterescaped.json
twitterescaped/Encode_JsonCpp_cv                       0.61 %          0.61 %             5 bytes_per_second=0.60% testdata/twitterescaped.json
canada/Encode_SonicDyn_mean                         3762983 ns      3745588 ns            5 bytes_per_second=573.146Mi/s testdata/canada.json
canada/Encode_SonicDyn_median                       3762671 ns      3745240 ns            5 bytes_per_second=573.2Mi/s testdata/canada.json
canada/Encode_SonicDyn_stddev                          1195 ns         1034 ns            5 bytes_per_second=162.006Ki/s testdata/canada.json
canada/Encode_SonicDyn_cv                              0.03 %          0.03 %             5 bytes_per_second=0.03% testdata/canada.json
canada/Encode_Rapidjson_mean                        7386133 ns      7351805 ns            5 bytes_per_second=292.006Mi/s testdata/canada.json
canada/Encode_Rapidjson_median                      7384959 ns      7350680 ns            5 bytes_per_second=292.05Mi/s testdata/canada.json
canada/Encode_Rapidjson_stddev                         4513 ns         4336 ns            5 bytes_per_second=176.371Ki/s testdata/canada.json
canada/Encode_Rapidjson_cv                             0.06 %          0.06 %             5 bytes_per_second=0.06% testdata/canada.json
canada/Encode_YYjson_mean                           7208287 ns      7178880 ns            5 bytes_per_second=299.04Mi/s testdata/canada.json
canada/Encode_YYjson_median                         7208467 ns      7177840 ns            5 bytes_per_second=299.083Mi/s testdata/canada.json
canada/Encode_YYjson_stddev                            2585 ns         2402 ns            5 bytes_per_second=102.416Ki/s testdata/canada.json
canada/Encode_YYjson_cv                                0.04 %          0.03 %             5 bytes_per_second=0.03% testdata/canada.json
canada/Encode_SIMDjson_mean                         3448461 ns      3433629 ns            5 bytes_per_second=625.219Mi/s testdata/canada.json
canada/Encode_SIMDjson_median                       3445955 ns      3431196 ns            5 bytes_per_second=625.662Mi/s testdata/canada.json
canada/Encode_SIMDjson_stddev                          3599 ns         3566 ns            5 bytes_per_second=664.568Ki/s testdata/canada.json
canada/Encode_SIMDjson_cv                              0.10 %          0.10 %             5 bytes_per_second=0.10% testdata/canada.json
canada/Encode_JsonCpp_mean                        116932199 ns    116478599 ns            5 bytes_per_second=18.4358Mi/s testdata/canada.json
canada/Encode_JsonCpp_median                      118359800 ns    117897389 ns            5 bytes_per_second=18.2088Mi/s testdata/canada.json
canada/Encode_JsonCpp_stddev                        2192941 ns      2181127 ns            5 bytes_per_second=355.933Ki/s testdata/canada.json
canada/Encode_JsonCpp_cv                               1.88 %          1.87 %             5 bytes_per_second=1.89% testdata/canada.json
lottie/Encode_SonicDyn_mean                          464577 ns       462619 ns            5 bytes_per_second=595.619Mi/s testdata/lottie.json
lottie/Encode_SonicDyn_median                        464502 ns       462534 ns            5 bytes_per_second=595.727Mi/s testdata/lottie.json
lottie/Encode_SonicDyn_stddev                           302 ns          282 ns            5 bytes_per_second=372.167Ki/s testdata/lottie.json
lottie/Encode_SonicDyn_cv                              0.06 %          0.06 %             5 bytes_per_second=0.06% testdata/lottie.json
lottie/Encode_Rapidjson_mean                         730586 ns       727461 ns            5 bytes_per_second=378.775Mi/s testdata/lottie.json
lottie/Encode_Rapidjson_median                       730566 ns       727438 ns            5 bytes_per_second=378.787Mi/s testdata/lottie.json
lottie/Encode_Rapidjson_stddev                          405 ns          423 ns            5 bytes_per_second=225.79Ki/s testdata/lottie.json
lottie/Encode_Rapidjson_cv                             0.06 %          0.06 %             5 bytes_per_second=0.06% testdata/lottie.json
lottie/Encode_YYjson_mean                            915882 ns       911989 ns            5 bytes_per_second=302.136Mi/s testdata/lottie.json
lottie/Encode_YYjson_median                          915558 ns       911647 ns            5 bytes_per_second=302.249Mi/s testdata/lottie.json
lottie/Encode_YYjson_stddev                             904 ns          865 ns            5 bytes_per_second=293Ki/s testdata/lottie.json
lottie/Encode_YYjson_cv                                0.10 %          0.09 %             5 bytes_per_second=0.09% testdata/lottie.json
lottie/Encode_SIMDjson_mean                          635796 ns       633046 ns            5 bytes_per_second=435.268Mi/s testdata/lottie.json
lottie/Encode_SIMDjson_median                        635862 ns       633100 ns            5 bytes_per_second=435.23Mi/s testdata/lottie.json
lottie/Encode_SIMDjson_stddev                           505 ns          521 ns            5 bytes_per_second=366.693Ki/s testdata/lottie.json
lottie/Encode_SIMDjson_cv                              0.08 %          0.08 %             5 bytes_per_second=0.08% testdata/lottie.json
lottie/Encode_JsonCpp_mean                         27639783 ns     27530726 ns            5 bytes_per_second=10.0119Mi/s testdata/lottie.json
lottie/Encode_JsonCpp_median                       27964898 ns     27855495 ns            5 bytes_per_second=9.89191Mi/s testdata/lottie.json
lottie/Encode_JsonCpp_stddev                         562623 ns       559117 ns            5 bytes_per_second=209.518Ki/s testdata/lottie.json
lottie/Encode_JsonCpp_cv                               2.04 %          2.03 %             5 bytes_per_second=2.04% testdata/lottie.json
book/Encode_SonicDyn_mean                               341 ns          340 ns            5 bytes_per_second=1.00663Gi/s testdata/book.json
book/Encode_SonicDyn_median                             338 ns          337 ns            5 bytes_per_second=1.01439Gi/s testdata/book.json
book/Encode_SonicDyn_stddev                            5.95 ns         5.94 ns            5 bytes_per_second=17.6281Mi/s testdata/book.json
book/Encode_SonicDyn_cv                                1.75 %          1.75 %             5 bytes_per_second=1.71% testdata/book.json
book/Encode_Rapidjson_mean                              783 ns          780 ns            5 bytes_per_second=448.68Mi/s testdata/book.json
book/Encode_Rapidjson_median                            783 ns          780 ns            5 bytes_per_second=448.689Mi/s testdata/book.json
book/Encode_Rapidjson_stddev                          0.349 ns        0.381 ns            5 bytes_per_second=224.667Ki/s testdata/book.json
book/Encode_Rapidjson_cv                               0.04 %          0.05 %             5 bytes_per_second=0.05% testdata/book.json
book/Encode_YYjson_mean                                 701 ns          698 ns            5 bytes_per_second=501.455Mi/s testdata/book.json
book/Encode_YYjson_median                               700 ns          698 ns            5 bytes_per_second=501.585Mi/s testdata/book.json
book/Encode_YYjson_stddev                              1.00 ns         1.04 ns            5 bytes_per_second=762.334Ki/s testdata/book.json
book/Encode_YYjson_cv                                  0.14 %          0.15 %             5 bytes_per_second=0.15% testdata/book.json
book/Encode_SIMDjson_mean                               492 ns          491 ns            5 bytes_per_second=713.417Mi/s testdata/book.json
book/Encode_SIMDjson_median                             492 ns          491 ns            5 bytes_per_second=713.483Mi/s testdata/book.json
book/Encode_SIMDjson_stddev                            1.08 ns         1.06 ns            5 bytes_per_second=1.54718Mi/s testdata/book.json
book/Encode_SIMDjson_cv                                0.22 %          0.22 %             5 bytes_per_second=0.22% testdata/book.json
book/Encode_JsonCpp_mean                              34277 ns        34151 ns            5 bytes_per_second=10.2484Mi/s testdata/book.json
book/Encode_JsonCpp_median                            34296 ns        34170 ns            5 bytes_per_second=10.2427Mi/s testdata/book.json
book/Encode_JsonCpp_stddev                             58.5 ns         56.9 ns            5 bytes_per_second=17.5022Ki/s testdata/book.json
book/Encode_JsonCpp_cv                                 0.17 %          0.17 %             5 bytes_per_second=0.17% testdata/book.json
gsoc-2018/Encode_SonicDyn_mean                       419658 ns       417867 ns            5 bytes_per_second=7.41692Gi/s testdata/gsoc-2018.json
gsoc-2018/Encode_SonicDyn_median                     419773 ns       417998 ns            5 bytes_per_second=7.41458Gi/s testdata/gsoc-2018.json
gsoc-2018/Encode_SonicDyn_stddev                        316 ns          314 ns            5 bytes_per_second=5.70365Mi/s testdata/gsoc-2018.json
gsoc-2018/Encode_SonicDyn_cv                           0.08 %          0.08 %             5 bytes_per_second=0.08% testdata/gsoc-2018.json
gsoc-2018/Encode_Rapidjson_mean                     2472649 ns      2462135 ns            5 bytes_per_second=1.25878Gi/s testdata/gsoc-2018.json
gsoc-2018/Encode_Rapidjson_median                   2472567 ns      2462091 ns            5 bytes_per_second=1.2588Gi/s testdata/gsoc-2018.json
gsoc-2018/Encode_Rapidjson_stddev                       223 ns          189 ns            5 bytes_per_second=101.47Ki/s testdata/gsoc-2018.json
gsoc-2018/Encode_Rapidjson_cv                          0.01 %          0.01 %             5 bytes_per_second=0.01% testdata/gsoc-2018.json
gsoc-2018/Encode_YYjson_mean                        2172629 ns      2163296 ns            5 bytes_per_second=1.43267Gi/s testdata/gsoc-2018.json
gsoc-2018/Encode_YYjson_median                      2171763 ns      2162539 ns            5 bytes_per_second=1.43317Gi/s testdata/gsoc-2018.json
gsoc-2018/Encode_YYjson_stddev                         2330 ns         2133 ns            5 bytes_per_second=1.44483Mi/s testdata/gsoc-2018.json
gsoc-2018/Encode_YYjson_cv                             0.11 %          0.10 %             5 bytes_per_second=0.10% testdata/gsoc-2018.json
gsoc-2018/Encode_SIMDjson_mean                      2891633 ns      2879247 ns            5 bytes_per_second=1.07642Gi/s testdata/gsoc-2018.json
gsoc-2018/Encode_SIMDjson_median                    2891140 ns      2878687 ns            5 bytes_per_second=1.07663Gi/s testdata/gsoc-2018.json
gsoc-2018/Encode_SIMDjson_stddev                       1569 ns         1613 ns            5 bytes_per_second=631.74Ki/s testdata/gsoc-2018.json
gsoc-2018/Encode_SIMDjson_cv                           0.05 %          0.06 %             5 bytes_per_second=0.06% testdata/gsoc-2018.json
gsoc-2018/Encode_JsonCpp_mean                      34926970 ns     34789930 ns            5 bytes_per_second=91.2238Mi/s testdata/gsoc-2018.json
gsoc-2018/Encode_JsonCpp_median                    34914243 ns     34773987 ns            5 bytes_per_second=91.2655Mi/s testdata/gsoc-2018.json
gsoc-2018/Encode_JsonCpp_stddev                       35936 ns        36820 ns            5 bytes_per_second=98.8321Ki/s testdata/gsoc-2018.json
gsoc-2018/Encode_JsonCpp_cv                            0.10 %          0.11 %             5 bytes_per_second=0.11% testdata/gsoc-2018.json
twitter/Encode_SonicDyn_mean                          50525 ns        50320 ns            5 bytes_per_second=4.89318Gi/s testdata/twitter.json
twitter/Encode_SonicDyn_median                        50509 ns        50301 ns            5 bytes_per_second=4.89507Gi/s testdata/twitter.json
twitter/Encode_SonicDyn_stddev                         46.6 ns         46.6 ns            5 bytes_per_second=4.63353Mi/s testdata/twitter.json
twitter/Encode_SonicDyn_cv                             0.09 %          0.09 %             5 bytes_per_second=0.09% testdata/twitter.json
twitter/Encode_Rapidjson_mean                        216124 ns       215242 ns            5 bytes_per_second=1.14395Gi/s testdata/twitter.json
twitter/Encode_Rapidjson_median                      216151 ns       215240 ns            5 bytes_per_second=1.14396Gi/s testdata/twitter.json
twitter/Encode_Rapidjson_stddev                        94.2 ns         89.0 ns            5 bytes_per_second=495.864Ki/s testdata/twitter.json
twitter/Encode_Rapidjson_cv                            0.04 %          0.04 %             5 bytes_per_second=0.04% testdata/twitter.json
twitter/Encode_YYjson_mean                           146806 ns       146217 ns            5 bytes_per_second=1.68397Gi/s testdata/twitter.json
twitter/Encode_YYjson_median                         146726 ns       146135 ns            5 bytes_per_second=1.68492Gi/s testdata/twitter.json
twitter/Encode_YYjson_stddev                            206 ns          207 ns            5 bytes_per_second=2.43299Mi/s testdata/twitter.json
twitter/Encode_YYjson_cv                               0.14 %          0.14 %             5 bytes_per_second=0.14% testdata/twitter.json
twitter/Encode_SIMDjson_mean                         132519 ns       131969 ns            5 bytes_per_second=1.86579Gi/s testdata/twitter.json
twitter/Encode_SIMDjson_median                       132499 ns       131951 ns            5 bytes_per_second=1.86605Gi/s testdata/twitter.json
twitter/Encode_SIMDjson_stddev                          238 ns          236 ns            5 bytes_per_second=3.41019Mi/s testdata/twitter.json
twitter/Encode_SIMDjson_cv                             0.18 %          0.18 %             5 bytes_per_second=0.18% testdata/twitter.json
twitter/Encode_JsonCpp_mean                         4951058 ns      4931277 ns            5 bytes_per_second=51.1308Mi/s testdata/twitter.json
twitter/Encode_JsonCpp_median                       4952417 ns      4932959 ns            5 bytes_per_second=51.1124Mi/s testdata/twitter.json
twitter/Encode_JsonCpp_stddev                         23347 ns        23664 ns            5 bytes_per_second=251.1Ki/s testdata/twitter.json
twitter/Encode_JsonCpp_cv                              0.47 %          0.48 %             5 bytes_per_second=0.48% testdata/twitter.json
github_events/Encode_SonicDyn_mean                    12177 ns        12133 ns            5 bytes_per_second=4.99966Gi/s testdata/github_events.json
github_events/Encode_SonicDyn_median                  12177 ns        12132 ns            5 bytes_per_second=4.99998Gi/s testdata/github_events.json
github_events/Encode_SonicDyn_stddev                   9.03 ns         8.34 ns            5 bytes_per_second=3.51923Mi/s testdata/github_events.json
github_events/Encode_SonicDyn_cv                       0.07 %          0.07 %             5 bytes_per_second=0.07% testdata/github_events.json
github_events/Encode_Rapidjson_mean                   49088 ns        48908 ns            5 bytes_per_second=1.24028Gi/s testdata/github_events.json
github_events/Encode_Rapidjson_median                 49089 ns        48906 ns            5 bytes_per_second=1.24032Gi/s testdata/github_events.json
github_events/Encode_Rapidjson_stddev                  44.9 ns         45.2 ns            5 bytes_per_second=1.17527Mi/s testdata/github_events.json
github_events/Encode_Rapidjson_cv                      0.09 %          0.09 %             5 bytes_per_second=0.09% testdata/github_events.json
github_events/Encode_YYjson_mean                      29717 ns        29606 ns            5 bytes_per_second=2.04887Gi/s testdata/github_events.json
github_events/Encode_YYjson_median                    29719 ns        29609 ns            5 bytes_per_second=2.04863Gi/s testdata/github_events.json
github_events/Encode_YYjson_stddev                     6.48 ns         8.22 ns            5 bytes_per_second=596.919Ki/s testdata/github_events.json
github_events/Encode_YYjson_cv                         0.02 %          0.03 %             5 bytes_per_second=0.03% testdata/github_events.json
github_events/Encode_SIMDjson_mean                    32335 ns        32216 ns            5 bytes_per_second=1.88293Gi/s testdata/github_events.json
github_events/Encode_SIMDjson_median                  32345 ns        32225 ns            5 bytes_per_second=1.88238Gi/s testdata/github_events.json
github_events/Encode_SIMDjson_stddev                    111 ns          110 ns            5 bytes_per_second=6.58421Mi/s testdata/github_events.json
github_events/Encode_SIMDjson_cv                       0.34 %          0.34 %             5 bytes_per_second=0.34% testdata/github_events.json
github_events/Encode_JsonCpp_mean                   1038106 ns      1034005 ns            5 bytes_per_second=60.0722Mi/s testdata/github_events.json
github_events/Encode_JsonCpp_median                 1037341 ns      1033226 ns            5 bytes_per_second=60.1172Mi/s testdata/github_events.json
github_events/Encode_JsonCpp_stddev                    2320 ns         2261 ns            5 bytes_per_second=134.276Ki/s testdata/github_events.json
github_events/Encode_JsonCpp_cv                        0.22 %          0.22 %             5 bytes_per_second=0.22% testdata/github_events.json
poet/Encode_SonicDyn_mean                            483601 ns       481558 ns            5 bytes_per_second=6.79384Gi/s testdata/poet.json
poet/Encode_SonicDyn_median                          483620 ns       481576 ns            5 bytes_per_second=6.79358Gi/s testdata/poet.json
poet/Encode_SonicDyn_stddev                             161 ns          147 ns            5 bytes_per_second=2.12491Mi/s testdata/poet.json
poet/Encode_SonicDyn_cv                                0.03 %          0.03 %             5 bytes_per_second=0.03% testdata/poet.json
poet/Encode_Rapidjson_mean                          2350538 ns      2340537 ns            5 bytes_per_second=1.39781Gi/s testdata/poet.json
poet/Encode_Rapidjson_median                        2350386 ns      2340430 ns            5 bytes_per_second=1.39787Gi/s testdata/poet.json
poet/Encode_Rapidjson_stddev                            375 ns          251 ns            5 bytes_per_second=156.972Ki/s testdata/poet.json
poet/Encode_Rapidjson_cv                               0.02 %          0.01 %             5 bytes_per_second=0.01% testdata/poet.json
poet/Encode_YYjson_mean                             1058049 ns      1053549 ns            5 bytes_per_second=3.10534Gi/s testdata/poet.json
poet/Encode_YYjson_median                           1057992 ns      1053562 ns            5 bytes_per_second=3.1053Gi/s testdata/poet.json
poet/Encode_YYjson_stddev                              94.4 ns         70.8 ns            5 bytes_per_second=218.782Ki/s testdata/poet.json
poet/Encode_YYjson_cv                                  0.01 %          0.01 %             5 bytes_per_second=0.01% testdata/poet.json
poet/Encode_SIMDjson_mean                           1265683 ns      1260245 ns            5 bytes_per_second=2.59603Gi/s testdata/poet.json
poet/Encode_SIMDjson_median                         1266302 ns      1260887 ns            5 bytes_per_second=2.5947Gi/s testdata/poet.json
poet/Encode_SIMDjson_stddev                            2435 ns         2334 ns            5 bytes_per_second=4.92837Mi/s testdata/poet.json
poet/Encode_SIMDjson_cv                                0.19 %          0.19 %             5 bytes_per_second=0.19% testdata/poet.json
poet/Encode_JsonCpp_mean                           60879603 ns     60639926 ns            5 bytes_per_second=55.247Mi/s testdata/poet.json
poet/Encode_JsonCpp_median                         60951040 ns     60708226 ns            5 bytes_per_second=55.1844Mi/s testdata/poet.json
poet/Encode_JsonCpp_stddev                           190269 ns       189456 ns            5 bytes_per_second=177.235Ki/s testdata/poet.json
poet/Encode_JsonCpp_cv                                 0.31 %          0.31 %             5 bytes_per_second=0.31% testdata/poet.json
otfcc/Encode_SonicDyn_mean                         72550256 ns     72218779 ns            5 bytes_per_second=876.96Mi/s testdata/otfcc.json
otfcc/Encode_SonicDyn_median                       72499858 ns     72164810 ns            5 bytes_per_second=877.614Mi/s testdata/otfcc.json
