[sonic-cpp] running official CMake benchmark (benchmark/main.cpp)
2026-09-08T11:02:06+08:00
Running /home/runner/boostkit-perf/sonic-cpp/1.0.2/x86_64/34181714311-2/build/benchmark/bench
Run on (384 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x192)
  L1 Instruction 32 KiB (x192)
  L2 Unified 1024 KiB (x192)
  L3 Unified 32768 KiB (x24)
Load Average: 0.63, 1.89, 1.86
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
fgo/Decode_SIMDjson_mean                           54891285 ns     54606098 ns            5 bytes_per_second=851.663Mi/s testdata/fgo.json
fgo/Decode_SIMDjson_median                         54884218 ns     54603547 ns            5 bytes_per_second=851.702Mi/s testdata/fgo.json
fgo/Decode_SIMDjson_stddev                            42058 ns        29163 ns            5 bytes_per_second=465.676Ki/s testdata/fgo.json
fgo/Decode_SIMDjson_cv                                 0.08 %          0.05 %             5 bytes_per_second=0.05% testdata/fgo.json
fgo/Decode_JsonCpp_mean                          5805099946 ns   5782841398 ns            5 bytes_per_second=8.0517Mi/s testdata/fgo.json
fgo/Decode_JsonCpp_median                        5661027817 ns   5639604084 ns            5 bytes_per_second=8.24632Mi/s testdata/fgo.json
fgo/Decode_JsonCpp_stddev                         226857788 ns    225766986 ns            5 bytes_per_second=316.139Ki/s testdata/fgo.json
fgo/Decode_JsonCpp_cv                                  3.91 %          3.90 %             5 bytes_per_second=3.83% testdata/fgo.json
twitterescaped/Decode_SonicDyn_mean                  265150 ns       264026 ns            5 bytes_per_second=1.98383Gi/s testdata/twitterescaped.json
twitterescaped/Decode_SonicDyn_median                265140 ns       263999 ns            5 bytes_per_second=1.98404Gi/s testdata/twitterescaped.json
twitterescaped/Decode_SonicDyn_stddev                  62.6 ns         49.8 ns            5 bytes_per_second=392.005Ki/s testdata/twitterescaped.json
twitterescaped/Decode_SonicDyn_cv                      0.02 %          0.02 %             5 bytes_per_second=0.02% testdata/twitterescaped.json
twitterescaped/Decode_Rapidjson_mean                 898256 ns       894262 ns            5 bytes_per_second=599.795Mi/s testdata/twitterescaped.json
twitterescaped/Decode_Rapidjson_median               902112 ns       897982 ns            5 bytes_per_second=597.288Mi/s testdata/twitterescaped.json
twitterescaped/Decode_Rapidjson_stddev                 6252 ns         6107 ns            5 bytes_per_second=4.10677Mi/s testdata/twitterescaped.json
twitterescaped/Decode_Rapidjson_cv                     0.70 %          0.68 %             5 bytes_per_second=0.68% testdata/twitterescaped.json
twitterescaped/Decode_YYjson_mean                   1003086 ns       998424 ns            5 bytes_per_second=537.201Mi/s testdata/twitterescaped.json
twitterescaped/Decode_YYjson_median                 1002943 ns       998293 ns            5 bytes_per_second=537.271Mi/s testdata/twitterescaped.json
twitterescaped/Decode_YYjson_stddev                     350 ns          309 ns            5 bytes_per_second=170.231Ki/s testdata/twitterescaped.json
twitterescaped/Decode_YYjson_cv                        0.03 %          0.03 %             5 bytes_per_second=0.03% testdata/twitterescaped.json
twitterescaped/Decode_SIMDjson_mean                  357037 ns       355414 ns            5 bytes_per_second=1.47373Gi/s testdata/twitterescaped.json
twitterescaped/Decode_SIMDjson_median                356827 ns       355217 ns            5 bytes_per_second=1.47454Gi/s testdata/twitterescaped.json
twitterescaped/Decode_SIMDjson_stddev                   345 ns          339 ns            5 bytes_per_second=1.44039Mi/s testdata/twitterescaped.json
twitterescaped/Decode_SIMDjson_cv                      0.10 %          0.10 %             5 bytes_per_second=0.10% testdata/twitterescaped.json
twitterescaped/Decode_JsonCpp_mean                 25426185 ns     25320052 ns            5 bytes_per_second=21.183Mi/s testdata/twitterescaped.json
twitterescaped/Decode_JsonCpp_median               25433486 ns     25326881 ns            5 bytes_per_second=21.1773Mi/s testdata/twitterescaped.json
twitterescaped/Decode_JsonCpp_stddev                  28613 ns        28014 ns            5 bytes_per_second=24.0062Ki/s testdata/twitterescaped.json
twitterescaped/Decode_JsonCpp_cv                       0.11 %          0.11 %             5 bytes_per_second=0.11% testdata/twitterescaped.json
canada/Decode_SonicDyn_mean                         2118555 ns      2108782 ns            5 bytes_per_second=1018.02Mi/s testdata/canada.json
canada/Decode_SonicDyn_median                       2117185 ns      2107523 ns            5 bytes_per_second=1018.62Mi/s testdata/canada.json
canada/Decode_SonicDyn_stddev                          4592 ns         4583 ns            5 bytes_per_second=2.21144Mi/s testdata/canada.json
canada/Decode_SonicDyn_cv                              0.22 %          0.22 %             5 bytes_per_second=0.22% testdata/canada.json
canada/Decode_Rapidjson_mean                        3071074 ns      3056975 ns            5 bytes_per_second=702.285Mi/s testdata/canada.json
canada/Decode_Rapidjson_median                      3066978 ns      3052680 ns            5 bytes_per_second=703.241Mi/s testdata/canada.json
canada/Decode_Rapidjson_stddev                        23396 ns        23262 ns            5 bytes_per_second=5.34202Mi/s testdata/canada.json
canada/Decode_Rapidjson_cv                             0.76 %          0.76 %             5 bytes_per_second=0.76% testdata/canada.json
canada/Decode_YYjson_mean                           6726353 ns      6698676 ns            5 bytes_per_second=320.477Mi/s testdata/canada.json
canada/Decode_YYjson_median                         6724125 ns      6696768 ns            5 bytes_per_second=320.568Mi/s testdata/canada.json
canada/Decode_YYjson_stddev                            4953 ns         4070 ns            5 bytes_per_second=199.222Ki/s testdata/canada.json
canada/Decode_YYjson_cv                                0.07 %          0.06 %             5 bytes_per_second=0.06% testdata/canada.json
canada/Decode_SIMDjson_mean                         2129168 ns      2119831 ns            5 bytes_per_second=1012.71Mi/s testdata/canada.json
canada/Decode_SIMDjson_median                       2127051 ns      2117604 ns            5 bytes_per_second=1013.77Mi/s testdata/canada.json
